年份,固定资产投资价格指数(上年=100),建筑安装工程固定资产投资价格指数(上年=100),设备工器具购置固定资产投资价格指数(上年=100),其他费用固定资产投资价格指数(上年=100)
2019,102.5601,102.8133,100.1215,103.4887
2018,105.37,107.23,100.95,101.2
2017,105.78,107.97,100.61,100.98
2016,99.43,99.41,98.87,100.53
2015,98.18,97.34,99.33,100.68
2014,100.51,100.59,99.65,101.43
2013,100.25,100.31,99.0,101.73
2012,101.12,101.6,98.9,102.24
2011,106.6,109.2,101.1,104.0
2010,103.6,104.9,100.3,103.1
2009,97.6,96.3,97.6,102.4
2008,108.94,112.93,100.55,105.38
2007,103.91,105.14,100.15,104.18
2006,101.5,101.3,100.7,103.3
2005,101.6,101.8,99.4,103.2
2004,105.6,108.2,99.4,103.5
2003,102.2,104.2,97.0,101.6
2002,100.2,101.0,97.0,101.2
2001,100.4,101.4,97.0,101.0
2000,101.1,102.4,97.4,101.0
