年份,工业生产者出厂价格指数(上年=100),煤炭开采和洗选业工业生产者出厂价格指数(上年=100),石油和天然气开采业工业生产者出厂价格指数(上年=100),黑色金属矿采选业工业生产者出厂价格指数(上年=100),有色金属矿采选业工业生产者出厂价格指数(上年=100),非金属矿采选业工业生产者出厂价格指数(上年=100),开采辅助活动工业生产者出厂价格指数(上年=100),其他采矿业工业生产者出厂价格指数(上年=100),农副食品加工业工业生产者出厂价格指数(上年=100),食品制造业工业生产者出厂价格指数(上年=100),酒、饮料和精制茶制造业工业生产者出厂价格指数(上年=100),烟草制品业工业生产者出厂价格指数(上年=100),纺织业工业生产者出厂价格指数(上年=100),纺织服装、服饰业工业生产者出厂价格指数(上年=100),皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上年=100),木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年=100),家具制造业工业生产者出厂价格指数(上年=100),造纸和纸制品业工业生产者出厂价格指数(上年=100),印刷和记录媒介复制业工业生产者出厂价格指数(上年=100),文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数(上年=100),石油加工、炼焦和核燃料加工业工业生产者出厂价格指数(上年=100),化学原料和化学制品制造业工业生产者出厂价格指数(上年=100),医药制造业工业生产者出厂价格指数(上年=100),化学纤维制造业工业生产者出厂价格指数(上年=100),橡胶和塑料制品业工业生产者出厂价格指数(上年=100),非金属矿物制品业工业生产者出厂价格指数(上年=100),黑色金属冶炼和压延加工业工业生产者出厂价格指数(上年=100),有色金属冶炼和压延加工业工业生产者出厂价格指数(上年=100),金属制品业工业生产者出厂价格指数(上年=100),通用设备制造业工业生产者出厂价格指数(上年=100),专用设备制造业工业生产者出厂价格指数(上年=100),汽车制造业工业生产者出厂价格指数(上年=100),铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数(上年=100),电气机械和器材制造业工业生产者出厂价格指数(上年=100),计算机、通信和其他电子设备制造业工业生产者出厂价格指数(上年=100),仪器仪表制造业工业生产者出厂价格指数(上年=100),其他制造业工业生产者出厂价格指数(上年=100),废弃资源综合利用业工业生产者出厂价格指数(上年=100),金属制品、机械和设备修理业工业生产者出厂价格指数(上年=100),电力、热力生产和供应业工业生产者出厂价格指数(上年=100),燃气生产和供应业工业生产者出厂价格指数(上年=100),水的生产和供应业工业生产者出厂价格指数(上年=100)
2019,99.6793,100.8385,96.425,112.3176,101.1836,104.7604,101.4243,,103.0049,101.297,101.2113,102.3413,99.4046,100.596,101.4106,100.8995,101.2552,94.9845,100.2451,102.706,96.3623,96.0598,101.6836,93.8909,99.3995,102.2017,98.2299,99.3356,100.879,100.7835,100.4154,99.3279,100.2791,97.9577,99.065,100.7863,101.1695,104.065,102.8396,99.1049,103.0702,102.1324
2018,103.5391,104.5925,124.2652,102.955,104.3897,107.1191,95.2559,,100.2585,101.5719,101.6216,100.361,102.2666,100.9981,100.6372,101.6788,101.2154,106.6718,101.752,99.5059,116.3053,106.2199,102.9792,105.3625,101.6066,109.6943,108.9891,103.3688,104.5511,101.6435,101.1288,100.1467,100.8963,100.1073,98.5219,99.5086,101.3214,115.0012,100.5856,99.0471,104.0027,101.5159
2017,106.3082,128.1695,128.9716,115.6256,113.969,104.9874,98.1538,,100.5634,101.245,100.2985,99.9987,103.1048,100.8211,101.0354,100.4852,101.669,109.4922,101.2905,101.0543,119.2053,109.4176,101.4968,109.7432,102.6397,108.0833,127.911,115.8515,105.5617,100.7787,100.4395,99.7879,101.2188,102.0173,99.7353,99.8237,102.6811,115.753,102.5673,99.3064,102.0821,101.9736
2016,98.6344,98.3244,83.6049,96.4808,102.3335,99.028,99.6725,,100.2323,99.8376,99.1249,100.0808,98.7339,100.4999,100.927,99.7195,101.051,99.7624,99.4311,102.7728,93.3062,97.1752,100.382,94.9754,97.6635,98.5375,102.4775,98.0492,98.6221,98.9928,98.8359,98.8935,99.722,98.356,98.6181,99.845,100.8052,97.5123,102.3729,96.893,90.3792,101.9228
2015,94.7893,85.2652,62.6502,79.6843,92.8535,97.4589,96.9196,100.0,98.6588,99.9439,99.7477,100.4471,97.6583,100.7261,100.7712,99.8301,100.5868,98.7812,99.6391,99.5042,78.4684,93.2511,100.5041,90.5957,96.6657,96.4968,83.3342,91.7358,97.1433,98.8311,99.1738,99.0621,99.8602,97.9721,98.4457,99.3698,98.81,88.8168,98.4807,98.7054,97.0441,102.217
2014,98.1124,89.0342,96.6154,91.1868,96.4812,99.3145,99.4084,100.0308,99.0767,101.9877,100.461,100.3027,99.3814,100.2075,101.7782,100.8894,100.8112,99.2169,99.9732,99.8117,94.841,98.0106,100.7353,94.6941,98.693,99.95,93.3152,95.6266,98.6313,99.505,99.7742,99.4583,99.621,98.8099,98.2626,99.9848,102.1275,93.4693,99.3463,100.2012,103.4525,102.6067
2013,98.0894,88.6766,95.771,96.9707,95.7027,100.5884,105.2771,100.0062,101.1873,101.6958,100.1403,100.4031,99.815,101.1158,102.2332,100.7883,100.5194,97.7497,99.5112,99.0808,96.323,96.7268,100.5947,95.602,98.8244,98.9635,94.042,94.6485,98.1996,99.2652,100.1737,99.3529,99.2709,98.4243,97.2949,99.6817,102.0374,93.9782,98.9653,100.1868,102.0689,101.9378
2012,98.282,96.9526,99.411,89.0275,97.5811,103.3542,102.5775,100.0,102.1901,102.1935,101.946,101.3477,96.6353,102.2688,102.2555,102.1907,101.6538,98.5365,100.4424,100.7651,101.5536,95.9783,100.143,88.0032,99.2756,98.6172,90.1731,93.0909,99.0976,100.0118,100.3581,99.4434,99.4818,97.4801,97.8051,100.2114,103.613,92.1661,99.0652,103.7153,101.9634,102.1607
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
