年份,工业生产者出厂价格指数(上年=100),煤炭开采和洗选业工业生产者出厂价格指数(上年=100),石油和天然气开采业工业生产者出厂价格指数(上年=100),黑色金属矿采选业工业生产者出厂价格指数(上年=100),有色金属矿采选业工业生产者出厂价格指数(上年=100),非金属矿采选业工业生产者出厂价格指数(上年=100),农副食品加工业工业生产者出厂价格指数(上年=100),食品制造业工业生产者出厂价格指数(上年=100),饮料制造业工业生产者出厂价格指数(上年=100),烟草制品业工业生产者出厂价格指数(上年=100),纺织业工业生产者出厂价格指数(上年=100),纺织服装、鞋、帽制造业工业生产者出厂价格指数(上年=100),皮革、毛皮、羽毛(绒)及其制品业工业生产者出厂价格指数(上年=100),木材加工及木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年=100),家具制造业工业生产者出厂价格指数(上年=100),造纸及纸制品业工业生产者出厂价格指数(上年=100),印刷业和记录媒介的复制工业生产者出厂价格指数(上年=100),文教体育用品制造业工业生产者出厂价格指数(上年=100),石油加工、炼焦及核燃料加工业工业生产者出厂价格指数(上年=100),化学原料及化学制品制造业工业生产者出厂价格指数(上年=100),医药制造业工业生产者出厂价格指数(上年=100),化学纤维制造业工业生产者出厂价格指数(上年=100),橡胶制品业工业生产者出厂价格指数(上年=100),塑料制品业工业生产者出厂价格指数(上年=100),非金属矿物制品业工业生产者出厂价格指数(上年=100),黑色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),有色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),金属制品业工业生产者出厂价格指数(上年=100),通用设备制造业工业生产者出厂价格指数(上年=100),专用设备制造业工业生产者出厂价格指数(上年=100),交通运输设备制造业工业生产者出厂价格指数(上年=100),电气机械及器材制造业工业生产者出厂价格指数(上年=100),通信设备、计算机及其他电子设备制造业工业生产者出厂价格指数(上年=100),仪器仪表及文化、办公用机械制造业工业生产者出厂价格指数(上年=100),工艺品及其他制造业工业生产者出厂价格指数(上年=100),废弃资源和废旧材料回收加工业工业生产者出厂价格指数(上年=100),电力、热力的生产和供应业工业生产者出厂价格指数(上年=100),燃气生产和供应业工业生产者出厂价格指数(上年=100),水的生产和供应业工业生产者出厂价格指数(上年=100)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,106.0,110.2265,124.5444,112.7054,115.01,109.1157,110.5976,106.2569,104.4343,100.3078,111.0917,103.6614,104.5413,104.1137,102.39,102.9928,101.865,103.7282,114.8867,109.7616,102.5076,112.1152,109.9796,104.6516,106.9876,109.8103,112.9732,104.129,102.6633,101.4881,100.3564,103.1442,98.2596,99.7613,105.3093,111.7971,101.5617,109.3808,102.8342
2010,105.5,109.95,137.81,117.46,118.99,106.4,105.53,103.31,102.91,100.43,108.53,101.66,101.67,101.54,101.42,103.45,100.65,102.43,117.8,108.0,103.24,114.08,103.76,102.28,102.08,107.4,117.25,101.65,100.1,101.21,100.33,103.15,98.34,99.14,103.49,107.54,101.97,105.38,105.48
2009,94.6,101.87,66.04,74.31,88.92,97.84,96.03,101.11,100.62,100.5,98.28,99.92,98.5,98.84,100.22,94.44,99.92,100.33,91.15,88.07,100.15,90.47,99.57,96.1,99.88,83.92,83.4,96.79,98.65,100.04,99.89,95.04,95.73,99.1,100.47,85.03,102.35,100.48,103.2
2008,106.9,128.73,122.13,131.39,104.76,110.98,114.39,107.99,103.7,100.52,101.46,102.14,102.27,104.11,103.34,105.77,102.59,101.91,120.31,111.19,103.75,99.4,104.9,102.65,107.9,119.74,96.81,106.7,104.8,103.32,101.54,101.05,98.27,100.25,105.5,108.94,101.85,105.87,102.91
2007,103.1,103.8,102.0,110.3,112.6,103.1,113.3,102.6,101.2,100.4,100.8,100.7,102.4,103.6,101.5,101.0,100.5,101.5,105.0,103.8,102.1,103.3,103.3,102.0,101.3,107.9,113.9,102.6,101.3,101.5,100.1,103.7,97.5,98.9,104.3,104.4,102.2,104.8,104.8
2006,103.0,105.0,122.0,96.8,123.4,102.5,100.1,101.1,100.5,100.5,102.1,100.9,101.2,102.3,100.3,100.7,99.8,101.4,118.0,100.4,98.6,101.2,104.7,101.0,101.5,96.0,122.5,101.0,100.2,101.2,99.5,107.4,96.6,99.2,102.5,103.4,102.8,106.8,106.4
