年份,工业生产者购进价格指数(上年=100),燃料、动力类工业生产者购进价格指数(上年=100),黑色金属材料类工业生产者购进价格指数(上年=100),有色金属材料类工业生产者购进价格指数(上年=100),化工原料类工业生产者购进价格指数(上年=100),木材及纸浆类工业生产者购进价格指数(上年=100),建材类工业生产者购进价格指数(上年=100),农副产品类工业生产者购进价格指数(上年=100),纺织原料类工业生产者购进价格指数(上年=100)
2019,99.2807,98.2161,102.3181,97.6192,94.83,97.4533,104.2319,102.813,99.3472
2018,104.1183,107.0714,106.1137,103.9353,104.5764,105.4275,110.5161,99.645,102.1614
2017,108.0697,113.0311,115.9489,115.3168,108.3847,106.2028,108.5966,101.4657,104.0456
2016,98.0301,95.5681,97.6765,97.9179,97.644,99.69,97.6454,100.1116,99.7106
2015,93.891,88.6553,88.3777,92.7152,93.6968,99.2867,95.9328,97.6693,97.8199
2014,97.8325,97.084,94.6146,96.1047,98.3025,99.4246,99.8113,99.3986,98.8883
2013,97.9918,96.6018,95.7444,95.3697,97.3084,99.5537,98.7294,101.6,99.9
2012,98.1548,100.8677,92.9474,94.4537,96.0594,100.0891,99.6781,100.1773,99.0745
2011,109.1,110.8,109.4,112.1,110.4,104.6,108.4,115.6,112.7
2010,109.58,116.29,106.57,122.16,106.99,102.97,103.76,110.4,106.65
2009,92.1,89.2,86.3,81.1,91.3,95.8,101.1,97.0,98.8
2008,110.5,120.6,118.4,98.6,105.2,105.2,109.5,107.5,103.1
2007,104.4,104.3,105.4,111.6,103.6,102.7,103.0,106.1,101.4
2006,106.0,111.9,98.3,130.8,102.1,102.6,101.9,104.3,102.9
2005,108.3,115.0,107.5,114.0,108.3,103.5,103.1,101.7,102.4
2004,111.4,109.7,120.4,120.1,108.9,102.8,105.1,114.2,104.7
2003,104.8,107.4,107.9,105.3,102.9,100.3,99.7,106.7,101.4
2002,97.7,100.1,98.2,96.5,97.5,98.7,98.2,95.7,97.1
2001,99.8,100.2,100.5,95.6,98.4,100.4,98.6,101.2,99.7
2000,105.1,115.4,100.9,110.3,105.6,99.8,101.5,99.9,102.4
