年份,城市传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市呼吸道结核死亡人数占总死亡人数的比重,城市寄生虫病死亡人数占总死亡人数的比重,城市恶性肿瘤死亡人数占总死亡人数的比重,"城市血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市精神障碍死亡人数占总死亡人数的比重,城市神经系统疾病死亡人数占总死亡人数的比重,城市心脏病死亡人数占总死亡人数的比重,城市脑血管病死亡人数占总死亡人数的比重,城市呼吸系统疾病死亡人数占总死亡人数的比重,城市消化系统疾病死亡人数占总死亡人数的比重,城市肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市泌尿生殖系统疾病死亡人数占总死亡人数的比重,"城市妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市围生期疾病死亡人数占总死亡人数的比重,"城市先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市诊断不明死亡人数占总死亡人数的比重,城市其他疾病死亡人数占总死亡人数的比重,城市损伤和中毒外部原因死亡人数占总死亡人数的比重,城市男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市男性呼吸道结核死亡人数占总死亡人数的比重,城市男性寄生虫病死亡人数占总死亡人数的比重,城市男性恶性肿瘤死亡人数占总死亡人数的比重,"城市男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市男性精神障碍死亡人数占总死亡人数的比重,城市男性神经系统疾病死亡人数占总死亡人数的比重,城市男性心脏病死亡人数占总死亡人数的比重,城市男性脑血管病死亡人数占总死亡人数的比重,城市男性呼吸系统疾病死亡人数占总死亡人数的比重,城市男性消化系统疾病死亡人数占总死亡人数的比重,城市男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市男性围生期疾病死亡人数占总死亡人数的比重,"城市男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市男性诊断不明死亡人数占总死亡人数的比重,城市男性其他疾病死亡人数占总死亡人数的比重,城市男性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,城市女性呼吸道结核死亡人数占总死亡人数的比重,城市女性寄生虫病死亡人数占总死亡人数的比重,城市女性恶性肿瘤死亡人数占总死亡人数的比重,"城市女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重","城市女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市女性精神障碍死亡人数占总死亡人数的比重,城市女性神经系统疾病死亡人数占总死亡人数的比重,城市女性心脏病死亡人数占总死亡人数的比重,城市女性脑血管病死亡人数占总死亡人数的比重,城市女性呼吸系统疾病死亡人数占总死亡人数的比重,城市女性消化系统疾病死亡人数占总死亡人数的比重,城市女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,"城市女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市女性围生期疾病死亡人数占总死亡人数的比重,"城市女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市女性诊断不明死亡人数占总死亡人数的比重,城市女性其他疾病死亡人数占总死亡人数的比重,城市女性损伤和中毒外部原因死亡人数占总死亡人数的比重
2019,,,0.010450536,25.73242245,0.214741661,3.415302619,0.494040666,1.454984316,23.65310288,20.61165976,10.35530137,2.366709312,0.385658493,1.050447435,0.008933523,0.180861697,0.186592636,0.485444257,1.026680893,5.743749484,,,0.009626548,28.36739576,0.190780684,2.945723771,0.40694045,1.287040332,21.44328213,19.96021027,10.85437075,2.486274876,0.261958798,1.047251766,0.187571835,0.178237,0.578759751,0.731325955,6.291095151,,,0.011578279,22.12609145,0.247535623,4.057987216,0.613249544,1.684839242,26.67755291,21.50325988,9.67225485,2.203067046,0.554958897,1.054821156,0.021160303,0.171677932,0.198028499,0.357728901,1.430915602,4.994630074
2018,0.95,,0.01,25.98,0.23,3.37,0.47,1.37,23.29,20.51,10.83,2.31,0.4,1.09,0.01,0.21,0.21,0.41,1.02,5.67,1.15,,0.01,28.72,0.2,2.87,0.39,1.21,21.03,19.84,11.24,2.49,0.27,1.09,0.22,0.2,0.48,0.71,6.28,0.67,,0.01,22.23,0.27,4.05,0.58,1.6,26.38,21.43,10.26,2.08,0.56,1.08,0.02,0.2,0.23,0.3,1.45,4.84
2017,1.0007287376,,0.0049646358,26.1060056136,0.210997023,3.3333983464,0.4409660472,1.272719858,23.0018670577,20.5605073858,10.915815734,2.3606843396,0.3805038751,1.0908014163,0.0129435149,0.2590476055,0.2356428937,0.3508933685,0.9743097826,5.9033066248,1.2421883633,,0.0061388108,28.7572591438,0.1982835885,2.7980699579,0.3707841717,1.1415118663,20.6644648799,19.8504585692,11.2377070314,2.5740033641,0.2608994586,1.0994610124,0.2747117828,0.2200763668,0.4116072634,0.6909231544,6.6369752851,0.6704647072,,0.003358621,22.4796698476,0.2283862246,4.0656106603,0.5369595244,1.4521837334,26.1989227223,21.5316990844,10.4755387438,2.0689105053,0.5440965939,1.0789569803,0.0306474162,0.2376224322,0.2569345027,0.2678500208,1.3619207953,4.8998081388
2016,,,0.0088337922,26.0624475494,0.2226851784,3.3264748752,0.4420576847,1.221455809,22.5824855347,20.5812635267,11.2398963502,2.2870319931,0.3660502643,1.0709132669,0.0150910617,0.3047658309,0.2530513391,0.355560136,0.985888017,6.0793053695,,,0.0076508899,28.7265412558,0.2005170726,2.7756790962,0.3723433082,1.0902518099,20.3408471448,19.9407693607,11.3861180979,2.4846264931,0.2540733019,1.0631549082,0.3200622272,0.2483351345,0.4176110734,0.7185460759,6.8791063761,,,0.0104493663,22.4239046669,0.2529617423,4.078735975,0.5372715834,1.4006504731,25.6440510452,21.4560321144,11.0401908751,2.0171630841,0.5189851924,1.081509411,0.0357020015,0.2838744509,0.2594925962,0.270812743,1.3510159832,4.9869600617
2015,1.0900837108,,0.0069839853,26.4411744735,0.1965215873,3.0964274975,0.4491090569,1.110453668,21.9780198462,20.6308866751,11.8025472147,2.2952091801,0.2884773942,1.0489557972,0.0118339751,0.2735394256,0.278583415,0.3643312349,0.9890099231,6.0547272851,1.3085327871,,0.0097226366,29.1122562216,0.170313773,2.5946029309,0.3828707258,1.0054547344,19.8107103224,19.8858093089,11.9387272733,2.4749139211,0.1921058896,1.0510505477,0.2846385694,0.2712280361,0.4210907457,0.6906424651,6.8856383246,0.7900843493,,0.0032229548,22.7729382298,0.2325131681,3.7855906295,0.5400751409,1.2546502634,24.9544182106,21.6541124903,11.6155291171,2.0484179896,0.4208258131,1.0460790453,0.028085749,0.2582968065,0.2886846661,0.2863825555,1.3987623854,4.9136248112
2014,1.0773136895,,0.0064125815,26.1667391422,0.2019963168,2.8622156671,0.4312461049,1.121199794,22.0987577627,20.4070386098,12.0336099427,2.3578260547,0.2695288155,1.0785160485,0.014027522,0.3428727163,0.2973834664,0.3945741545,1.1494552312,6.1278227883,1.2963460968,,0.0065506851,28.817842687,0.1882460024,2.3472138902,0.3792501879,1.0098398185,19.899946905,19.7816898009,12.0763603015,2.5264957972,0.1779028154,1.0543155224,0.3582190411,0.2947808279,0.429587031,0.7995283507,7.0933576053,0.7733056424,,0.0062208994,22.4871155604,0.2210811923,3.5770171266,0.5034143167,1.2757628976,25.1506175439,21.2749972484,11.9742741885,2.1237193322,0.3967019663,1.1121053916,0.0334971503,0.3215726434,0.3009958224,0.34597771,1.6351394678,4.7876998464
2013,1.118721828,,0.006199813,25.46837292,0.2052827,2.763738901,0.462230509,1.105862957,21.60497087,20.2683371,12.367479,2.546745443,0.275317626,1.03996124,0.01699208,0.325604998,0.319175563,0.457408432,1.406209457,6.296713869,1.344107307,,0.005146803,27.93922022,0.181325816,2.24479777,0.401846514,1.008773319,19.59783676,19.60892218,12.46713964,2.755518956,0.169448579,1.000855161,0.348003041,0.305640896,0.513492541,0.99729199,7.307667944,0.807487713,,0.007653912,22.05638746,0.238364687,3.480343114,0.545614582,1.239933739,24.37661621,21.17892113,12.22985791,2.258450739,0.421511866,1.093962704,0.040456392,0.294675611,0.337865543,0.379962058,1.970882332,4.900690492
2012,0.679164400652612,0.309830768738603,0.022713458523945,26.8085991234524,0.213058639111936,2.82190729070028,0.326465977798394,1.11759813173806,21.4511020826002,19.6090725870949,12.3183723087751,2.48472439937298,0.229533894238459,1.02706420550881,0.013915992194248,0.302952749608113,0.294795099011485,0.419399213026648,3.88096228286254,5.66876739499024,0.805952826065874,0.421530611220252,0.020227153706972,29.6369364451747,0.191465249472847,2.27347665980421,0.289830175034151,1.03657235640799,19.4219467388564,18.6098126633066,12.4685162967129,2.67469472237539,0.147131761895922,0.998888891967603,0.317538604769729,0.294263523791843,0.491270459211806,3.39622223268985,6.50206012175084,0.506283132598504,0.157031016463661,0.026108771412031,22.9462045792515,0.242546702537848,3.57084747558452,0.376496051521309,1.22824742033987,24.2221288865177,20.973667979673,12.1133347712077,2.22529977788625,0.342062744296747,1.06554058400403,0.030649427309775,0.283034217626069,0.295521021344867,0.321251404765418,4.5429262256933,4.53081780996598
2011,0.507485837604532,0.345389032332653,0.036610273998998,27.7941828201472,0.231704497283132,3.00661875216771,0.398618443870669,1.23102046321631,21.2961000423908,20.2199506724729,10.5589329068558,2.63714401325677,0.243024779374928,1.06458823076034,0.01083856796023,0.304443331149563,0.288546764807892,0.453533854869166,1.60097691625882,5.47323596285021,0.602147079607822,0.490011467453167,0.033852260273103,30.701461148184,0.20776824742617,2.44794157099877,0.329636384409342,1.14251378421723,19.505672369362,19.365608642482,10.6456895493841,2.81523859496194,0.156989857016516,0.996102758536059,0.31271025427279,0.27589592122579,0.506937597589719,1.12685711384092,6.19496362997787,0.382415591821674,0.154308045822781,0.040254272823334,23.9529695912514,0.26333003471931,3.74476554681516,0.489760319350564,1.34795905245914,23.6616852004048,21.3487417744307,10.4443065362875,2.40183827845893,0.356697584184543,1.15507399518067,0.025158920514584,0.293520739336811,0.305261568910283,0.38297467894422,2.22740309622448,4.51966029866434
2010,0.717405018411928,0.375329483047822,0.020539202981119,26.3271014783336,0.242802720955366,2.93050413962746,0.468733953747671,0.944558822810252,20.8827456024099,20.2298923647958,11.0432448028481,2.74222811230054,0.259918723439632,1.16437719757246,0.017849545447877,0.327893704734286,0.326671133128267,0.665323467995521,1.54875371050482,6.15735963655391,0.823989702245859,0.494563192303784,0.022018224314894,28.7668100674096,0.211290267944853,2.3678059686325,0.401832593746824,0.901476914738661,19.2473154703431,19.5543003285797,11.1179329968497,2.9572168964466,0.172758375393787,1.13690254395176,0.333660783848786,0.302327156939128,0.71135801632736,1.08312726533654,6.89805562142204,0.571739407196509,0.212376885061861,0.018517875536729,22.9928358969017,0.285869703598255,3.69952432207215,0.560165734986054,1.00343738064651,23.1178315567746,21.1532006990498,10.9411710241543,2.44841035612189,0.379037764892423,1.20192585905582,0.042243903568163,0.320012036619099,0.359941205745171,0.602409638554217,2.18510931333403,5.14507598115806
