省份编码,省份,年份,城市天然气供气总量(亿立方米),城市天然气用气人口(万人),城市人工煤气供气总量(亿立方米),城市人工煤气用气人口(万人),城市液化石油气供气总量(万吨),城市液化石油气用气人口(万人)
110000,北京市,2019,192.4347,1436.05,,,43.4286,428.95
110000,北京市,2018,191.5978,1434.82,,,48.0641,428.58
110000,北京市,2017,164.1696,1444.98,,,49.2288,431.62
110000,北京市,2016,162.2393,1447.29,,,50.0213,432.31
110000,北京市,2015,144.492426,1445.82,0,,57.630556,431.88
110000,北京市,2014,113.6874,1424.55,,,54.6293,434.45
110000,北京市,2013,98.9484,1398.57,,,47.298,426.53
110000,北京市,2012,92.4763,1366.85,,,41.8156,416.85
110000,北京市,2011,72.9608,1333.9,,,44.253496,406.8
110000,北京市,2010,71.974,1291.91,,,32.3104,393.99
110000,北京市,2009,68.2839,1143.2,,,36.7323,348.6
110000,北京市,2008,60.1381,1068.12,,,32.4549,370.98
110000,北京市,2007,43.3823,1000.89,,,32.0434,501.39
110000,北京市,2006,38.3803,956.84,0.9763,,41.8256,560.6
110000,北京市,2005,31.73967,880.0,2.0211,21.9,37.4358,340.77
110000,北京市,2004,27.0213,738.0,1.689,28.0,43.1399,418.0
110000,北京市,2003,23.8471,538.0,2.72866,26.0,38.42,397.0
110000,北京市,2002,20.4774,497.0,3.4236,63.0,28.577,386.0
110000,北京市,2001,16.7368,355.0,3.396,61.6,17.1389,440.38
110000,北京市,2000,9.574,295.3,4.731,82.94,17.646,252.69
120000,天津市,2019,57.619659,1251.57,,,5.444826,52.27
120000,天津市,2018,50.102995,1242.14,,,5.73263,54.67
120000,天津市,2017,42.285955,811.47,,,5.756703,35.43
120000,天津市,2016,34.170539,890.93,,,5.595356,49.16
120000,天津市,2015,30.662999,847.38,0,,5.049438,27.86
120000,天津市,2014,30.09996,771.55,,,4.315381,14.94
120000,天津市,2013,28.18852,651.01,,,4.949032,12.65
120000,天津市,2012,25.62411,637.23,,,4.91045,12.18
120000,天津市,2011,16.973936,598.03,,,5.86084,17.4
120000,天津市,2010,16.94525,573.53,,,5.33675,41.76
120000,天津市,2009,14.97355,569.75,,,5.896321,37.52
120000,天津市,2008,13.863,588.48,,,8.740393,50.51
120000,天津市,2007,12.01,595.62,,,2.0502,55.53
120000,天津市,2006,9.2561,478.21,1.6876,,2.1463,84.84
120000,天津市,2005,6.896645,411.52,2.880255,96.48,6.150285,122.92
120000,天津市,2004,6.235,404.63,2.58,98.46,6.9779,119.29
120000,天津市,2003,4.8004,391.49,2.5896,96.34,7.97,117.78
120000,天津市,2002,4.0222,370.0,2.1813,90.0,9.5966,126.0
120000,天津市,2001,3.8802,348.38,1.5388,76.99,15.2681,151.7
120000,天津市,2000,2.3474,304.12,0.9882,72.62,4.4203,89.4
130000,河北省,2019,58.167201,1657.74,4.521777,47.38,14.120638,216.8
130000,河北省,2018,51.12236,1598.16,5.523776,50.6,15.666278,240.18
130000,河北省,2017,48.511269,1500.24,6.957307,58.5,24.123033,266.69
130000,河北省,2016,36.643896,1373.54,7.329988,67.32,17.073687,297.73
130000,河北省,2015,31.423694,1213.98,5.353826,159.39,16.637014,299.55
130000,河北省,2014,25.743929,1028.4,5.676293,172.66,16.192256,334.19
130000,河北省,2013,24.401229,1059.01,7.10579,180.94,18.359051,342.19
130000,河北省,2012,21.445101,981.57,8.959483,187.62,20.538777,421.51
130000,河北省,2011,19.346113,918.79,8.463378,185.15,22.487349,459.42
130000,河北省,2010,10.673976,838.82,8.983359,179.59,20.500718,502.79
130000,河北省,2009,8.906508,673.61,6.879345,191.55,28.410075,629.62
130000,河北省,2008,5.9887,568.75,8.595448,200.86,25.420614,667.33
130000,河北省,2007,4.8408,318.82,8.986352,399.01,26.455917,677.46
130000,河北省,2006,3.7997,193.43,7.0221,415.93,27.9802,650.06
130000,河北省,2005,2.537418,142.0,7.8435,400.89,32.729359,704.99
130000,河北省,2004,1.71228,117.99,7.364699,378.47,33.66741,708.83
130000,河北省,2003,1.20593,86.66,7.034749,360.54,33.68,707.7
130000,河北省,2002,1.5966,69.0,6.9345,360.0,31.3073,668.0
130000,河北省,2001,0.5509,35.19,4.726219,320.29,28.25133,641.54
130000,河北省,2000,0.4647,31.08,4.5918,278.73,18.9612,475.66
140000,山西省,2019,40.471806,1071.19,6.784529,40.48,6.32173,49.17
140000,山西省,2018,38.067239,1018.09,5.402677,66.25,7.4579,54.6
140000,山西省,2017,31.625962,1002.72,5.98573,42.72,9.07917,74.6
140000,山西省,2016,26.105664,952.43,3.074182,61.64,3.361442,93.18
140000,山西省,2015,24.739656,897.2,3.945037,66.23,6.616757,118.83
140000,山西省,2014,17.763829,826.45,4.685124,85.24,6.95574,126.9
140000,山西省,2013,23.30507,768.7,5.655621,101.81,7.43991,145.62
140000,山西省,2012,21.350153,584.06,8.778653,236.56,9.05339,167.16
140000,山西省,2011,17.634225,508.71,9.351523,244.46,7.478946,204.8
140000,山西省,2010,14.144032,430.83,8.720347,238.09,6.33308,201.41
140000,山西省,2009,10.32394,358.27,8.227619,281.97,5.58838,196.58
140000,山西省,2008,8.959,286.23,8.816843,309.29,5.38223,188.06
140000,山西省,2007,6.5266,165.39,9.575021,398.76,6.167786,186.92
140000,山西省,2006,5.0652,69.05,9.4728,412.33,6.5838,197.56
140000,山西省,2005,1.080182,50.2,8.22911,394.66,4.2004,169.68
140000,山西省,2004,1.058533,44.25,7.772055,395.95,3.874159,168.15
140000,山西省,2003,0.387426,31.38,8.970611,370.12,4.88,174.81
140000,山西省,2002,0.5811,47.0,6.9562,352.0,25.6563,156.0
