省份编码,省份,年份,焦炭生产量(万吨),原油生产量(万吨),汽油生产量(万吨),煤油生产量(万吨),柴油生产量(万吨),燃料油生产量(万吨),天然气生产量(亿立方米),发电量(亿千瓦小时),水力发电量(亿千瓦小时),火力发电量(亿千瓦小时)
110000,北京市,2019,,,,,,,29.73,464.09,10.19,
110000,北京市,2018,,,,,,,17.27635,450.454652,9.91425,
110000,北京市,2017,,,273.67,190.77,169.84,3.89,15.411655,388.401193,11.319799,372.25
110000,北京市,2016,,,267.2631,149.786,189.5701,2.7943,21.6825,434.3901,12.2914,417.757
110000,北京市,2015,,,297.98,160.0,208.62,4.11,16.88,421.0,6.64,411.13
110000,北京市,2014,,,299.49,152.31,266.95,12.08,12.8,363.97,6.8,354.05
110000,北京市,2013,,,243.31,99.38,247.15,22.76,7.5,336.0132,4.7232,327.88
110000,北京市,2012,,,261.8573,132.9151,319.0769,18.444,,290.8,4.213258,283.188203
110000,北京市,2011,0,,251.1516,126.3509,355.6896,21.3595,,262.98,4.48,255.533278
110000,北京市,2010,160.57124,,257.05,116.0982,350.394,35.080699,,269.0,4.4,261.795392
110000,北京市,2009,166.14,,272.55,111.61,364.24,29.58,,242.65,0.37,241.04
110000,北京市,2008,170.33,,215.53,85.23,373.28,42.33,,243.35,0.36,242.99
110000,北京市,2007,176.99,,181.72,36.39,270.89,50.57,,228.08,4.93,223.15
110000,北京市,2006,253.57,,172.93,11.6,204.78,70.02,,214.85,4.94,207.05
110000,北京市,2005,344.36,,170.9,12.36,199.41,75.29,,213.35,4.71,209.8
110000,北京市,2004,362.04,,169.77,8.11,180.74,73.36,,203.89,3.96,198.07
110000,北京市,2003,362.39,,151.44,,170.17,69.21,,192.16,6.52,185.64
110000,北京市,2002,357.44,,154.12,,174.05,68.32,,141.98,4.1,136.18
110000,北京市,2001,396.36,,146.69,,186.74,70.8,,133.28,1.64,130.35
110000,北京市,2000,402.07,,146.2,,183.92,78.95,,145.26,8.64,136.62
120000,天津市,2019,158.34,3111.8935,,,,,34.9,732.98,0.12,
120000,天津市,2018,164.723,3085.5475,,,,,33.9418,711.466796,0.1469,
120000,天津市,2017,157.7113,3102.4228,251.95,172.09,467.73,0.64,21.4964,610.999716,0.0674,603.41
120000,天津市,2016,204.7834,3273.2553,229.0614,125.6199,450.8755,2.6742,19.6893,617.5452,0.0317,611.5117
120000,天津市,2015,196,3496.8,245.84,157.42,545.26,5.69,20.54,623.0,0.16,614.15
120000,天津市,2014,229,3074.84,199.6,134.14,582.43,12.16,21.15,625.52,0.2,618.44
120000,天津市,2013,260,3044.53,211.31,130.76,659.53,19.34,18.73,624.2559,0.1997,619.05
