年份,国外部门实物交易资金来源_净出口,国外部门实物交易资金来源_增加值,国外部门实物交易资金来源_劳动者报酬,国外部门实物交易资金来源_工资及工资性收入,国外部门实物交易资金来源_单位社会保险付款,国外部门实物交易资金来源_生产税净额,国外部门实物交易资金来源_生产税,国外部门实物交易资金来源_生产补贴,国外部门实物交易资金来源_财产收入,国外部门实物交易资金来源_利息,国外部门实物交易资金来源_红利,国外部门实物交易资金来源_地租,国外部门实物交易资金来源_其他财产收入,国外部门实物交易资金来源_初次分配总收入,国外部门实物交易资金来源_经常转移,国外部门实物交易资金来源_收入税,国外部门实物交易资金来源_社会保险缴款,国外部门实物交易资金来源_社会保险福利,国外部门实物交易资金来源_社会补助,国外部门实物交易资金来源_其他经常转移,国外部门实物交易资金来源_可支配总收入,国外部门实物交易资金来源_最终消费,国外部门实物交易资金来源_居民消费,国外部门实物交易资金来源_政府消费,国外部门实物交易资金来源_总储蓄,国外部门实物交易资金来源_资本转移,国外部门实物交易资金来源_投资性补助,国外部门实物交易资金来源_其他资本转移,国外部门实物交易资金来源_资本形成总额,国外部门实物交易资金来源_固定资本形成总额,国外部门实物交易资金来源_存货增加,国外部门实物交易资金来源_其他非金融资产获得减处置,国外部门实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,-7059.7435318837,,657.424500191926,,,,,,20617.0673989182,2254.92641279231,18342.197930293,,19.9430558328653,,1966.37755042485,,,,,1966.37755042485,,,,,-1972.37557899674,58.1736367619158,,58.1736367619158,,,,,
2017,-14578.44,,456.239336864695,,,,,,19608.6908251523,1458.3888,18132.9543706589,,17.3476544933739,,2705.97954528916,,,,,2705.97954528916,,,,,-13120.0735533012,21.7627097274279,,21.7627097274279,,,,,
2016,-16975.5994,,412.617436591247,,,,,,17561.070666481,1228.8255,16317.906401061,,14.338765419993,,2686.77540216202,,,,,2686.77540216202,,,,,-13351.9771876162,43.7851444608298,,43.7851444608298,,,,,
2015,-22346.4946725484,,356.213156250433,,,,,,16123.108373575,1664.602184,14448.706189575,,9.8,,3030.1658776679,,,,,3030.1658776679,,,,,-18950.262202238,12.2659814943525,,12.2659814943525,,,,,
2014,-16151.57,,255.392683197255,,,,,,13633.94,1082.791356,12551.148644,,,,2437.05,,,,,2437.05,,,,,-17056.7998795984,121.253068041948,,121.253068041948,,,,,
2013,-14552.0992661429,,106.185312884159,,,,,,16126.9056543657,886.123056,15240.7825983657,,,,3832.06507210975,,,,,3832.06507210975,,,,,-9190.24872264746,86.234934556126,,86.234934556126,,,,,
2012,-14632.4,,112.87119319125,,,,,,11686.6983988778,504.87375,11181.8246488778,,,,3012.85156909911,,,,,3012.85156909911,,,,,-13593.8507729064,17.527591455598,,17.527591455598,,,,,
2011,-12163.3,,104.512887995024,,,,,,13755.113112704,281.668268,13473.444844704,,,,2006.0726007,,,,,2006.0726007,,,,,-9204.69635607216,11.254200648,,11.254200648,,,,,
2010,-15097.60101504,,98.527026225,,,,,,11296.15349481,392.631,10903.52249481,,,,598.115739714935,,,,,598.115739714935,,,,,-16098.5146307849,12.52695975,,12.52695975,,,,,
2009,-15037.1077173648,,140.14862136,,,,,,7837.329258,,7837.329258,,,,750.537762066262,,,,,750.537762066262,,,,,-16616.784904214,733.222,,733.222,,,,,
2008,-24226.7682600739,,190.045091341,,,,,,5588.779267075,66.67296,5522.106307075,,,,653.527520077766,,,,,653.527520077766,,,,,-29208.8358460718,18.64611084,,18.64611084,,,,,
2007,-23423.0596286863,,189.572137924,,,,,,5546.26264130433,,5546.26264130433,,,,421.549523547302,,,,,421.549523547302,,,,,-26855.9644155398,16.3957448,,16.3957448,,,,,
2006,-16654.5988233383,,185.742381974,,,,,,4573.946045004,,4573.946045004,,,,279.836550615591,,,,,279.836550615591,,,,,-18482.0315980546,6.56557448,,6.56557448,,,,,
2005,-10209.0533722173,,148.877102638,,,,,,4388.230040491,,4388.230040491,,,,316.986746948169,,,,,316.986746948169,,,,,-10844.0140349055,4.37,,4.37,,,,,
2004,-4235.60129406663,,114.399281024,,,,,,2011.83391304,,2011.83391304,,,,118.214420073954,,,,,118.214420073954,,,,,-5706.08313941649,5.7132,5.74,5.7132,,,,,
2003,-2964.91485281719,,92.72168541,,,,,,2085.22030596,,2085.22030596,,,,85.552889966168,,,,,85.552889966168,,,,,-3563.36265850914,3.97296,3.97296,,,,,,
2002,-3094.1,,78.65856579,,,,,,1849.00656207,,1849.00656207,,,,67.1255594640729,,,,,67.1255594640729,,,,,-2931.80032301058,4.1385,4.1385,,,,,,
2001,-2324.7,,70.48982895,,,,,,2293.65635508,515.13,2293.65635508,,,,52.3469008281632,,,,,52.3469008281632,,,,,-1440.63008888061,4.46958,4.46958,,,,,,
2000,-2390.2,,56.240221024,,,,,,2196.841822656,,2196.841822656,,,,45.4958273966205,,,,,45.4958273966205,,,,,-1698.59588513832,2.89744,2.89744,,,,,,
