年份,国外部门实物交易资金运用_净出口,国外部门实物交易资金运用_增加值,国外部门实物交易资金运用_劳动者报酬,国外部门实物交易资金运用_工资及工资性收入,国外部门实物交易资金运用_单位社会保险付款,国外部门实物交易资金运用_生产税净额,国外部门实物交易资金运用_生产税,国外部门实物交易资金运用_生产补贴,国外部门实物交易资金运用_财产收入,国外部门实物交易资金运用_利息,国外部门实物交易资金运用_红利,国外部门实物交易资金运用_地租,国外部门实物交易资金运用_其他财产收入,国外部门实物交易资金运用_初次分配总收入,国外部门实物交易资金运用_经常转移,国外部门实物交易资金运用_收入税,国外部门实物交易资金运用_社会保险缴款,国外部门实物交易资金运用_社会保险福利,国外部门实物交易资金运用_社会补助,国外部门实物交易资金运用_其他经常转移,国外部门实物交易资金运用_可支配总收入,国外部门实物交易资金运用_最终消费,国外部门实物交易资金运用_居民消费,国外部门实物交易资金运用_政府消费,国外部门实物交易资金运用_总储蓄,国外部门实物交易资金运用_资本转移,国外部门实物交易资金运用_投资性补助,国外部门实物交易资金运用_其他资本转移,国外部门实物交易资金运用_资本形成总额,国外部门实物交易资金运用_固定资本形成总额,国外部门实物交易资金运用_存货增加,国外部门实物交易资金运用_其他非金融资产获得减处置,国外部门实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,1192.79668261307,,,,,,15127.6678278409,8515.50163975286,6475.12513610328,,137.041051984802,,1833.03698619403,,,,,1833.03698619403,,,,,,20.0651646805716,,20.0651646805716,,,,,-1934.2671069154
2017,,,1467.57373052861,,,,,,17942.6034958151,10715.1066,7180.55085029657,,46.9460455185637,,1902.36603426357,,,,,1902.36603426357,,,,,,15.404300869229,,15.404300869229,,,,,-13113.715144443
2016,,,1784.53463449633,,,,,,13202.3478520449,8468.9325,4696.13702785384,,37.2783241910231,,2049.9588063093,,,,,2049.9588063093,,,,,,21.0113539682428,,21.0113539682428,,,,,-13329.2033971236
2015,,,2058.72978759796,,,,,,11818.139723025,7698.053264,4068.78645902498,,51.3,,2236.38542656,,,,,2236.38542656,,,,,,31.7478936899877,,31.7478936899877,,,,,-18969.7441144336
2014,,,1837.86037603802,,,,,,12868.52,8912.772804,3955.747196,,,,2525.23218675761,,,,,2525.23218675761,,,,,,119.105368328169,,119.105368328169,,,,,-17054.6521798846
2013,,,1101.96477977615,,,,,,10309.0951550901,7930.330668,2378.76448709011,,,,3292.2455609979,,,,,3292.2455609979,,,,,,276.484032681663,,276.484032681663,,,,,-9380.497820773
2012,,,1077.26746999188,,,,,,9466.94589413788,7609.34,1857.60589413788,,,,3229.6585699448,,,,,3229.6585699448,,,,,,287.129548078478,,287.129548078478,,,,,-13863.4527295293
2011,,,1070.11797540636,,,,,,8247.837027596,6706.107452,1541.729575596,,,,3589.13995446882,,,,,3589.13995446882,,,,,,363.019049992,,363.019049992,,,,,-9556.46120541616
2010,,,923.091795495,,,,,,8718.33303963,7320.334215,1397.99882463,,,,3352.28504136986,,,,,3352.28504136986,,,,,,325.97782605,,325.97782605,,,,,-16411.9654970849
2009,,,629.1002619,,,,,,6765.51707766,,6765.51707766,,,,2913.07548871549,,,,,2913.07548871549,,,,,,1006.462,,1006.462,,,,,-16890.024904214
2008,,,634.542325697,,,,,,7129.1937657,145.8471,6983.3466657,,,,3650.68337309473,,,,,3650.68337309473,,,,,,230.60287929,,230.60287929,,,,,-29420.7926145218
2007,,,519.591182388,,,,,,5827.93689852619,,5827.93689852619,,,,3242.76100871487,,,,,3242.76100871487,,,,,,252.049788,,252.049788,,,,,-27091.6184587398
2006,,,344.341342974,,,,,,4005.326718574,,4005.326718574,,,,2517.28969076195,,,,,2517.28969076195,,,,,,327.04150064,,327.04150064,,,,,-18802.5075242146
2005,,,273.362025937,,,,,,2943.750634924,,2943.750634924,,,,2271.94189190433,,,,,2271.94189190433,,,,,,340.377176799,,340.377176799,,,,,-11180.0212117045
2004,,,166.724465712,,,,,,1534.775549104,,1534.775549104,,,,2013.42944467181,,,,,2013.42944467181,,,,,,,,,,,,,-5700.36993941649
2003,,,106.16030538,,,,,,1225.99735146,,1225.99735146,,,,1529.78503018812,,,,,1529.78503018812,,,,,,,,,,,,,-3559.38969850914
2002,,,55.76645304,,,,,,634.88869209,,634.88869209,,,,1141.83586520465,,,,,1141.83586520465,,,,,,,,,,,,,-2927.66182301058
2001,,,24.6232473,,,,,,752.5522893,740.46,752.5522893,,,,755.247637138769,,,,,755.247637138769,,,,,,,,,,,,,-1436.16050888061
2000,,,16.711688864,,,,,,1022.298208672,,1022.298208672,,,,567.963858678942,,,,,567.963858678942,,,,,,,,,,,,,-1695.69844513832
