年份,国有农场农场数,国有农场职工人数,国有农场耕地面积,国有农场农用机械总动力,国有农场大中型农用拖拉机数,国有农场小型及手扶拖拉机数,国有农场农用排灌动力机械数,国有农场联合收割机数,国有农场农用载重汽车数,国有农场农用化肥施用量(折纯量)数,按当年价格计算国有农场农业总产值,国有农场农作物播种面积,国有农场粮食作物播种面积,国有农场棉花播种面积,国有农场油料播种面积,国有农场糖料播种面积,国有农场麻类播种面积,国有农场茶园年末实有面积,国有农场桑园年末实有面积,国有农场果园年末实有面积,国有农场橡胶园年末实有面积,国有农场粮食总产量,国有农场棉花总产量,国有农场油料总产量,国有农场糖料总产量,国有农场麻类总产量,国有农场茶叶产量,国有农场水果产量,国有农场干胶产量,国有农场大牲畜年末数,国有农场猪年末数,国有农场羊年末数,国有农场绵羊年末数,国有农场猪牛羊肉产量,国有农场猪肉产量,国有农场牛奶产量,国有农场禽蛋产量,国有农场羊毛产量,国有农场水产品产量
2019,1834,214.7342,6480.783,311.9171254,22.7716,29.0758,39.1828,6.4913,7.7,252.314568,3862.05,6789.12,4794.79,1006.59591,309.695,97.25534,6.99358,31.89273,1.28443,404.19462,425.42,3441.07,244.748,75.683,746.5,10.1623,5.307433,784.244061,28.496491,299.01,728.352344,1118.495604,916.666118,139.0383,102.071122,418.236743,48.060075,31797,161.444208
2018,1759,192.12,6419.74,306.23,22.9,37.34,33.3,6.4,7.603,273.8,3823.05,6851.2,4827.0,1021.8,306.2,93.57,5.7,27.3,0.9,411.3,439.1,3652.8,284.7821,79.7273,755.7944,8.1563,5.6,745.3,29.3,280.24,1173.1,1236.5,1031.64,162.96,126.15,389.8,45.42,31823,162.75
2017,1758,271.54,6455.61,302.593,22.15,30.11,28.69,6.38,8.1764,277.98,3837.18,6872.71,4894.11,796.35,337.2,90.36,5.06,28.5,1.0,418.0,453.6,3515.2,208.5824,76.5695,774.7842,3.0014,5.2,737.5,27.0,300.53,1263.67,1369.81,1140.38,189.4,150.9,385.1,54.4,34357,160.9
2016,1781,276.67,6446.93,296.5,21.6,26.8,29.4,9.4,9.06,273.9,3457.79,6930.12,4996.33,732.07,361.22,85.88,5.061,28.9,1.6,418.5,453.6,3483.1537,187.694629,81.707831,734.525448,2.5561,5.1,677.5,28.6,292.0,1239.0,1437.2,1195.0,185.4,147.5,379.0,50.5,34000,148.4
2015,1785,287.66,6325.42,283.83,19.7,30.9,28.0,5.7,8.35,269.87,3449.67,6898.25,4996.98,834.2,352.24,84.3,3.2857,29.4,2.2,422.7,443.2,3665.1,175.035393,80.812438,718.2559,1.5198,5.0,649.2,31.0,281.98,1227.3,1494.7554,1248.9609,185.0,146.4,369.1,48.3,32796,152.5
2014,1789,299.15,6242.72,272.6,19.3,32.1,29.3,5.3,8.9,273.2,3415.23,6907.3,4923.6,905.26,364.41,84.33,3.32664,28.53629,2.06926666666667,406.905986,444.235,3538.07,211.3874383,82.5739766,706.816495,1.38206,4.9579061,547.1147013,31.3376,276.08,1256.85,1434.7,1203.59881,192.4198,151.8258,375.1405,46.7249,31704,153.43
2013,1779,323.96,6210.51,262.101,17.68,33.3,28.84,4.84,9.4,260.97,3356.34,6665.0,4839.8,770.0,356.54,111.2,2.4,30.2,2.0,402.1,447.8,3419.9,176.1834,80.4248,846.1616,1.1057,4.4,484.2,33.1,295.6,1313.5,1302.5,1070.8,212.5,165.7,402.1,47.8,32377,151.0
2012,1786,317.5,6123.7,245.7,17.4,32.8,27.7,4.6,7.84,248.3,3100.42,6510.45,4725.86,732.49,379.16,112.04,2.55,28.91,1.883,391.53,443.03,3371.36,172.2665,78.2621,850.64753,1.3352,4.4,409.39,33.17,344.6,1328.4,1320.4,1039.0,220.3,173.5,435.0,47.7,28000,137.8
2011,1785,329.32,6116.33,228.4,16.17,34.7,26.2,4.0,7.35,241.2,2803.86,6414.64,4613.53,719.32,377.47,112.5,2.95,30.4,1.6,380.0,462.4,3198.65,163.7974,82.7445,818.5414,1.6169,4.5,337.2,32.1,340.82,1216.57,1319.16,1010.56,207.31,162.1,405.94,44.04,27735,126.74
2010,1807,330.73,5989.27,212.6,14.6,33.0,24.8,3.9,7.35,227.8,2342.34,6310.4,4557.6,665.4,375.4,103.9,3.4,31.3,1.5,371.9,469.4,2953.3,143.9318,80.335,766.8551,1.8699,4.6,323.4,32.8,319.2,1134.2,1298.7,979.9,190.4,148.9,366.1,39.7,27201,115.2
