年份,农作物总播种面积,粮食作物播种面积,夏收粮食播种面积,秋收粮食播种面积,谷物播种面积,稻谷播种面积,早稻播种面积,中稻和一季晚稻播种面积,双季晚稻播种面积,小麦播种面积,冬小麦播种面积,春小麦播种面积,玉米播种面积,谷子播种面积,高粱播种面积,其他谷物播种面积,大麦播种面积,豆类播种面积,大豆播种面积,绿豆播种面积,红小豆播种面积,薯类播种面积,马铃薯播种面积,油料播种面积,花生播种面积,油菜籽播种面积,芝麻播种面积,葵花籽播种面积,胡麻籽播种面积,棉花播种面积,麻类播种面积,黄红麻播种面积,亚麻播种面积,大麻播种面积,苎麻播种面积,糖料播种面积,甘蔗播种面积,甜菜播种面积,烟叶播种面积,烤烟播种面积,蔬菜播种面积,药材播种面积,其他农作物播种面积,青饲料播种面积
2019,165930.664012853,116063.601106316,26354.1,85259.5,97847.0279220938,29693.5229006617,4450,,,23727.6772673921,,,41284.061328814,,,,,11074.6688883137,,,,7141.90429590879,,12925.4292714469,4633.48370933333,6583.08723078024,,,,3339.28639866667,65.9326333333333,6.15895333333333,,,,1610.47479533333,1390.73003333333,218.935762,1026.55233,971.93513,20862.7357600468,,,
2018,165902.380450796,117038.210901482,26702.8940556853,85543.9719644636,99671.4403395831,30189.452103216,4791.34488133333,20125.2961285494,5272.81109333333,24266.1866915947,22740.3080345846,1525.87865701009,42130.0510264993,778.188296130263,618.74645297061,1688.81576917223,262.478801552716,10186.3386008193,8412.77199434744,485.082468823789,182.436922470381,7180.43196107984,4758.0651890764,12872.4306406667,4619.65519466667,6550.60512325572,262.266137333333,921.349135333333,231.86612,3354.41434466667,56.6467466666667,5.72,3.64620666666667,18.5605733333333,28.53808,1622.94283266667,1405.83978933333,216.133043333333,1057.85601,1003.25169333333,20438.9353360588,2392.427708,4951.315434,1970.689802
2017,166331.912072448,117989.062595473,26863.1329595038,85984.358928621,100764.560529786,30747.1897821291,5141.57204068136,20028.1177911429,5577.4999503048,24478.1539283986,22895.7909626645,1582.3629657341,42398.9982287979,860.99756690133,506.460192760623,1772.76149746505,329.991713669664,10051.2870829066,8244.80559984773,501.765855805385,221.101824971389,7173.21564944691,4859.92223968616,13223.1572852748,4607.65603729911,6653.01287496756,227.664271649236,1170.74845444591,234.545445407496,3194.73333333333,58.4549583399544,5.62610394945371,2.18929079582269,21.8966552563135,27.1178716954815,1545.64739375028,1371.35689660367,174.286839082092,1130.59908198273,1080.93488674013,19981.0726341024,2161.06996143393,4935.24128408215,1874.13600758616
2016,166939.044360106,119230.058914459,27054.760984813,86865.9797955192,102701.715063854,30745.8919905931,5309.3188007936,19779.9067376705,5656.66645212894,24665.775850333,23078.2474444005,1587.52840593251,44177.6059296128,857.203792137621,472.800887634778,1782.43661354314,360.897448592465,9287.20596227148,7598.53311233334,436.758997322851,180.97906333361,7241.13522166645,4802.40195737298,13191.122278273,4448.40236580544,6622.80603517464,230.207063579969,1278.932334,243.109800525188,3198.32920133333,54.1733126666667,6.59819833333333,2.89969966666667,13.6657116166667,28.00721,1555.25184609524,1401.65082442857,153.603488333333,1208.41662490508,1152.88589885479,19553.1392800976,1932.44269844437,4897.01104236091,1813.47867306083
2015,166829.278085766,118962.813084507,27131.3320211316,86368.9344539662,103225.308248095,30784.0902663569,5462.54660940907,19428.6234616058,5892.92019534196,24566.8972242157,23035.6199491398,1531.27727507599,44968.3855442493,842.377780739594,424.93528917208,1638.62214336185,374.51022789683,8432.73485537686,6827.38918070217,428.080481449244,122.943576039973,7304.76998103451,4785.58415251735,13314.3857357181,4385.52328732366,7027.66078617987,301.225628652189,1086.46135571731,244.123729810293,3774.98265565901,53.5414672503822,11.2938910796783,2.72691864971548,5.83315011226237,31.0525238409299,1572.62634758634,1476.17596095484,96.4503866315024,1254.40396702687,1197.17019478724,19613.0587095742,1860.96030253746,4228.18970452778,1633.48684994898
2014,165183.32194661,117455.18398611,26952.0166939357,84944.0063991205,101086.794777606,30765.1223182619,5559.1608930534,19227.0339500584,5978.92747515006,24442.7049524915,22880.5086584826,1562.19629400887,42996.8081214496,791.525480571849,491.003666662361,1599.63023816924,381.372648303003,8823.92166875957,7097.56588580862,437.147621936214,128.224922417147,7544.46753974356,4910.4141432391,13394.6758587508,4369.69815433126,7158.09145518432,302.587050426578,956.454357584738,270.96841074878,4176.47035907137,58.0135115900426,12.3471293051839,3.01803256946847,7.00355804920249,33.5686030887647,1737.10179709482,1638.15534581685,98.9464512779788,1397.64922007758,1330.14723183852,19224.115567614,1758.88592630746,3816.27128014175,1583.71831372992
2013,163702.247068502,115907.544767755,27026.9582228319,83261.7781150586,99287.5775784755,30709.7434981254,5618.80842986417,19102.1329019246,5988.80216633657,24439.6456159835,22860.1424976955,1579.50311828796,41299.2116176031,720.720438344435,486.572711902361,1631.68369651677,440.790181314397,8892.86383644382,7049.92044504931,512.103404528834,125.693043869588,7727.10335283526,5025.75940364991,13437.9157412675,4396.09179989541,7193.49051766974,299.928528214137,926.085914994477,269.238043640716,4162.15412975317,63.4600976635524,14.9083362011951,4.31578411905924,6.07138361823246,36.5035291336876,1844.42485963383,1704.10327992486,140.321579708973,1551.65242261837,1472.44129665871,18836.248025286,1648.41099365178,4075.72621873071,1617.40709703936
2012,162071.246555792,114368.043445168,27041.4004549716,81688.3131816336,97142.2185635136,30475.9693694927,5638.32980856281,18746.5511211849,6091.08843974502,24550.9265392483,22839.7097281429,1711.2168111054,39109.2348216179,759.233862181653,488.500824943137,1758.35314602983,499.411351038777,9405.12985909554,7405.24215755978,588.939047727663,114.81042277053,7820.69502255901,5030.7738374532,13434.9341868699,4400.8034982694,7186.6480891097,323.627373810097,880.606345787107,278.751839989609,4359.62000609368,69.1022050361573,15.4856342130123,6.3514227986869,4.9398481914499,39.9940813203541,1886.57967281082,1695.56829580641,191.011377004413,1544.16073291601,1446.14058229444,18496.8614808369,1518.9978858589,4236.13587505425,1638.87126751964
2011,160360.381677916,112980.354287664,27014.9274748428,80336.116295529,94615.2564343761,30338.4084927166,5629.31051729179,18593.1484480558,6115.949527369,24506.8565588639,22815.5977520461,1691.25880681778,36766.5224019646,767.976342444079,453.608126385598,1781.88451200134,533.031920804429,10367.2456260496,8102.63753991925,673.536744496691,139.701944866111,7997.85222723785,5011.30355521062,13471.1808998122,4336.22545821317,7191.95415015902,334.951556246026,960.693991237222,250.221250619651,4523.98737835352,79.0597584564977,17.4304859288464,5.54002182810422,4.49725023876971,47.5197561117089,1834.4853076078,1643.74655589925,190.738751708548,1417.53387979711,1324.75335891447,17909.8666559692,1382.48558675481,4560.48699386113,1827.62581929955
2010,158579.480581744,111695.419574322,26935.2091630489,79054.978271971,92621.296425454,30096.86574283,5705.23213930176,18183.9903372488,6207.64326627947,24442.2680141983,22713.1494180919,1729.1185961064,34976.7308550827,814.400270496398,509.726378866705,1781.30516397977,553.153158401052,11053.1608707428,8700.15005653156,664.329684996988,145.100875128484,8020.9622781248,4885.73841459867,13695.3996083177,4373.84949834268,7315.97153626533,357.285003615712,988.937302670176,293.260803644717,4365.97455737322,90.9107883979078,16.8366829368834,8.20098523296264,4.45565387658423,57.5472932099639,1809.18737571697,1623.71696444233,185.470411274641,1309.17813505188,1208.93867803601,17431.217204199,1262.32021357603,4692.62260115889,1767.44575556339
