年份,水产品总产量,海水产品产量,天然生产海水产品产量,人工养殖海水产品产量,鱼类海水产品产量,虾蟹类海水产品产量,贝类海水产品产量,藻类海水产品产量,其他海水产品产量,淡水产品产量,天然生产淡水产品产量,人工养殖淡水产品产量,鱼类淡水产品产量,虾蟹类淡水产品产量,贝类淡水产品产量,其他淡水产品产量
2019,6480.3616,3282.4954,1217.1667,2065.3287,1060.4771,366.1769,1480.167,255.5834,120.091,3197.8662,184.1221,3013.7441,2686.4189,416.5334,39.4472,55.4667
2018,6457.6558,3301.4303,1270.2097,2031.2206,1091.4815,368.2409,1486.9705,236.2157,118.5217,3156.2255,196.3871,2959.8384,2691.3574,369.6653,40.7845,54.4183
2017,6445.3279,3321.7376,1321.0403,2000.6973,1115.7752,370.7149,1481.4194,224.7814,129.0467,3123.5903,218.2973,2905.293,2702.5521,320.7866,46.6675,53.5841
2016,6379.4834,3301.262,1385.9541,1915.3079,1063.1498,396.0946,1476.88,219.319,145.8186,3078.2214,200.3333,2877.8881,2653.7693,316.1117,52.5257,55.8147
2015,6210.96702284381,3232.29468134351,1435.73413860526,1796.56054273825,1078.02088134351,386.2835,1413.9786,211.4964,142.5153,2978.6703415003,199.335039220853,2779.33530227945,2571.9346415003,300.1607,51.6309,54.9441
2014,6001.92013787316,3136.25323720654,1403.85458510762,1732.39865209892,1042.52483720654,382.9462,1371.7118,202.8875,136.1829,2865.66259066662,202.488873532785,2663.17371713384,2470.67289066662,288.7397,51.4497,54.8003
2013,5744.21841993958,2992.35208644937,1327.69929325209,1664.65279319728,972.84598644937,362.5694,1327.5593,188.484,140.8934,2751.86783349021,204.174119543069,2547.69371394714,2366.54433349021,277.0044,52.8028,55.5163
2012,5502.1471828224,2889.61082751729,1314.41216026915,1575.19866724814,957.297727517286,345.6945,1264.7815,179.0412,142.7959,2612.52665530511,204.01780872607,2408.50884657904,2235.90935530511,268.694,53.9551,53.9682
2011,5603.209,2908.0487,1356.7195,1551.3292,1075.1945,321.8471,1212.7704,162.9126,135.3241,2695.1603,223.2265,2471.9338,2343.6536,248.8379,53.8789,48.7899
2010,5373.0024,2797.5312,1315.2304,1482.3008,906.3222,310.441,1170.4425,156.5958,142.0939,2575.4712,228.9369,2346.5,2225.6432,248.1348,53.7988,47.8944
2009,5116.4039,2681.5555,1276.3335,1405.222,880.8224,303.5863,1120.0207,148.4067,130.9968,2434.8484,218.3878,2216.4606,2109.8988,228.832,51.9572,44.1604
2008,4895.5986,2598.2815,1257.9579,1340.3236,864.343,288.7563,1072.466,142.2615,122.1238,2297.3171,224.8194,2072.4977,1998.4581,210.065,50.0899,38.7041
2007,4747.5202,2550.888,1243.6,1307.34,891.2794,298.941,1068.1994,138.8383,153.7,2196.6322,225.6416,1970.9906,1908.4871,202.0724,50.4973,35.5
2006,4583.59975561327,2509.63,1245.4,1264.16,892.0724,299.3761,1046.7136,137.6459,133.8154,2073.96975561327,220.379755613267,1853.59,1822.4685,167.8085,50.9176,32.7788
2005,4419.86401413396,2465.89282235838,1255.08372611343,1210.80909624495,913.937324308972,281.3047,1008.1417,133.9359,128.573,1953.97119177559,220.968774691237,1733.00241708435,1737.2089,140.2787,46.2925,30.1909
2004,4246.56858703349,2404.47455120484,1253.18377207986,1151.29077912498,883.7352,271.3944,965.5986,130.7632,152.9828,1842.09403582866,209.604171304529,1632.48986452413,1634.442,132.4081,46.1461,29.0976
2003,4077.02236241439,2332.82084011532,1236.96507355691,1095.85576655841,893.2433,259.0092,963.7716,122.7297,94.0667,1744.20152229906,213.276878496575,1530.92464380249,1551.0157,119.9203,46.7412,26.5241
2002,3954.85843808684,2298.45418147113,1237.98413981128,1060.47004165985,887.8965,269.7546,972.1788,115.8124,52.8116,1656.4042566157,194.714115495269,1461.69014112044,1476.7947,105.6771,49.004,24.9283
2001,3795.92451309505,2233.49952102947,1244.1244458016,989.37507522787,881.2939,262.7553,936.3579,108.5178,44.5744,1562.42499206558,186.225311136295,1376.19968092929,1406.5038,87.0227,45.408,23.4902
2000,3706.22953663221,2203.90805262688,1275.94867586392,927.959376762954,896.7493,257.9078,901.6786,106.0821,41.49,1502.32148400533,193.440794841423,1308.88068916391,1358.3828,76.2537,39.9939,27.6909
