年份,大牲畜年底头数,牛期末数量,马期末数量,驴期末数量,骡期末数量,骆驼期末数量,猪年底头数,羊年底只数,山羊年底只数,绵羊年底只数
2019,9877.42150600524,9138.27050600524,367.0999,260.0691,71.4494,40.5326,31040.6902444157,30072.1362885745,13723.1742455688,16348.9620430057
2018,9625.49559019729,8915.27590386036,347.309639118765,253.284643045388,75.7875686746988,33.8378354980738,42817.1138534961,29713.5061972382,13574.6862195261,16138.8199777121
2017,9763.61399226847,9038.74561104154,343.64224030378,267.783320638213,81.1158382849327,32.326982,44158.9161665282,30231.6659640223,13823.7686280818,16407.8873359405
2016,9559.93633672763,8834.489858,351.184109308883,259.258200265405,84.5325691533438,30.4716,44209.1655556403,29930.5401387293,13691.7745466527,16238.7655920767
2015,9929.80310355018,9055.78934361285,397.498035139772,342.370930629732,104.094488222718,30.0503059451163,45802.8918503974,31174.2663153185,14507.505585467,16666.7751257383
2014,9952.01677241392,9007.27648774247,415.751370243101,383.623087954654,117.353382363589,28.0124441101027,47160.2096435029,30391.2820470222,14167.5157667897,16223.7662814491
2013,10008.5701791187,8985.75515292936,431.678542251587,425.713297664717,138.044748340046,27.3784379329928,47893.1352798025,28935.2212450743,13657.5207431108,15277.7005019635
2012,10248.3626607947,9137.25136924446,465.237740199314,462.434455829207,158.961495550806,24.4775999709641,48030.2441687501,28512.7386253657,13932.2973208456,14580.4413045201
2011,10580.0091465403,9383.99965768172,515.388363067618,485.276203291015,171.068328543012,24.2765939569505,47074.8099951742,28664.1488136979,14087.4367094028,14576.7121042951
2010,11074.5568603545,9819.97144169912,529.948584127391,510.095933487505,191.519206421537,23.021694618916,46765.2468173291,28730.1789500217,14195.0243553077,14535.1756091804
2009,11380.7642620764,10035.8638366168,562.28105218353,540.353434531588,219.674911091875,22.5910276525897,47177.209522114,29062.9846053428,14734.0440118299,14328.9405935129
2008,11529.6628286786,10067.9737378628,594.743387192198,600.377283873474,243.80403022567,22.7643895243796,46433.1152190486,28823.7237290622,15066.9916450903,13756.7320839719
2007,11998.1857408748,10397.4568995659,646.694350617754,638.904689032343,291.034045342192,24.0957563166478,43933.2477409587,28606.6529857625,14564.0812714453,14042.4714868365
2006,12325.6684952308,10503.0593952308,719.3399,730.8657,345.4935,26.91,41854.43367132,28337.6113,13956.0694704104,14381.5418295896
2005,12894.8371961426,10990.7830961426,739.9645,777.1569,360.3727,26.56,43319.1061221614,29792.6683158371,14658.9611051294,15133.7072107077
2004,13191.4,11235.4,763.8511,791.9142,373.9537,26.22,42123.4,30426.0,15195.5,15230.5
2003,13467.3,11434.4,790.02,820.69,395.74,26.49,41381.8,29307.4,14967.9,14339.5
2002,13672.3,11567.8,808.7682,849.8838,419.4445,26.43,41776.2,28240.9,14841.2,13399.7
2001,13980.9,11809.2,826.0,881.5,436.2,27.9,41950.5,27625.0,14562.3,13062.8
2000,14638.1124454205,12353.1524454205,876.58,922.73,453.03,32.62,41633.6087513395,27948.2196420575,14945.6029756301,13002.6166664273
