年份,有效灌溉面积,农用化肥施用折纯量,农用氮肥施用折纯量,农用磷肥施用折纯量,农用钾肥施用折纯量,农用复合肥施用折纯量,乡村办水电站个数,乡村办水电站装机容量,农村用电量
2019,68678.606,5403.58559756068,1930.20763044062,681.577450115799,561.130652554066,2230.6698444543,45445,,9482.8723317222
2018,68271.64,5653.42019777366,2065.42755739569,728.876268661308,590.275224509851,2268.84254720682,46515,8043.5263,9358.5423227044
2017,67815.572,5859.41243144343,2221.81304841907,797.586167624629,619.741380998224,2220.27383046653,47498,7926.9195,9524.42
2016,67140.62,5984.4143879305,2310.463822142,829.9879090065,636.89743529,2207.065221492,47529,7791.0629,9238.26366641228
2015,65872.642694,6022.6028263308,2361.56613890685,843.059603057093,642.278154641523,2175.68967272533,47340,7582.9591,9026.92
2014,64539.528895,5995.93804,2392.85505292443,845.339332272606,641.936891136745,2115.80751652505,47073,7322.1047,8884.4474933526
2013,63473.303742,5911.863706,2394.244413,830.612698,627.419377,2057.478018,46849,7117.8368,8549.5239102691
2012,62490.524011262,5838.84898,2399.886854,828.572324,617.713501,1989.969501,45799,6568.61,7508.4608477
2011,61681.5613,5704.2356468,2381.41669471495,819.190088080695,605.128943168178,1895.08581793626,45151,6212.3429,7139.615368
2010,60347.698,5561.67996567489,2353.68191804081,805.641896371813,586.442321445959,1798.50172981631,44815,5924.01906,6632.346918
2009,59261.445897,5404.3523,2329.8827,797.7305,564.2933,1698.6872,44804,5512.0911,6104.439093
2008,58471.680387,5239.022745,2302.879554,780.077092,545.19595,1608.600449,44433,5127.4371,5713.151959
2007,56518.3426666667,5107.83205,2297.20775,773.0154,533.61868,1502.97892,27664,1366.5755,5509.932702
2006,55750.4959,4927.6928,2262.49635854019,769.505338550712,509.746719698564,1385.85308321054,27493,1243.0,4895.8
2005,55029.339,4766.2183,2229.2897,743.8405,489.4527,1303.1794,26726,1099.2,4375.70163868
2004,54478.0,4636.6,2221.89,735.96,467.29,1204.0,27115,993.8,3933.0
2003,54014.0,4411.6,2149.8891,713.8587,438.0124,1109.8301,26696,862.3,3432.9
2002,54355.0,4339.39,2157.31,712.23,422.37,1040.35,27633,812.2,2993.4
2001,54249.3910666667,4253.7634,2164.1123,705.7297,399.5662,983.6852,29183,896.6,2610.8
2000,53820.33,4146.4122,2161.5559,690.471,376.4953,917.87,29962,698.5,2421.295147
