年份,农村居民人均粮食出售量,农村居民人均棉花出售量,农村居民人均油料出售量,农村居民人均麻类出售量,农村居民人均烟叶出售量,农村居民人均蔬菜出售量,农村居民人均水果出售量
2019,,,,,,,
2018,,,,,,,
2017,,,,,,,
2016,,,,,,,
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,529.7482357,22.98181418,18.52164571,0.1,4.804350345,164.1341904,71.03818133
2011,481.4474395,19.91,16.88,0.11,4.52,174.52,60.82
2010,460.4557555,14.71,17.46,0.2,4.07,168.26,65.93
2009,482.93,22.56,22.59,0.17,4.45,170.84,72.78
2008,444.447,20.68,15.69,0.28,3.83,170.83,64.94
2007,394.06,24.92,17.24,0.39,3.45,169.99,66.79
2006,394.6389897,23.79101389,17.79221336,0.430158938,3.828818165,172.978179,59.49
2005,375.79,22.06026112,20.09139444,0.685028928,3.689165078,167.9285945,61.61760444
2004,287.249511,19.19121963,18.87543197,0.528345961,2.469799273,151.5661574,57.47977324
2003,294.35,16.77,19.22,0.71,2.62,147.58,48.83
2002,281.1510399,6.942767171,18.46569083,0.642157246,2.585645107,143.7721373,49.05978898
2001,268.0402086,7.045441225,18.31423649,0.439258111,2.418108699,132.9359339,48.20578131
2000,264.7397278,5.593890873,18.43246483,0.468937175,2.732766754,132.0683739,46.43302395
