年份,乡村户数,乡村人口
2019,,
2018,,
2017,,
2016,,
2015,,
2014,,
2013,,
2012,26802.321,97065.6337
2011,26606.96984,96808.57864
2010,26384.6249,96618.9387
2009,25975.6661,96110.5005
2008,25663.5274,95579.6341
2007,25434.907,95094.721
2006,25268.39915,94813.3087
2005,25222.6229,94907.453
2004,24971.42,94253.66
2003,24793.14,93750.62
2002,24569.363,93502.5472
2001,24432.23,93382.88
2000,24148.7328,92819.7382
