年份,农业机械总动力,农用大中型拖拉机数量,农用大中型拖拉机动力,小型拖拉机数量,小型拖拉机动力,大中型拖拉机配套农具,小型拖拉机配套农具,农用排灌电动机数量,农用排灌电动机动力,农用排灌柴油机数量,农用排灌柴油机动力,联合收割机数量,联合收割机动力,机动脱粒机数量,渔用机动船数量,渔用机动船动力
2019,102758.261123,4438619,,17804249.0,,4364677,,,,,,2128000,,10500000.0,,
2018,100371.744,4219893,,18182601.0,,4225657,,,,,,2059200,,10395177.0,,
2017,98783.347,6700800,,16342400.0,,10700281.0,29314300.0,,,9301500.0,,1985400,,10410200.0,,
2016,97245.5853,6453546,,16716149.0,,10281100.0,29940300.0,13138827.0,,9407727.0,,1902008,,10637869.0,,
2015,111728.0676,6072900,,17030400.0,,9620000,30415200.0,13029600.0,,9399300.0,,1739000,,10618000.0,,
2014,108056.58,5679500,,17297700.0,,8896400,30536300.0,12873300.0,,9361300.0,,1584600,,10489600.0,,
2013,103906.7505,5270200,,17522800.0,,8266200,30492100.0,12594000.0,,9347000.0,,1421000,,10075800.0,,
2012,102558.96,4852400,14436.39,17972300.0,17467.36,7635200,30806220.0,12488100.0,7157.37,9823100.0,7163.88,1278821,5670.54,10423200.0,3488000.0,
2011,97734.658521,4406471,12850.152593,18112663.0,17420.966478,6989501,30620134.0,12130377.0,7012.18539,9683914.0,7104.542482,1113708,4730.973239,10018720.0,3016000.0,
2010,92780.4757,3921723,11166.9875,17857921.0,17278.3893,6128598,29925485.0,11761542.0,6796.1425,9462526.0,6959.2345,992062,4042.3199,10167963.0,2476000.0,1582.9
2009,87496.1013,3515757,9772.5979,17509031.0,16922.6874,5420586,28805621.0,11347984.0,6548.1519,9249167.0,6795.4508,858372,3364.3146,9879424.0,,
2008,82190.4132,2995214,8186.4957,17224101.0,16647.6635,4353649,27945401.0,10863833.0,6347.0492,8983851.0,6561.6936,743474,2707.3747,9631477.0,,
2007,76589.563462,2062731,6101.052376,16191147.0,15729.230276,3082785,27329552.0,10364935.0,6055.4294,8614952.0,6282.75439,633784,2194.542706,9872961.0,524848.0,1605.261
2006,72522.1234,1718247,5245.2955,15678995.0,15229.0782,2615014,26265699.0,10060504.5,5862.4897,8363525.0,6148.7737,565578,1896.191175,9656410.0,492126.0,1498.2973
2005,68397.8486,1395981,4293.4897,15268916.0,14660.8601,2262004,24649726.0,9214863.0,5635.8192,8099100.0,6033.9615,480378,1549.94595,9262031.0,439604.0,1376.1035
2004,64027.91,1118636,3713.09,14549279.0,13855.41,1887110,23096911.0,8835399.0,5459.81,7775427.0,5804.19,410520,1265.6,9147243.0,486878.0,1384.2
2003,60386.541,980560,3229.83,13777056.0,13060.16,1698436,21171505.0,8370559.0,5336.05,7495652.0,5592.746,365041,1085.799,8836967.0,478123.0,1425.941
2002,57929.85,911670,3073.42,13393884.0,12694.9879,1578861,20033634.0,8109120.0,5301.8019,7506066.0,5667.8854,310147,855.72,8982654.0,485693.0,1381.176
2001,55172.1,829900,2901.68,13050840.0,12257.9166,1469355,18821829.0,7756695.0,5115.8708,7285693.0,5579.9917,282871,744.4712,9034737.0,480125.0,1379.6633
2000,52573.6063,974547,3161.1152,12643696.0,11663.8699,1399886,17887868.0,7413111.0,4983.893,6881174.0,5232.6,262578,660.9269,8761800.0,459888.0,1338.6824
