年份,木材产量,橡胶产量,松脂产量,生漆产量,油桐籽产量,油茶籽产量
2019,10045.8549,809858.7,,,,2679270
2018,8810.8638,824092.71,1375367.0,18882.0,348173.0,2629796
2017,8398.1692,817365.89,1443868.0,18145.0,370083.0,2431647
2016,7775.8659,815917.95,1328877.0,21934.0,408518.0,2164440
2015,7200.2922,816102.51,1326292.0,22806.0,412042.0,2163492
2014,8233.2955,840171.37,1309520.0,22290.0,416065.0,2023445
2013,8438.495,864805.87,1307747.0,25154.0,418924.0,1776506
2012,8174.8679,802254.55,1215065.0,26027.0,427048.0,1727708
2011,8145.9226,750849.94,1156612.0,18867.0,437702.0,1480044
2010,8089.6,693021.7,1115711.0,20093.0,433624.0,1092243
2009,7068.2913,619138.43,1046579.0,20498.0,367287.0,1169289
2008,8108.3426,547861.43,849205.0,15526.0,370966.0,989859
2007,6976.6491,588390.0,965618.0,12891.0,361285.0,939096
2006,6611.7786,537983.3,908784.0,20762.0,382989.0,919947
2005,5560.3,513618.06,767134.0,14316.0,368688.0,875022
2004,5197.33212,575000.0,673000.0,9641.0,381428.3,874861
2003,4758.87,565000.0,625757.0,8664.0,372645.0,779492
2002,4436.07,527000.0,567000.0,7000.0,389000.0,853000
2001,4552.03,477000.0,564000.0,5116.0,407000.0,825000
2000,4724.0,480248.0,551057.0,5279.0,453461.0,823224
