年份,果园面积,香蕉园面积,苹果园面积,柑桔园面积,梨园面积,葡萄园面积
2019,12276.6764353845,330.3,1978.1,2617.3,940.7,726.2
2018,11874.8513816078,331.895763333333,1938.57262521214,2486.68536133333,943.423044173129,725.104489616884
2017,11148.6192273126,351.034114627316,1946.94700858682,2439.02464764942,922.782056121736,706.545144155316
2016,10916.6447397619,350.101414666667,1945.52980040478,2327.55524532062,930.815100529628,716.213324403682
2015,11212.1973935003,355.387596754036,1983.02311590297,2229.7979412904,974.165714746823,716.405070218249
2014,11607.6573972988,365.469193732706,1974.06429135356,2160.71599055654,964.239052685255,689.054450341159
2013,11043.3332896941,364.371618517604,1967.08366442982,2175.94572561229,979.615074439039,646.56960612063
2012,10989.700889818,357.470053709882,1976.41975052307,2111.71988958232,969.721311102982,612.753800552223
2011,10808.0635307929,354.66766116768,1945.74567038338,2077.20754434427,975.53083239343,550.284839007186
2010,10681.01679008,333.78131372806,1930.27225977904,2025.35489666849,970.272275240828,513.168351046945
2009,10454.3948772358,320.858453345546,1882.36916604491,2000.23350390018,994.799271759776,465.518976689245
2008,10220.7089032711,309.419644937576,1853.65845609088,1900.74734379733,1011.22316200698,433.067241056697
2007,10119.4961674601,302.117357316502,1873.26434999701,1836.95871701402,1019.72230876826,427.281310404659
2006,10122.5560666667,285.649533333333,1898.877,1814.59426666667,1087.1078,418.728
2005,10034.7984,276.347666666667,1890.366,1717.013,1112.04166666667,407.919333333333
2004,9768.18,264.42,1876.6,1627.23,1078.6,413.5
2003,9436.518,255.526,1900.371,1505.72533333333,1061.509,420.834
2002,9097.86506666667,247.938266666667,1938.30666666667,1404.52706666667,1042.26173333333,392.334666666667
2001,9042.5538,244.9818,2066.21726666667,1323.68373333333,1026.45706666667,334.377
2000,8931.5826,249.1866,2254.13426666667,1271.778,1014.64093333333,282.9728
