年份,受灾面积,水灾受灾面积,旱灾受灾面积,风雹灾受灾面积,冷冻灾受灾面积,成灾面积,水灾成灾面积,旱灾成灾面积,风雹灾成灾面积,冷冻灾成灾面积
2019,19256.9,6680.4,7838,2228,586,7912.8,2611.76666666667,3332.28,976,202
2018,20814.3,3950.3,7711.8,2406.8,3412.6,10569.1,2550.6,2621.3,1548.2,1869.9
2017,18478.1,5414.8,9874.8,2268.1,524.5,9200.9,3021.9,4444.2,1237.7,311.8
2016,26220.735549114,8531.3227121996,9872.75850697439,2908.08287860667,2885.07555133333,13670.4791522054,4338.06275678833,6130.85146725708,1424.42202970667,1179.1747751
2015,21769.8,5620.2,10609.7,2918,900.3,12380.0,3327.3,5863.4,1824.8,474.2
2014,24890.7,4718.2,12271.7,3225.4,2132.5,12678.3,2704.1,5677.1,2193.1,932.7
2013,31349.8,8756.8,14100.4,3387.3,2320.1,14303.1,4858.6,5851.9,1682.3,885.3
2012,24962.0,7729.6,9339.8,2780.8,1617.8,11474.9,4144.5,3508.6,1368.4,794.6
2011,32470.5,6863.4,16304.2,3309.3,4447.1,12441.3,2839.5,6598.5,1347.9,1290.9
2010,37425.9,17524.6,13258.6,2180.1,4120.7,18538.1,7024.2,8986.5,916.1,1443.7
2009,47213.69,7612.86333333333,29258.72,5493.06666666667,3672.52,21234.2633333333,3161.97,13197.12,2944.05333333333,1445.6
2008,39990.0339809524,6476.5,12136.8,4179.81708095238,14695.6271,22283.47,3655.61,6797.6,2123.13333333333,8719.23333333334
2007,48992.3533333333,10463.2666666667,29385.6666666667,2985.86666666667,4071.93333333333,25063.82,5104.86666666667,16169.9333333333,1415.4,1509.3
2006,41091.41,8003.098,20737.91,4387.3635,4912.6,24631.94,4568.8,13411.34,2144.2,2835.5
2005,38818.2251,10931.7533,16028.0802,2977.0426,4428.089,19966.06,6046.96,8479.2,1635.3,1838.4
2004,37106.256181004,7313.62696,17253.44935,5796.87928456065,3710.56301,16297.3165,3746.5165,8481.6,2191.3,1665.1
2003,54505.8,19208.0,24852,4790.9,4482.8,32516.3,12289.0,14470.0,2928.2,2110.3
2002,46946.1,12287.8,22124,7477,4212,27159.9,7387.9,13174.0,3832,2293
2001,52214.6,6042.0,38472,3627,2978,31793.1,3614.0,23698.0,2056,1777
2000,54688.0,7323.0,40541,2307,2795,34374.0,4321.0,26784.0,1162,1032
