年份,农林牧渔业总产值,农业总产值,林业总产值,牧业总产值,渔业总产值,农林牧渔业总产值指数(上年=100),农业总产值指数(上年=100),林业总产值指数(上年=100),牧业总产值指数(上年=100),渔业总产值指数(上年=100),农林牧渔业总产值指数(1952=100),农业总产值指数(1952=100),林业总产值指数(1952=100),牧业总产值指数(1952=100),渔业总产值指数(1952=100)
2019,123967.935276604,66066.4506213608,5775.70593594076,33064.3456836352,12572.4037637657,102.838645143827,104.557078945453,105.234809298469,97.9035497920376,102.511483285521,1867.06783416495,1240.85550677597,8382.11140093219,3708.54467164936,33167.3720611854
2018,113579.530142808,61452.5952336912,5432.61017177759,28697.4021024613,12131.5065867479,103.481525984473,103.889786326024,106.52267324436,101.675713731565,102.702297641826,1815.53134189362,1186.77331012979,7965.15093894328,3787.95731056421,32354.7869937709
2017,109331.720900485,58059.7579380087,4980.55069177465,29361.1880922378,11577.0915314476,103.975872102183,104.661060513046,106.899677432686,102.128414178578,102.797018200755,1754.44971904071,1142.33877275047,7477.42306529561,3725.52812421346,31503.4694808951
2016,106478.728473906,55659.890664895,4635.89766565819,30461.1666349107,10892.918356963,103.54885892063,104.226509150849,108.170488003049,101.084740093626,102.893703629036,1686.77554787596,1091.46493180057,6994.80414242043,3647.88600134251,30646.2872486935
2015,101893.524993133,54205.3353679747,4358.44666386536,28649.320296726,10339.0869281111,104.048024887385,105.388294972506,106.099708767152,100.465510677729,104.321971044967,1628.96584806297,1047.2047281377,6466.46259211042,3608.74054576763,29784.4145635802
2014,97822.5134327064,51851.1221601811,4189.98172007347,27963.3867736564,9877.53696058354,104.323877040201,104.889416044663,106.406968466815,102.557904646266,103.977530655773,1565.59036063015,993.608673755368,6094.70343250596,3591.85054614156,28547.70102725
2013,93173.6998567531,48943.9377789756,3847.4385215052,27572.3688554741,9254.47865054795,103.961926030479,104.361362122885,107.354547929306,102.047153383519,105.078354719244,1500.73893704516,947.218792352043,5727.72960297866,3502.26592336328,27455.6443562406
2012,86342.1522356509,44845.7211624986,3406.97085950325,26491.2089136203,8403.91482110815,104.894840106898,104.337505581881,106.732683005313,105.236419534238,105.048740675844,1443.5486206702,907.659707713774,5335.33950210513,3432.00746639239,26128.734533005
2011,78836.9774171036,40339.6228439432,3092.4388015974,25194.1631377629,7337.3725208208,104.412947277367,105.553605707594,107.553374759292,101.731288528344,104.133068935119,1376.14513448287,869.713187210453,4998.78701806787,3260.98950622829,24866.510843058
2010,67763.1342742221,35909.066184359,2575.03414461452,20461.0770138634,6263.37055771473,104.379569208808,104.259459547536,103.544172026491,104.160198718958,105.44129166259,1317.96717446402,823.624845448363,4647.72679542164,3204.87585242068,23861.2602496849
2009,59311.3248106209,29983.8113368487,2324.39430316564,19184.6343521907,5514.7247529502,104.569507566167,103.42489756586,106.651263198189,105.540758601522,105.575302292687,1262.66688411147,790.022945919289,4488.64747535473,3077.15266449677,22629.8734973958
2008,57420.7657589571,27679.9381683511,2180.30616860587,20354.1954318075,5137.53051917358,105.629450596866,104.569815637403,107.98724988405,106.67699594626,105.76096871472,1207.49051372601,763.894551828743,4208.71477819585,2915.60597561632,21434.8176192372
2007,48651.7662607964,24444.6796230905,1889.93195123161,16068.6203025761,4427.92778688879,103.857079813865,103.727683850952,109.771450086209,103.165207840509,103.953304773056,1143.1381181129,730.478582244299,3897.41824401946,2733.11593540289,20267.2289028058
2006,40810.8266140553,21522.2757656768,1610.81100129409,12083.8553467919,3970.52492299984,105.419391151993,105.391681826724,105.581195138349,105.000250039356,105.993084036174,1100.7,704.2,3550.5,2649.3,19496.5
2005,39450.8873407089,19613.3723826152,1425.53988100881,13310.783516942,4016.11889514264,105.662915508922,104.146662572083,103.187364691063,107.844523650449,106.546162851613,1044.1,668.2,3362.8,2523.1,18394.1
2004,36238.9897622507,18138.3554488701,1327.12491614172,12173.8016296272,3605.60213711159,107.454506321626,108.495139814642,102.002274384446,107.194753427267,106.047875409373,987.8,641.9,3258.5,2340.5,17271.5
2003,29691.8,14870.1148072911,1239.92902264881,9538.8056448102,3137.60554849125,104.0,100.5,106.9,107.3,105.3,918.9,591.618654780075,3194.58164395243,2183.3,16293.8557287668
2002,27390.8,14931.5,1033.5,8454.6,2971.1,104.942064850072,103.902114783978,107.073719625,106.012527612278,106.124959362467,883.638288995802,591.618654780075,2985.59032145086,2040.54982852328,15517.9578369208
2001,26179.647138247,14462.793513238,938.753537995,7963.132371,2814.967716014,104.2,103.6,99.283315606063,106.262267612106,103.9,842.024873684572,569.400012704368,2788.35024309155,1924.81952320412,14622.3451392991
2000,24915.8,13873.6,936.5,7393.1,2712.6,103.6,101.4,105.4,106.3,106.5,807.783734329821,549.583583703119,2808.4781678275,1811.38570299513,14073.9898324962
