年份,劳均粮食产量,劳均棉花产量,劳均油料产量,劳均糖料产量,劳均水果产量,劳均园林水果产量,劳均瓜果类产量,劳均蔬菜产量
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,,,,,,,,
2014,,,,,,,,
2013,,,,,,,,
2012,2167.98767846266,25.1393835025011,126.375904955333,495.882792024009,884.612003498089,555.416650841484,329.195352656606,2606.49412293427
2011,2075.22803667398,23.96992663,120.13608334454,454.732021536231,827.17907109429,511.653148141167,315.525922953124,2467.9178869431
2010,1960.1032067998,21.3813792043995,115.858275111243,430.720275243441,767.625509089303,461.449911420698,306.175597668605,2334.98445183014
2009,1881.38042250388,22.6011145414859,111.79701919026,435.116567751416,722.874957064303,434.047141815895,288.827815248408,2191.2122167129
2008,1854.98080817797,26.2853318582392,103.599952582502,470.828573945927,674.342042379367,397.82718654992,276.514855829447,2078.45291526175
2007,1727.90454483067,26.2615144127783,88.4871413975509,419.854270857348,624.752795340366,362.400592557751,262.352202782615,1944.64098771921
2006,1677.08093029527,25.3655011070529,88.9085473388582,352.223433150488,575.882513372462,323.239163741098,252.643349631364,1816.78631255917
2005,1598.18264247809,18.8675367121517,101.603331513216,312.090796465856,532.266321082135,291.737730543551,240.528590538584,1863.96084093503
2004,1517.95225236549,20.4460262753851,99.1311318531326,309.451249516659,496.022141646826,271.410472118693,224.611669528133,1780.42506239678
2003,1361.87755191017,15.3666157629161,88.8850815063275,304.87312690409,459.047004520848,238.782471109325,220.264533411523,1708.52594782037
2002,1418.51713867005,15.2579039479661,89.9172390843906,319.442082947609,446.12743787649,215.760669133458,,
2001,1387.42398302784,16.3176449507743,87.8149322181016,265.29736144374,413.852246188993,204.081201585241,,
2000,1406.72779868139,13.4451160391354,89.9364712200273,232.397403981647,,189.475492799697,,
