年份,农村水电建设本年完成投资额,农村发电设备容量,农村新增发电设备容量,农村在建电站规模,农村当年新开工电站规模,农村发电量
2019,709753,81441588.0,1071975,5199095,289190,25331509.0
2018,1000906.51,80435263.0,1643058,6013805,524270,23456082.71
2017,1999937,79269995.0,1353020,6628296,669630,24772495.0
2016,2493935,77910629.0,2032270,7436391,931158,26821937.0
2015,3082737,75829591.0,2412664,8038846,929005,23512814.0
2014,3171305.84,73221047.0,2553873,9666971,939855,22814928.89
2013,3457046.81,71186268.0,2460601,9477045,1357859,22327712.0
2012,3671548,65686071.0,3399616,9947388,1658258,21729246.0
2011,4243988,62123430.0,3277465,10309266.0,1585709,17566867.0
2010,4398452.91,59240190.6,3793551,13700560.0,2425973,20444256.42
2009,4563240,55121211.0,3807072,12890100.0,2194445,15672471.0
2008,4568884,51274371.0,4194106,21239258.0,3787365,16275902.0
2007,5117926,53855597.0,6578193,20944545.0,4498420,16346041.0
2006,4604296,47196651.0,6403520,20653424.0,4501575,14835889.0
2005,4343826,43090145.0,4964672,17727677.0,4284511,13571702.0
2004,3762995,38655048.0,4363322,16652425.0,5362090,11045527.0
2003,3006249,34157792.0,2702834,10850143.0,6385500,10966512.0
2002,2393195,31044576.0,1883648,5680800,1419000,10366868.0
2001,2133741,28787476.0,1714454,3547500,1462800,9490187.0
2000,2220993,27487791.0,2060127,7459500,2384000,8755014.0
