年份,牛出栏数量,羊出栏数量,家禽出栏量
2019,4533.86955845411,,
2018,4397.48323953924,31010.49,1308936.04
2017,4340.25988207897,30797.71,1302190.57
2016,4264.95057582466,30005.3103718553,1319534.21879569
2015,4211.43921835381,28761.3978300345,1259132.00005221
2014,4200.40679494972,28051.3908781881,1202592.00951472
2013,4189.89992990652,26962.6818387152,1232371.60184321
2012,4219.29140686764,26606.2120737932,1244696.36849221
2011,4200.63315821866,26232.1640719654,1160716.81988533
2010,4318.2921685191,26808.3181027972,1122429.12188372
2009,4292.27772549071,26434.4998144599,1076672.81509065
2008,4243.09726840935,25926.6463118846,1032426.30387511
2007,4307.04582664503,25545.6749742406,963219.775536572
2006,4226.81665297247,24709.3890007964,930548.27127
2005,4148.7,24091.9712340896,943091.386713287
2004,4101.0,23092.6256418726,877852.493922802
2003,4000.1,22028.7678423701,871364.931731489
2002,3896.2,20560.0409594026,827061.208070017
2001,3794.8,19996.8262466826,813679.738725546
2000,3806.9,19653.436943099,825703.868352472
