年份,农村居民家庭拥有汽车数量,农村居民家庭拥有大中型拖拉机数量,农村居民家庭拥有小型和手扶拖拉机数量,农村居民家庭拥有机动脱粒机数量,农村居民家庭拥有胶轮大车数量,农村居民家庭拥有水泵数量,农村居民家庭拥有役畜数量,农村居民家庭拥有产品畜数量
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,,,,,,,,
2014,,,,,,,,
2013,,,,,,,,
2012,4.049563567,4.39610184,20.48913033,11.49326309,4.308580766,25.4595378,26.36105458,86.12592586
2011,3.782836189,3.976477512,19.85152508,10.43456638,4.316830515,23.61378773,26.48068002,81.89743696
2010,2.401745124,3.361636604,19.44874615,10.61523684,8.419709635,25.88291538,23.41656401,62.25546268
2009,2.29,3.37,19.39,10.48,8.64,25.12,25.39,63.32
2008,2.03,3.12,18.99,10.26,8.73,24.1,26.0,67.75
2007,1.910104121,2.853937527,19.09815222,9.759099575,8.863616366,23.35266168,27.49848951,63.59488195
2006,1.834873149,2.391890307,21.06075671,9.44330547,9.492638217,22.11561079,28.74961138,61.76272181
2005,1.763381728,2.133450653,20.23859803,8.691025077,9.854568119,21.0314269,29.32864056,60.28185951
2004,1.4291685,2.23786479,18.77644816,10.12285526,12.87813462,22.06058073,34.83049128,51.83296671
2003,1.399149435,1.793195483,18.93295205,10.05918756,13.71036809,21.11850711,35.52327321,58.61643936
2002,1.290365156,1.526763455,18.48438187,9.619885614,14.31221587,21.53262942,39.38216747,56.42836193
2001,1.196949699,1.4961138,17.40959085,9.275113653,14.52,19.91538349,39.66798651,54.65
2000,1.32,1.41,16.72,9.59,13.26,17.73,41.75,41.56
