年份,粮食单位面积产量,夏收粮食单位面积产量,秋粮单位面积产量,谷物单位面积产量,稻谷单位面积产量,早稻单位面积产量,中稻和一季晚稻单位面积产量,双季晚稻单位面积产量,小麦单位面积产量,冬小麦单位面积产量,春小麦单位面积产量,玉米单位面积产量,谷子单位面积产量,高粱单位面积产量,其他谷物单位面积产量,大麦单位面积产量,豆类单位面积产量,大豆单位面积产量,绿豆单位面积产量,红小豆单位面积产量,薯类单位面积产量,马铃薯单位面积产量,棉花单位面积产量,油料单位面积产量,花生单位面积产量,油菜籽单位面积产量,芝麻单位面积产量,胡麻籽单位面积产量,葵花籽单位面积产量,麻类单位面积产量,黄红麻单位面积产量,大麻单位面积产量,苎麻单位面积产量,亚麻单位面积产量,烟叶单位面积产量,烤烟单位面积产量,糖料单位面积产量,甘蔗单位面积产量,甜菜单位面积产量,蔬菜单位面积产量
2019,,5373.1,5817.2,6272.00713774642,7059.2,5902.3,,,5630.4,,,6316.7,,,,,1925,1938.7,,,4036.3,3804.7,1763.5597421228,,3781.08505328504,2048.3879564819,1651.14431410093,,,,4741.03229661317,,,,,2079.46645574998,,78655.1400258583,56057.1770362487,
2018,5621.17409983235,5198.32168088363,5733.7969143738,6120.46707061565,7026.5938605302,5967.04368253365,7558.82949309395,5957.9552171364,5416.61083251002,5497.07759849883,4217.40672016076,6104.28700438376,3009.24742801856,4702.14844978312,2392.88279752879,3643.94481283643,1885.13808336767,1897.95926894244,1404.08107268438,1523.40376143685,3990.53102371916,3779.62479251057,1819.32558203582,2667.24232248198,3751.80347442589,2027.47101681487,1645.26093374983,1445.61430535863,2707.16217592977,3584.66552712883,5007.61013986014,5723.33936523512,1887.51520775049,3552.95274906707,2118.44668727647,2102.83201324003,73554.1013738698,76891.4761184988,52174.465672093,34417.9960202314
2017,5607.3605468168,5276.54745284965,5698.60643825219,6105.37507942028,6916.92151380338,5809.81910487277,7468.14081372314,5958.14007458179,5484.12547427905,5587.96423320748,3981.64433074138,6110.30212976721,2959.18385526625,4866.82117969665,2371.86166414358,3288.67791997474,1832.16283681,1853.59016697405,1296.66059494053,1628.41476854881,3901.4890125899,3641.27981547314,1769.32601573423,2628.1463734841,3709.45930152341,1995.20589572002,1609.6732041822,1283.29139166745,2690.10332667034,3728.50863575349,5177.85604055644,5692.98629242548,1874.39794676602,4915.13819070177,2115.18164523622,2108.12396813398,73618.6034973141,76132.1150099575,53842.6658423737,34629.1124554929
2016,5539.16642001468,5193.22887895975,5628.30045165905,6004.43039168599,6865.76970125113,5843.63488513652,7400.8749206147,5954.01530765452,5399.72183515766,5486.05074300419,4144.75222992611,5967.1199958531,2718.42362251493,4726.01505702093,2359.08760740886,3303.90086841282,1777.34947023861,1789.22581230107,1293.32414175101,1521.53501782764,3765.04252092903,3536.90860905449,1670.51077874021,2577.52942888852,3677.86847921038,1982.24676366664,1529.26944536708,1336.96670946739,2502.86054918947,3346.44951691695,5131.55643372198,5238.40127448245,1863.04222446034,4255.20128794682,2129.97136757088,2120.76705871804,71859.9328836267,73638.4403361507,55629.8438863791,34487.637436945
2015,5553.0186282587,5187.70678185044,5647.64265277694,5988.68728212502,6891.2837767821,5871.33976219682,7450.72276143141,5992.3022655551,5395.68178773527,5480.55686296084,4118.8718932282,5892.85495878327,2516.07952280096,5183.1377212851,2546.54641323039,3768.74131354006,1793.62394272952,1811.43961543639,1223.56457302405,1428.93626349304,3736.3941643611,3438.0960583671,1564.87929136869,2546.4703978177,3639.55150050078,1972.09492708921,1495.02962097783,1277.57605112151,2643.4603480921,2906.81912385463,4231.65373761369,4458.07048221356,1876.53755566484,4021.07475867448,2134.30281775744,2084.23138121122,71315.2118958501,72528.1438571942,52751.253096486,33867.7900479513
2014,5445.89263751501,5041.3757219058,5548.86130786615,5896.07588460132,6813.20599432084,5833.70727786628,7355.44375254799,5980.20998597978,5246.35904715382,5345.59140363335,3792.96500164293,5808.90535832775,2491.93264143415,5091.30578362409,2459.54723167543,3831.83240356573,1773.04514807175,1787.33163125012,1139.33691312932,1483.80196119196,3709.69135091021,3427.6336160061,1508.31610199917,2517.35763750982,3638.86940283977,1943.86066255482,1442.9293065209,1190.66644162238,2699.67697346438,2846.10348901866,4097.71576230764,4477.61095733777,1875.42233163253,3369.71747211164,2036.79244182099,2027.45840791037,69591.3738582526,70682.0919803036,51533.4677955321,33784.9854236055
2013,5439.52486270308,4851.57361593101,5604.02000850963,5907.11909215369,6717.26950472391,5830.0785287584,7265.72629986085,5800.2699968887,5058.96507897229,5145.93361060199,3800.2698583986,6015.9310553398,2464.74801922514,4993.14978870091,2402.12107806674,3482.88263033639,1734.42514556622,1759.88617601927,1074.69106943609,1472.60835903133,3695.36320049636,3417.5737356866,1509.21121186994,2491.45780079449,3664.36828219351,1895.64087389837,1463.5879683971,1225.79462315353,2643.67194074481,2766.63949066015,3846.56818265933,2969.93683894082,1853.66818473226,4841.72926224972,2074.91017963894,2064.72557033344,68070.0343140171,69986.0781999398,44801.078268535,33551.2570228701
2012,5353.12312775492,4785.24932535828,5515.20099021599,5832.5852451755,6776.89012031446,5728.45850651625,7376.41083968693,5902.24905262608,4988.60696062844,5091.61489852532,3613.75405713241,5869.68706116509,2337.4705815509,4072.94046583453,2422.56026462129,3373.07943955878,1786.93968079123,1814.37848279709,1130.3557794216,1680.76013513073,3686.32435245484,3353.69442198533,1515.73313643351,2445.58028958841,3588.49783115355,1864.77657614153,1439.45096363623,1187.88392431149,2574.545510952,2839.76350021674,4099.23839717722,2830.66618684959,1918.90796340061,5332.31225413709,2102.11377059372,2090.47257203514,66002.0519270048,68263.9001624933,45924.0952201048,33316.1734581107
2011,5208.81108971604,4637.9804329953,5368.70554497973,5713.84864099619,6687.31621808293,5666.34827823484,7321.30923150245,5699.63954990525,4838.21913629998,4922.27013493766,3704.34549860214,5747.51159478787,2262.22687404477,4170.12421804828,2368.43538226917,3571.51084748819,1797.29649902446,1836.25066552271,1118.29561647518,1775.9085090209,3656.35764611739,3255.55208427596,1440.95331417547,2384.72798967871,3528.97299813985,1826.67026568031,1366.03671097586,1231.05546913919,2500.2715984746,2825.62654682156,4027.65856787661,2976.24040431601,2042.36566167311,5599.6644848064,2114.82738551425,2102.86872506975,63577.0046010476,66113.2999750327,41719.7430409975,33370.777748104
2010,5005.69405621108,4530.72936223486,5137.8917615339,5527.53523752247,6553.03026527343,5416.25919701519,7187.45626701488,5739.38515331978,4749.69652691208,4832.3372807847,3664.15398809535,5453.67734490903,1987.70145488992,3792.32956899124,2439.09655062571,3528.26233844139,1693.48855892794,1771.21988656951,1123.96188627513,1514.09180092362,3544.11442021903,3132.84903855312,1321.67289252364,2304.98561560816,3460.48104586793,1747.96814758533,1293.03584383277,1071.91546001535,2381.69054238652,2665.36461988363,3849.13030684692,2245.07436291706,2122.25576420258,4606.13275112459,2163.15600668902,2160.45913278722,62477.5272447621,65271.4309911784,38018.052124725,32851.8974360136
2009,4892.3691414156,4531.16881784386,4959.16219609752,5448.30531888993,6585.32655814233,5671.40429641963,7200.03285576511,5688.57315124886,4740.83699551734,4810.75858441907,3905.03748016828,5258.49253710506,1577.39743542657,3080.14815311849,2289.12444678686,3550.4355463936,1616.1617018749,1630.23358710834,1087.24415104866,1498.79422320673,3453.35305085836,2882.6179962668,1390.46834265242,2335.07876768368,3411.06618858302,1887.77015446243,1295.16165396795,943.475454762943,2057.90528891356,2784.42854672904,4017.46300040285,2095.61764021208,2053.93147827796,4912.51274124447,2229.34540869997,2249.81103441427,65098.1166018209,68169.7774091411,33844.9761531439,33191.5833772343
2008,4968.57486900771,4531.6813099784,5080.31795132513,5550.83106521342,6562.53811720918,5523.44491920911,7217.4325399672,5644.42583775896,4763.04195196408,4836.27531759267,3725.54555035878,5555.70439383513,1495.14319246826,3380.80998591255,2396.82455482496,3431.97099003672,1686.61914553728,1702.79524758407,1128.33026489484,1573.48398073859,3528.391151532,3035.5087987331,1370.26044036737,2294.92537313433,3355.13809667947,1813.79335480115,1205.39676038723,1080.01035128364,2068.70027318718,3178.45150615391,3301.8007152523,2575.36125167059,2218.79541957614,4695.96090127187,2120.1530607753,2118.33138692496,67521.2692205644,71121.8565652953,39245.9322114194,32850.7527610198
2007,4756.08644716318,4402.11344703234,4825.86170803404,5320.51486611914,6432.97926499901,5490.36257498576,7048.43872955652,5597.70408729638,4607.91605140639,4697.66489993927,3380.33437142245,5166.66661115498,1821.16761269703,3346.02680596456,2360.92738011729,3512.45339119915,1459.75931604076,1453.65161539037,1057.95592031343,1436.70532151115,3469.6380099087,2924.85606070574,1461.35357094403,2257.82748742676,3346.53212510665,1853.78382368463,1155.61055867707,894.212867325436,1792.77866208574,3021.46911112904,3032.56194114199,2789.15263068683,2331.8290896514,4215.61660485121,2053.0939261173,2055.5862820734,68794.2098916525,73014.5619751776,40097.4975199405,32772.8448732088
2006,4745.17153230988,4341.70227395997,4847.25773742498,5310.09682590196,6279.59803935349,5332.60615862461,6884.48315586021,5537.16313401304,4593.40412241685,4653.60091691034,3786.52696845071,5326.32275932698,1911.3122074479,2977.57120028908,2314.33623172021,3762.70911958888,1649.23687874139,1620.93427236873,1297.67541497104,1649.89097055555,3429.22171297874,3062.52921875498,1295.25615718846,2249.29268835126,3257.74008351052,1832.63983324579,1173.04982140166,1015.05605950702,1843.14584994578,3147.08345442136,2780.97681104321,4324.41454128201,2028.52020975517,4905.43222411963,2065.66575995301,2072.30536066901,66753.445190531,70450.2479764667,39766.8717650393,32425.3781009778
2005,4641.63237765289,4039.48368847173,4808.0586554524,5224.62027994753,6260.17524069944,5287.37457780638,7012.04819765784,5287.12877540484,4275.30158946511,4329.0236904729,3598.64955949633,5287.34393910078,2100.30148149893,4469.53415712982,2454.7619047619,4145.17313177754,1672.42256702332,1704.54009400816,1419.775192047,1493.60453811492,3649.9125585433,2904.59799873848,1128.88302751538,2149.17661279384,3076.09571524327,1793.27402638056,1054.06595238975,910.681144914926,1889.27500440995,3300.66748346228,2670.12263530504,3808.06778412231,2099.24403532735,4405.40112005378,1968.63666482514,1956.02602653048,60419.3070890234,63969.9556787686,37523.46082245,31856.229213018
2004,4620.48831135203,4017.43060137204,4768.63241603579,5186.77005620906,6310.61334517316,5417.68826914475,7089.40680049415,5178.70751110489,4251.91592097912,4320.80906526512,3430.67952257049,5120.20486158638,1979.61707252023,4102.00931252735,2526.22043302151,4102.16580297686,1743.95765471142,1814.78123586125,1132.2324011228,1381.41274837678,3762.02066072649,3141.71075645901,1110.77804091547,2124.56874058431,3022.44125676602,1812.82292434804,1127.96635883059,1029.64799949725,1660.20209718704,3232.74257869758,2719.1787821466,1804.33691396446,2025.14643586626,4374.41009216289,1901.05062550025,1888.65504572895,61034.4773489499,65198.9521653315,30829.3453201815,31357.2641731558
2003,4332.4983404062,3745.00962519633,4477.25471387964,4872.89198808717,6060.68485084283,5273.95214133279,6670.74195664095,5285.37107946347,3931.84470825916,3996.9280095223,2995.89213938695,4812.58987807959,1894.3794893842,3962.03913632062,2614.04674123659,3559.81886966762,1649.42832811498,1652.88760874685,1270.16897990113,1487.57296346052,3621.27351095542,3011.52757551128,950.921676344407,1875.24897412244,2653.82455307705,1581.50999715688,862.645811343599,1003.97506945786,1486.23740592002,2528.37470137353,2462.33003479505,2645.49393705284,1919.70780035114,2993.21810480486,1785.34389034821,1768.27900067024,58172.4649873408,64022.7817601178,24925.319412598,30095.2744965185
2002,4399.40189778706,3597.19369187419,4647.81959842672,4885.29281769855,6188.95736412118,5157.68938675845,6914.86844550846,5368.40181071756,3776.51170611274,3824.1198693677,3202.1529466408,4924.45514703226,1908.88990278314,3945.43973941368,2317.13771567693,3632.85094594102,1786.81506166737,1892.91878594652,1226.11143395278,1408.58517240113,3709.88656749447,3007.52016088716,1174.95928613569,1962.03849305513,3011.34902247693,1477.20259260296,1180.0446589221,903.313245293523,1720.75052504902,2852.88916423285,2868.12116372592,2022.417198522,1906.95635764862,3784.08144411003,1842.77722494082,1791.75581535991,56630.0,64663.4487476175,30231.8263283127,30462.0345667033
2001,4266.93587640276,3642.7554519231,4415.87213172685,4800.28167097057,6163.33397464724,5322.55236819119,6768.75176069434,5605.57321793127,3806.12688414094,3806.12688414094,,4698.43773487,1713.40215166166,3445.64569836828,2159.47323879704,,1547.20855875344,1624.77173713575,,,3487.51699924535,2736.5302842466,1106.8048567508,1958.12034160695,2888.1750245427,1597.19293547205,1061.14491760635,628.127591865148,1454.9092439268,2108.9401767954,2045.54753541514,1639.77579203899,1730.58141577376,2440.60666053878,1753.94690036567,1732.44715538426,52321.2,60625.1923015288,26806.7047687043,29521.4163614362
2000,4261.15043958956,3609.29829611225,4411.42570640532,4752.56271006025,6271.59324983048,5501.54013992741,7003.44872314622,5459.66196669519,3738.21908598116,3832.21241086027,2865.96419232164,4597.47179055383,1700.08746293492,2904.00935616397,2018.77866308426,,1587.67187272085,1655.71026091217,,,3496.93292285035,2806.3821543582,1093.0770563199,1918.68301266858,2973.25260014417,1518.58490566038,1034.21414310375,690.338815241163,1589.99288053538,2023.47703126194,2516.17223732608,1324.33063511831,1684.53770080059,2228.45114345114,1775.85842358123,1763.36370455348,50426.3,57626.0810193801,24518.0115886397,29183.671848764
