年份,农用塑料薄膜使用量
2019,2407658
2018,2466795.4135
2017,2528365.22493656
2016,2602608.8958
2015,2603560.585
2014,2580211.068
2013,2493182.503
2012,2383002.281
2011,2294535.896
2010,2172991.392
2009,2079696.647
2008,2006924.27
2007,1937467.94
2006,1845481.83
2005,1762325.419
2004,1679985.23
2003,1591670.34
2002,1530756.2
2001,1449286
2000,1335446.33
