年份,茶叶产量,红茶产量,绿茶产量,水果产量,香蕉产量,苹果产量,柑桔产量,梨产量,葡萄产量,菠萝产量,红枣产量,柿子产量,园林水果产量,瓜果类产量,西瓜产量,甜瓜产量,草莓产量
2019,277.720432301,25.8307,184.9861,27400.8379067502,1165.565488,4242.54361018775,4584.537527,1731.35329429154,1419.543518,173.3,746.4,329.4,19037.7,8363.1,6324.1,1355.7,
2018,261.039306,23.3307213443634,173.455762903533,25688.3541524462,1122.167661,3923.3402912,4138.14369090909,1607.797546,1366.67708239083,162.501028,735.756484952593,314.263728846784,17565.2730598954,8123.08109255081,6153.68506090557,1315.92988506142,306.03238035285
2017,246.040870220199,22.5500712783734,163.815531946266,25241.8960306157,1116.98131444114,4139.00380685075,3816.77840542751,1640.9704024826,1308.28598240566,149.479492624737,721.256902871839,302.900449756491,16949.362181017,8292.53384959872,6314.71889408979,1232.64990261086,285.11314297981
2016,231.32737513612,20.6505275893825,155.249881217938,24405.2413287719,1094.02550759053,4039.32545485076,3591.52391256931,1596.30381485559,1262.93589779888,139.948763152057,685.075527159783,296.727375138861,16202.9100084335,8202.33132033839,6220.64585334814,1187.64284583755,268.01945828457
2015,227.663586304504,19.5518559531541,156.126369418973,24524.6193130124,1062.69950491165,3889.89696549635,3617.53433945661,1652.74041217901,1316.41423336423,133.851373886618,713.452067436292,294.960467571078,16200.911396017,8323.7079169954,6599.41941928214,1117.96464367866,280.351685680675
2014,204.934646267121,17.2911302001563,140.358090163051,23302.6324487464,1062.15263222333,3735.38574819428,3362.1806560132,1581.90813078154,1173.10077984597,129.73548657431,643.692547999014,295.561981187491,15171.3613953982,8131.27105334824,6473.04228963428,1105.85657488697,248.648862245444
2013,188.72047627763,15.4755710306342,130.321696647716,22748.1032069745,1103.00318228686,3629.81254305474,3196.39258140029,1544.40720968352,1088.46108052038,127.169532383146,581.516113151394,287.867095317817,14675.1714124278,8072.93179454665,6400.99705267769,1122.36488915657,241.638088525298
2012,176.146145778016,12.8844335183486,123.911680346964,22091.5048378891,1035.98337232145,3581.36208716955,3089.42762845897,1550.44301398615,1000.58558867492,119.161101958223,544.091547572247,291.00453769898,14196.7401703709,7894.76466751822,6302.20446139399,1070.1426335473,222.128931919559
2011,160.755132181404,11.1002143488913,113.971077149584,21018.6085908276,946.074887018935,3367.27914475861,2864.12220416313,1448.56199895758,857.692421167717,111.286246231278,505.412664591695,276.862154099002,13201.8403048976,7816.76828593006,6241.79161004267,1088.97940666362,200.855483433417
2010,146.249107923023,6.65688195371117,104.710662151783,20095.3692329354,884.102501620535,3164.90675402616,2581.74043814568,1409.47784133357,813.530852545003,101.840960665384,422.487101401491,258.908359648273,12285.1507641292,7810.21846880618,6266.05788654312,1086.01153960812,179.400006021521
2009,135.060584636297,6.73071366113998,95.248661803131,19093.7093102245,829.645903722562,3047.49092803201,2471.73209510745,1343.55961845534,764.877801424597,99.9420823962384,405.004011035373,260.325212042082,11614.0938276536,7479.61548257082,5977.80321676993,1074.91669955523,180.802852322084
2008,125.483131582811,6.62600662528704,87.9356067308494,18279.096839324,748.428580666834,2899.46435454893,2296.9553415361,1296.40527562078,698.240362169296,90.7188321775783,352.188068318999,254.849564680602,10898.8533930569,7380.24344626713,5901.83472016239,1063.45422304482,185.623062698358
2007,117.047231859478,5.26469894616039,83.6667577821524,17659.3585209431,763.951599552311,2734.72444022385,2036.4,1258.80770409012,670.886025986736,89.1701790963678,291.196622835405,247.873427094031,10374.4192534641,7284.93926747895,5908.27264810652,979.224874268165,179.599972241268
2006,102.806395,4.834,76.385594,17101.967422,690.124892,2605.929804,1789.832851,1198.608274,627.075639,89.070088,305.286,232.0346,9599.224702,7502.74272,6184.516405,950.577513,187.422982
2005,93.485729,4.7941,69.102,16120.094855,651.8128,2401.1081,1591.914881,1132.351434,579.441108,84.8902,248.8506,218.5041,8835.5015,7284.593355,5989.34315,882.57312,195.707505
2004,83.5231,4.3689,61.3709,15340.9,605.6148,2367.5473,1495.8302,1064.2287,567.5318,80.8254,201.1217,199.8214,8394.1334,6946.7486,5751.5429,806.4228,185.8505
2003,76.814,3.9948,56.9907,14517.4,590.3279,2110.1776,1345.3709,979.8424,517.5939,82.1868,171.8689,179.511,7551.5217,6965.8899,5800.236,824.2342,169.791
2002,74.5,4.3547,54.6124,6951.9803,555.7,1924.1,1199.0,930.9,447.9453,82.73065,157.3698,174.05912,6951.9803,7422.600442,6256.311524,864.80451,139.43841
2001,70.1699,4.2949,51.3154,6657.9966,527.2352,2001.4986,1160.6915,879.6097,368.0,86.9049,130.8633,158.4665,6657.9966,6843.62347389882,5717.827139,742.51547,
2000,68.332375,4.7294,49.8057,6225.14703,494.1454,2043.122971,878.3129,841.241276,328.16984,85.6517,130.6036,159.1906,6225.14703,,,,
