年份,乡镇数,乡数,镇数,村民委员会数
2019,,,,
2018,31550.0,10253.0,21297.0,542019.0
2017,31645.0,10529.0,21116.0,554218.0
2016,31755.0,10872.0,20883.0,559186.0
2015,31830.0,11315.0,20515.0,580575.0
2014,32683.0,12282.0,20401.0,585451.0
2013,32929.0,12812.0,20117.0,589067.0
2012,33162.0,13281.0,19881.0,588407.0
2011,33270.0,13587.0,19683.0,589874.0
2010,33981.0,14571.0,19410.0,594658.0
2009,34170.0,14848.0,19322.0,599078.0
2008,34301.0,15067.0,19234.0,603589.0
2007,34052.0,15468.0,18584.0,621046.0
2006,34461.0,15629.0,18832.0,631183.5
2005,35509.0,16621.0,18888.0,640139.0
2004,36952.0,17781.0,19171.0,652718.0
2003,38028.0,18440.0,19588.0,678589.0
2002,39054.0,19243.0,19811.0,694515.0
2001,40161.0,20606.0,19555.0,709257.0
2000,43735.0,24043.0,19692.0,734715.0
