年份,瓜类单位面积产量,西瓜单位面积产量,甜瓜单位面积产量,草莓单位面积产量
2019,,,,
2018,38367.0847689626,40539.9461778595,34986.6131487154,25509.0161174254
2017,39247.6828701833,41551.9646099424,35337.444435664,26456.0489842756
2016,38706.7016490743,41058.6827757951,34331.6528513914,26177.0606746299
2015,37933.0392454836,40465.0819189428,32351.9455280966,25893.817337943
2014,37558.624346386,39617.2275523856,32992.302362083,26224.2582513097
2013,37121.8805813681,38992.7470745452,33380.693355217,26475.3661393902
2012,36603.876876803,38632.1039082999,32048.4651876412,26893.0589907511
2011,35515.5750918159,37380.5961698042,31446.4557248026,25710.7532929351
2010,35066.6365814684,36919.1507684817,30631.4864774835,25445.5283246671
2009,34820.0991432304,36573.9422792762,31646.330457431,24594.4241995041
2008,34454.4847965851,35995.9403103729,31682.5131764016,24233.2860929424
2007,33733.6911305127,35578.7769088684,29115.6327421994,23913.2361103805
2006,33405.7089047604,35287.4542710725,27439.9136446895,23649.4284791354
2005,32995.7100691196,35077.1267015443,26039.2396286851,23244.3494761413
2004,32359.2041083655,34646.9095717285,25246.7878878954,22426.2115069022
2003,29592.1348362339,31587.077127058,23193.212472752,22090.4655550014
2002,31520.0516708112,33875.9543598391,23574.2233422484,21010.2023596064
2001,30178.8298731944,31376.3100508489,22506.8116166071,
2000,,,,
