省份编码,省份,年份,负债合计(亿元),流动负债(亿元),长期负债(亿元),所有者权益(亿元)
110000,北京市,2019,19545.03943,17519.13596,,9587.82915
110000,北京市,2018,18794.44766,16858.92347,,8426.19657
110000,北京市,2017,16042.54288,14112.5384,,7116.41839
110000,北京市,2016,14141.40791,12779.44385,,6122.26466
110000,北京市,2015,12946.19264,11583.33575,,5418.90581
110000,北京市,2014,11878.54041,10540.45851,,4402.70607
110000,北京市,2013,,,,
110000,北京市,2012,8422.27723,7495.70361,908.86152,3337.58135
110000,北京市,2011,7512.13051,6567.94306,944.18745,3297.15744
110000,北京市,2010,6019.5566,5365.3789,654.1777,2878.4241
110000,北京市,2009,4335.69018,3985.7884,349.90178,2660.84649
110000,北京市,2008,3594.64958,3339.79167,254.85791,1996.21556
110000,北京市,2007,2920.33309,2670.77838,249.55471,1741.69018
110000,北京市,2006,2438.31464,2245.3013,193.01334,1135.37311
110000,北京市,2005,2100.43851,1905.60023,194.83828,1171.05713
110000,北京市,2004,,,,
110000,北京市,2003,1297.8637,1236.8429,61.0208,455.8848
110000,北京市,2002,1073.9402,1032.7477,41.1925,401.7664
110000,北京市,2001,973.15647,930.29335,42.86312,333.78745
110000,北京市,2000,827.56338,782.21868,45.3447,258.89465
120000,天津市,2019,5914.17752,5422.99149,,1832.45164
120000,天津市,2018,5394.65718,5052.77888,,1729.98895
120000,天津市,2017,4758.65237,4378.69382,,1471.83344
120000,天津市,2016,4606.91146,4283.13808,,1409.79878
120000,天津市,2015,4380.04834,3976.23196,,1341.5005
120000,天津市,2014,4027.73325,3624.95412,,1244.28656
120000,天津市,2013,,,,
120000,天津市,2012,2920.2753,2713.3354,166.98119,1004.39016
120000,天津市,2011,2374.55358,2212.49915,133.12315,704.62063
120000,天津市,2010,1828.8838,1687.9346,140.9492,568.5239
120000,天津市,2009,1486.10167,1370.04417,116.0575,502.58081
120000,天津市,2008,1210.18188,1130.65082,79.53106,390.93824
120000,天津市,2007,911.62128,865.51649,46.10479,288.17408
120000,天津市,2006,662.51499,628.30614,34.20885,255.16847
120000,天津市,2005,541.87795,511.72103,30.15692,196.59809
120000,天津市,2004,,,,
120000,天津市,2003,405.2644,379.2194,26.045,167.9421
120000,天津市,2002,330.2139,303.6883,26.5256,157.8048
120000,天津市,2001,255.69862,246.04372,9.6549,92.90618
120000,天津市,2000,233.08733,223.30067,9.78666,76.63443
130000,河北省,2019,4972.60858,4591.2927,,1840.84612
130000,河北省,2018,4724.9254,4356.30471,,1815.3649
130000,河北省,2017,4243.0703,3931.39226,,1851.84143
130000,河北省,2016,3328.70551,3097.97575,,1643.97836
130000,河北省,2015,2940.66804,2735.78241,,1541.72038
130000,河北省,2014,2721.82125,2519.52233,,1434.28616
130000,河北省,2013,,,,
130000,河北省,2012,2166.52165,1944.92852,123.95919,1076.36535
130000,河北省,2011,1762.39867,1614.13357,96.03149,857.24534
130000,河北省,2010,1499.6667,1375.9324,123.7343,700.4717
130000,河北省,2009,1276.2689,1196.73168,79.53722,608.65863
130000,河北省,2008,1067.79601,1030.65703,37.13898,533.67622
130000,河北省,2007,808.74838,766.87268,41.8757,441.30583
130000,河北省,2006,645.04582,624.16306,20.88276,412.40565
130000,河北省,2005,602.26243,580.22189,22.04054,374.21119
130000,河北省,2004,,,,
130000,河北省,2003,445.3951,423.2939,22.1012,317.5929
130000,河北省,2002,422.6665,397.8357,24.8308,290.4605
130000,河北省,2001,378.12968,360.23526,17.89442,229.06079
130000,河北省,2000,347.65093,329.23121,18.41972,167.72992
140000,山西省,2019,5179.11794,4730.86078,,1698.22946
140000,山西省,2018,4542.27018,4202.46595,,1405.07749
140000,山西省,2017,4250.72421,3947.39611,,1204.52441
140000,山西省,2016,3781.9762,3484.10968,,1063.41352
140000,山西省,2015,3021.09397,2759.4476,,1012.69441
140000,山西省,2014,2845.54845,2603.16124,,948.44504
140000,山西省,2013,,,,
140000,山西省,2012,2295.58495,2190.35516,81.02905,680.49433
140000,山西省,2011,1944.88916,1868.99633,74.1098,558.58939
140000,山西省,2010,1591.6037,1545.8384,45.7654,435.224
140000,山西省,2009,1267.94587,1226.49349,41.45238,367.92928
140000,山西省,2008,1028.34892,983.2463,45.10262,326.56727
140000,山西省,2007,800.4614,732.89017,67.57123,285.51758
140000,山西省,2006,689.60815,626.45382,63.15433,260.17902
140000,山西省,2005,607.0051,560.78982,46.21528,242.99372
