省份编码,省份,年份,国有建筑业企业自有施工机械设备年末总台数(台),国有建筑业企业自有施工机械设备年末总功率(万千瓦),国有建筑业企业自有施工机械设备年末净值(万元),国有建筑业企业技术装备率(元/人),国有建筑业企业动力装备率(千瓦/人)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,14343,48.1566,130112.6,23367.504175572,8.6486593272391
110000,北京市,2011,14248,53.7566,129402.3,25286.233512457,10.504465070835
110000,北京市,2010,13325,60.0,157189.0,19199.0,7.3
110000,北京市,2009,21400,99.8568,182493.9,17240.0,9.4
110000,北京市,2008,26276,102.6106,135935.3,18032.0,13.6
110000,北京市,2007,27737,79.09,151762.3,11444.26,5.96
110000,北京市,2006,33978,107.86,240273.4,13319.22,5.98
110000,北京市,2005,39857,124.7,242500.1,13270.95,6.82
110000,北京市,2004,,,,,
110000,北京市,2003,57505,177.24,252916.0,15087.0,10.57
110000,北京市,2002,52204,134.2,214456.0,10017.0,6.3
110000,北京市,2001,64302,161.32,245248.0,10865.0,7.15
110000,北京市,2000,68700,169.34,224451.0,8216.0,6.2
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,24650,86.9416,180766.6,31799.912041516,15.294502594775
120000,天津市,2011,24977,90.9708,346446.8,57453.864013267,15.086368159204
120000,天津市,2010,23061,93.0,287003.0,19141.0,6.2
120000,天津市,2009,20622,75.9172,306171.5,29156.0,7.2
120000,天津市,2008,22073,79.195,307514.4,28355.0,7.3
120000,天津市,2007,23485,114.79,192497.5,18725.98,11.17
120000,天津市,2006,23342,96.65,194600.4,21632.12,10.74
120000,天津市,2005,28704,93.87,230139.7,26375.83,10.76
120000,天津市,2004,,,,,
120000,天津市,2003,35425,86.0,208231.0,27999.0,11.56
120000,天津市,2002,37697,85.3,165318.0,18258.0,9.4
120000,天津市,2001,32277,87.1,124891.0,14653.0,10.22
120000,天津市,2000,38115,102.13,122408.0,9480.0,7.91
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,57843,201.9155,272040.1,25113.789315289,18.640131827959
130000,河北省,2011,66569,163.8378,534359.9,44876.663895258,13.759441687032
130000,河北省,2010,49454,180.5,279238.0,20909.0,13.5
130000,河北省,2009,59756,165.5058,284026.4,21174.0,12.3
130000,河北省,2008,63369,176.0438,289094.2,20936.0,12.7
130000,河北省,2007,72529,194.8,269039.9,16922.98,12.25
130000,河北省,2006,68694,161.06,250412.3,14500.6,9.33
130000,河北省,2005,73449,180.02,240106.4,12885.53,9.66
130000,河北省,2004,,,,,
130000,河北省,2003,79429,142.39,262434.0,12387.0,6.72
130000,河北省,2002,87368,187.5,340780.0,15056.0,8.3
130000,河北省,2001,110347,272.25,293682.0,9920.0,9.2
130000,河北省,2000,115405,304.13,311862.0,9559.0,9.32
140000,山西省,2019,,,,,
140000,山西省,2018,,,,,
