省份编码,省份,年份,建筑业企业利润总额(亿元),内资建筑业企业利润总额(亿元),国有建筑业企业利润总额(亿元),集体建筑业企业利润总额(亿元),港澳台商投资建筑业企业利润总额(亿元),港澳台商独资建筑业企业利润总额(亿元),外商投资建筑业企业利润总额(亿元),外商独资建筑业企业利润总额(亿元)
110000,北京市,2019,804.36954,800.30153,112.51793,2.19928,2.81748,1.8886,1.25053,0.46626
110000,北京市,2018,488.76841,482.77214,89.22193,1.8011,2.91603,1.58325,3.08024,1.03912
110000,北京市,2017,741.35738,738.74008,65.54795,3.42535,0.43172,-0.42364,2.18558,0.42774
110000,北京市,2016,675.31687,668.81184,61.14051,7.20126,1.25854,-0.30339,5.24649,3.3035
110000,北京市,2015,479.37647,474.95171,97.55284,5.87109,1.88471,1.18011,2.54005,1.31068
110000,北京市,2014,435.96405,432.33608,98.3472,7.04231,0.16228,0.08688,3.46569,2.65993
110000,北京市,2013,,,,,,,,
110000,北京市,2012,243.40126,235.30944,18.06909,3.153,4.15285,3.90648,3.93897,1.15045
110000,北京市,2011,216.77704,212.49713,18.80562,3.7174,1.88965,1.20171,2.39026,0.65957
110000,北京市,2010,198.61834,190.6416,20.6989,4.5726,5.5198,4.4408,2.457,0.3657
110000,北京市,2009,175.14122,168.4623,23.9166,3.09939,4.25617,3.41249,2.42275,-0.65192
110000,北京市,2008,56.38999,53.26272,18.76519,3.70304,1.07962,0.57396,2.04765,0.16518
110000,北京市,2007,96.02564,93.62888,45.20567,3.52401,1.25512,0.54231,1.14164,0.42904
110000,北京市,2006,96.5927,95.53177,53.26699,4.65146,0.26866,-0.03737,0.79227,0.19318
110000,北京市,2005,61.2127,60.45745,34.11344,4.98144,0.07777,0.14365,0.67749,0.30703
110000,北京市,2004,37.95776,,,,,,,
110000,北京市,2003,29.9739,30.0076,3.5549,6.6143,-0.0327,-0.0197,-0.001,0.0
110000,北京市,2002,25.1894,24.898,7.7263,5.7297,-0.1158,0.0033,0.4072,
110000,北京市,2001,18.7424,18.4303,3.6886,4.2092,-0.0497,,0.3618,
110000,北京市,2000,16.3561,16.0389,4.8327,5.3077,-0.0924,,0.4096,
120000,天津市,2019,98.74151,98.28178,25.14928,1.0928,0.12638,0.01462,0.33335,
120000,天津市,2018,86.12687,86.20221,21.92179,1.43147,-0.01857,-0.11206,-0.05677,
120000,天津市,2017,71.60173,70.73757,16.16625,1.5178,0.31776,0.11185,0.5464,0.30439
120000,天津市,2016,97.58337,96.86888,16.41318,5.47388,0.14234,-0.02657,0.57215,0.1395
120000,天津市,2015,159.40819,159.0104,13.57363,9.36084,0.03326,-0.08567,0.36453,0.06255
120000,天津市,2014,158.55849,158.13671,8.98478,13.82961,0.16751,-0.01402,0.25427,0.05899
120000,天津市,2013,,,,,,,,
120000,天津市,2012,95.93638,95.92522,13.8773,8.48453,0.01507,0.00064,-0.00391,
120000,天津市,2011,79.5439,79.19031,12.4073,7.39792,0.00603,-0.03738,0.34756,0.0062
120000,天津市,2010,66.05411,64.7644,13.863,4.0038,0.1483,0.0183,1.1414,0.0
120000,天津市,2009,54.1986,53.51417,10.6087,2.72759,0.17756,0.03007,0.50687,0.01857
120000,天津市,2008,47.54037,47.14946,10.16395,1.84526,-0.24493,-0.25984,0.63584,0.00015
120000,天津市,2007,37.92116,37.77792,7.51997,1.40967,-0.21856,-0.28215,0.3618,
120000,天津市,2006,25.79338,26.36609,4.99354,0.92146,-0.31578,-0.36131,-0.25693,-0.02526
120000,天津市,2005,17.0137,17.43494,3.72989,1.13822,-0.44855,0.05896,0.02732,-0.06854
120000,天津市,2004,12.59425,,,,,,,
120000,天津市,2003,9.7029,10.1076,1.2958,1.9343,-0.42,0.0,0.0153,0.0
120000,天津市,2002,7.3614,7.391,1.142,1.6781,-0.0377,,0.0081,
120000,天津市,2001,3.7517,3.9721,0.7297,0.9904,-0.2189,,-0.0016,
120000,天津市,2000,2.7993,2.7617,0.1354,0.9726,0.0531,,-0.0155,
130000,河北省,2019,143.92821,143.79168,6.72285,2.49983,0.1543,,-0.01777,
130000,河北省,2018,139.34144,139.21311,4.4068,3.83182,0.12727,,0.00106,
130000,河北省,2017,162.53678,162.40713,5.26314,4.45049,0.09148,,0.03817,
130000,河北省,2016,154.65085,154.52772,4.43829,4.00704,0.11789,,0.00524,
130000,河北省,2015,155.67475,155.63813,7.69133,4.41652,0.03344,,0.00318,
130000,河北省,2014,163.13028,162.95018,9.01903,3.82297,0.17373,,0.00637,
130000,河北省,2013,,,,,,,,
130000,河北省,2012,147.17451,146.82689,10.28257,4.04987,0.15108,,0.19654,
130000,河北省,2011,126.99762,126.7234,-1.02326,2.96735,0.26373,,0.01049,
130000,河北省,2010,104.93069,104.5714,7.9095,4.1011,0.1782,0.0,0.1811,0.0
130000,河北省,2009,74.47541,74.20285,8.99111,1.83496,0.19912,,0.07344,
130000,河北省,2008,71.89046,71.65856,6.01394,1.94053,0.17295,,0.05895,
130000,河北省,2007,44.65208,44.57485,11.33124,2.22263,0.09316,,-0.01593,
130000,河北省,2006,31.41598,31.22878,3.97066,1.837,0.19182,,-0.00462,
130000,河北省,2005,29.3377,29.32959,4.58595,2.24892,0.01284,,-0.00477,
130000,河北省,2004,24.62001,,,,,,,
130000,河北省,2003,18.0629,18.0201,1.271,2.8156,-0.0078,-0.013,0.0506,0.0
130000,河北省,2002,14.6051,14.6278,2.01,2.9017,-0.011,-0.0155,-0.0117,
130000,河北省,2001,12.6382,12.6552,3.4024,3.7735,0.0071,-0.0153,-0.024,
130000,河北省,2000,6.737,6.7312,0.9979,3.9009,0.015,0.0047,-0.0092,
140000,山西省,2019,100.14579,100.1141,6.2328,0.23284,0.0084,,0.02329,
140000,山西省,2018,96.10486,96.04948,7.81574,0.76526,-0.00685,,0.06223,
140000,山西省,2017,101.13162,101.06483,4.81934,1.06526,-0.00277,,0.06956,0.02148
140000,山西省,2016,97.20769,97.20671,8.59388,0.97075,-0.0256,,0.02658,
140000,山西省,2015,93.80784,93.85629,6.86387,1.29892,-0.05679,,0.00834,
140000,山西省,2014,93.91658,93.89658,7.9058,1.02482,0.02065,,-0.00065,
140000,山西省,2013,,,,,,,,
140000,山西省,2012,69.33186,69.45354,12.09059,0.61857,0.02299,,-0.14467,0.01088
140000,山西省,2011,49.22363,49.21866,8.91152,0.57433,-0.01486,,0.01983,0.00957
140000,山西省,2010,48.38101,48.3045,4.7568,0.6801,0.0472,0.0,0.0293,0.0
140000,山西省,2009,30.56113,30.51576,3.21408,0.82916,0.022,,0.02337,
140000,山西省,2008,23.17357,23.13553,2.62092,0.49435,0.01097,,0.02707,
140000,山西省,2007,19.45659,19.49052,0.96009,0.76661,-0.02503,,-0.0089,
