省份编码,省份,年份,按建筑业总产值计算的建筑业企业劳动生产率(元/人),按建筑业总产值计算的国有建筑业企业劳动生产率(元/人),按建筑业总产值计算的集体建筑业企业劳动生产率(元/人)
110000,北京市,2019,576000.3888,686592.7234,514867.3177
110000,北京市,2018,552472.85,652649.02,456764.42
110000,北京市,2017,564242.403046778,620380.205414239,461093.095964983
110000,北京市,2016,533879.608243102,586154.889766218,410263.900269226
110000,北京市,2015,519349.872789984,542777.132039078,414955.246960371
110000,北京市,2014,510339.173888881,593462.878442819,428587.257414866
110000,北京市,2013,842475.0,974004.98205429,493841.31140076
110000,北京市,2012,740348.57190375,790942.79425637,449594.27705677
110000,北京市,2011,328011.96066603,404646.58994187,58139.601972131
110000,北京市,2010,254836.0,287387.0,216547.0
110000,北京市,2009,249940.116483097,247796.546453948,205987.951807229
110000,北京市,2008,221431.910571307,211824.691870304,182141.10927038
110000,北京市,2007,190436.183751537,186723.359518734,178844.693437932
110000,北京市,2006,165212.79,173929.63,151973.19
110000,北京市,2005,158603.55,176197.89,138055.77
110000,北京市,2004,149154.206916218,,
110000,北京市,2003,129961.0,141993.0,109842.0
110000,北京市,2002,117820.0,116523.0,104533.0
110000,北京市,2001,105924.0,114566.0,85657.0
110000,北京市,2000,88132.0,81575.0,75644.0
120000,天津市,2019,421878.1552,819559.7429,552553.2734
120000,天津市,2018,395345.07,694279.1,382240.1
120000,天津市,2017,452141.072002529,906133.676038386,494023.746132259
120000,天津市,2016,492878.595221351,532431.163385796,545737.730852564
120000,天津市,2015,495814.164531236,600161.287663813,480647.019968498
120000,天津市,2014,406862.891632124,451525.574153982,375518.414956982
120000,天津市,2013,532842.0,556653.0135961,536868.80099439
120000,天津市,2012,552285.04650721,564145.70816843,482922.44520485
120000,天津市,2011,457312.90847171,459717.03007214,253694.8810218
120000,天津市,2010,370312.0,483204.0,228926.0
120000,天津市,2009,322264.302296764,444002.2666377,263985.994397759
120000,天津市,2008,292998.526729481,373216.570865871,168372.535690007
120000,天津市,2007,269869.449413635,324311.489976582,160646.864225142
120000,天津市,2006,255500.38,294004.75,123413.13
120000,天津市,2005,192982.91,228411.11,110297.5
120000,天津市,2004,160132.020149242,,
120000,天津市,2003,147063.0,171624.0,84315.0
120000,天津市,2002,117999.0,135216.0,81228.0
120000,天津市,2001,111688.0,117259.0,66588.0
120000,天津市,2000,86819.0,92803.0,55509.0
130000,河北省,2019,602872.4332,1344044.3486,328252.9356
130000,河北省,2018,429098.92,1105938.78,242113.03
130000,河北省,2017,374963.747727728,938139.433952985,284888.916015625
130000,河北省,2016,379815.122001251,841308.475643897,308193.984818371
130000,河北省,2015,377266.517270357,806702.126245847,279004.952380952
130000,河北省,2014,384614.320249293,850794.872570064,295544.502498346
130000,河北省,2013,430534.0,929819.03352601,255573.87073321
130000,河北省,2012,351210.24070989,776370.85962307,303223.96865329
130000,河北省,2011,260868.32678754,635186.89659917,172881.67032811
130000,河北省,2010,236052.0,485765.0,135231.0
130000,河北省,2009,193592.036574043,402798.825887743,99916.4001305483
130000,河北省,2008,148527.748904825,281085.147969028,78827.7797490404
130000,河北省,2007,134856.956610342,300824.653060276,69420.3697351769
130000,河北省,2006,118389.48,199253.13,86814.79
130000,河北省,2005,108144.14,229032.97,59525.46
130000,河北省,2004,75821.7003801304,,
130000,河北省,2003,70048.0,109051.0,49893.0
130000,河北省,2002,63504.0,102225.0,47147.0
130000,河北省,2001,57869.0,79884.0,39110.0
130000,河北省,2000,51217.0,71888.0,35283.0
140000,山西省,2019,411622.6753,569753.3774,224591.7355
140000,山西省,2018,372040.97,411617.96,240655.54
140000,山西省,2017,341749.847885391,367985.017708296,210965.684738327
140000,山西省,2016,295590.288243992,329901.941328149,194590.4825418
140000,山西省,2015,294641.021491488,296636.675576103,198274.219211711
140000,山西省,2014,291332.455938607,322015.611543011,219779.487179487
140000,山西省,2013,297286.0,332539.90899912,207344.91149574
140000,山西省,2012,282148.45489028,277627.09139125,153460.86452581
