省份编码,省份,年份,建筑业总产值(亿元),建筑工程产值(亿元),安装工程产值(亿元),其他产值(亿元)
110000,北京市,2019,11999.36106,11393.55854,492.9499,112.85262
110000,北京市,2018,10939.75808,10378.31,455.35,106.1
110000,北京市,2017,9736.71361,9158.24721,430.22684,148.23956
110000,北京市,2016,8841.19046,8357.34388,395.77207,88.07451
110000,北京市,2015,8436.73,7992.06299,369.01724,75.64939
110000,北京市,2014,8209.79567,7819.40173,315.99058,74.40336
110000,北京市,2013,7464.36084,7050.49707,275.27728,81.31152
110000,北京市,2012,6588.29531,6296.94767,245.53447,45.81317
110000,北京市,2011,6046.21823,5828.80144,170.84238,46.57441
110000,北京市,2010,5196.01725,5020.1878,135.5613,
110000,北京市,2009,4059.70233,3908.551,114.9841,
110000,北京市,2008,3066.16988,2931.52806,103.79681,
110000,北京市,2007,2576.76915,2455.88646,97.62278,
110000,北京市,2006,2167.92228,2017.71554,132.49067,
110000,北京市,2005,1894.0436,1721.46716,147.8306,
110000,北京市,2004,1656.9591,1281.4587,148.3419,
110000,北京市,2003,1269.8521,1105.3775,132.1891,
110000,北京市,2002,1055.0535,933.9909,100.2403,
110000,北京市,2001,887.9099,774.5272,95.8509,
110000,北京市,2000,727.4774,646.7132,63.4278,
120000,天津市,2019,4096.49595,3605.63989,389.19698,101.65908
120000,天津市,2018,3791.10225,3292.71,395.24,103.15
120000,天津市,2017,4262.34745,3726.4637,414.86028,121.02347
120000,天津市,2016,4891.8102,4326.91782,426.51382,138.37856
120000,天津市,2015,4488.9,3835.7837,474.22263,178.89679
120000,天津市,2014,4123.48624,3486.7696,492.67898,144.03766
120000,天津市,2013,3694.43619,3078.62436,458.54081,133.36757
120000,天津市,2012,3258.57014,2768.90418,349.45174,140.21422
120000,天津市,2011,2986.45451,2566.43528,313.29751,106.72172
120000,天津市,2010,2424.49331,2023.2855,278.939,
120000,天津市,2009,1911.47526,1576.25188,226.36445,
120000,天津市,2008,1453.78544,1169.55198,196.45988,
120000,天津市,2007,1221.94188,984.02307,178.47949,
120000,天津市,2006,983.93195,755.2493,160.14799,
120000,天津市,2005,754.3702,576.09853,114.34723,
120000,天津市,2004,653.70678,506.8665,99.13,
120000,天津市,2003,520.8402,430.5105,74.3489,
120000,天津市,2002,406.1628,319.9946,69.9662,
120000,天津市,2001,288.6808,237.1352,46.0644,
120000,天津市,2000,238.0991,197.0207,35.9748,
130000,河北省,2019,5847.96509,4758.28437,799.87616,289.80456
130000,河北省,2018,5740.24931,4740.08,734.71,265.46
130000,河北省,2017,5655.96067,4615.80933,759.71819,280.43315
130000,河北省,2016,5517.69202,4585.72822,587.49512,344.46868
130000,河北省,2015,5252.57,4363.29172,531.04204,358.23478
130000,河北省,2014,5625.74597,4735.37502,554.69806,335.67289
130000,河北省,2013,5244.90104,4400.43616,490.06645,313.41966
130000,河北省,2012,4865.09069,4101.53457,461.46371,302.09241
130000,河北省,2011,3972.66201,3473.65521,354.90938,144.09742
130000,河北省,2010,3231.46321,2716.9868,333.5235,
130000,河北省,2009,2525.0461,2135.99447,263.35553,
130000,河北省,2008,2044.81271,1693.07561,240.62572,
130000,河北省,2007,1614.69089,1359.59831,176.4606,
130000,河北省,2006,1448.7321,1207.46672,179.64656,
130000,河北省,2005,1285.2931,1058.49097,171.85555,
130000,河北省,2004,1004.03925,715.743,96.6006,
130000,河北省,2003,779.9313,667.4726,87.7957,
130000,河北省,2002,711.1712,608.6819,86.2121,
130000,河北省,2001,614.501,535.3071,71.7018,
130000,河北省,2000,492.1005,426.8471,59.3771,
140000,山西省,2019,4653.27909,4043.35514,463.74402,146.17993
140000,山西省,2018,4071.46388,3547.58,421.61,102.27
140000,山西省,2017,3566.57318,3122.15689,353.80258,90.61371
140000,山西省,2016,3318.47393,2878.01687,347.59464,92.86242
140000,山西省,2015,2931.26,2535.94651,300.35539,94.96082
140000,山西省,2014,3103.49182,2665.93137,342.51073,95.04972
140000,山西省,2013,3034.36562,2553.78251,316.75202,113.2741
140000,山西省,2012,2668.1679,2335.00037,252.42744,80.74009
140000,山西省,2011,2324.91083,2023.98682,213.45915,87.46486
140000,山西省,2010,2143.45913,1900.6893,176.1114,
140000,山西省,2009,1826.10399,1627.52863,151.71173,
140000,山西省,2008,1355.44147,1172.96538,140.86332,
140000,山西省,2007,1060.70409,910.12249,120.54483,
140000,山西省,2006,939.67372,804.70849,99.21011,
140000,山西省,2005,849.2165,738.3324,86.7411,
140000,山西省,2004,712.57499,593.6214,118.9508,
140000,山西省,2003,540.1279,444.7468,57.1813,
140000,山西省,2002,446.9457,388.3344,48.3034,
140000,山西省,2001,311.439,273.4576,35.4879,
140000,山西省,2000,239.3974,211.4612,26.5088,
150000,内蒙古自治区,2019,1086.0592,936.6164,67.25617,82.18663
150000,内蒙古自治区,2018,1040.12328,880.88,66.73,92.51
150000,内蒙古自治区,2017,1122.19319,965.55544,69.45579,87.18196
150000,内蒙古自治区,2016,1220.80893,994.62725,104.31701,121.86467
150000,内蒙古自治区,2015,1123.47,938.99354,104.39274,80.08473
150000,内蒙古自治区,2014,1402.93435,1213.19068,93.21543,96.52824
150000,内蒙古自治区,2013,1571.16187,1319.85085,135.94521,84.68097
150000,内蒙古自治区,2012,1440.99693,1269.09016,93.33981,78.56696
150000,内蒙古自治区,2011,1394.67797,1247.42986,88.69824,58.54987
150000,内蒙古自治区,2010,1125.57715,998.7307,73.2684,
150000,内蒙古自治区,2009,964.72545,847.7399,67.5403,
150000,内蒙古自治区,2008,780.04951,688.40634,65.60181,
150000,内蒙古自治区,2007,681.10383,590.17249,61.67798,
150000,内蒙古自治区,2006,467.00498,393.38022,59.63418,
150000,内蒙古自治区,2005,381.3045,327.15646,35.16683,
150000,内蒙古自治区,2004,354.50909,271.6042,44.9519,
150000,内蒙古自治区,2003,257.6575,222.461,30.1201,
150000,内蒙古自治区,2002,220.0194,192.1028,23.5471,
150000,内蒙古自治区,2001,178.2561,155.3179,19.1936,
150000,内蒙古自治区,2000,136.7309,120.9661,12.3376,
210000,辽宁省,2019,3554.44589,2871.56336,549.67944,133.20309
210000,辽宁省,2018,3528.41352,2885.63,522.47,120.32
210000,辽宁省,2017,3688.32566,3018.50702,524.931,144.88764
210000,辽宁省,2016,3926.71329,3224.58746,551.99892,150.12691
210000,辽宁省,2015,5413.76,4417.9785,769.19053,226.59324
210000,辽宁省,2014,7851.12478,6591.40608,960.76412,298.95458
210000,辽宁省,2013,8629.19084,7303.04983,1069.83229,370.48462
210000,辽宁省,2012,7547.38984,6323.1338,937.15116,287.10488
210000,辽宁省,2011,6217.52262,5257.82221,739.04403,220.65638
