省份编码,省份,年份,建筑业总产值(亿元),房屋和土木工程建筑业建筑业总产值(亿元),房屋工程建筑建筑业总产值(亿元),土木工程建筑建筑业总产值(亿元),建筑安装业建筑业总产值(亿元),建筑装饰业建筑业总产值(亿元),其他建筑业建筑业总产值(亿元)
110000,北京市,2019,11999.36106,,6201.79283,4101.32715,835.85691,,
110000,北京市,2018,10939.75808,,5513.65299,3925.73898,713.2907,,
110000,北京市,2017,9736.71361,,4982.02964,3266.60255,733.24527,,
110000,北京市,2016,8841.19046,,4539.77308,2863.16852,704.55833,,
110000,北京市,2015,8436.73,,4331.03547,2754.85369,667.44357,,
110000,北京市,2014,8209.79567,,4318.89679,2527.25243,676.12693,,
110000,北京市,2013,7464.36084,,3934.96825,2182.7625,612.6841,,
110000,北京市,2012,6588.29531,5436.08269,3552.23499,1883.8477,555.29662,513.32063,83.59537
110000,北京市,2011,6046.21823,5025.67928,3165.74985,1859.92943,506.11796,443.08634,71.33465
110000,北京市,2010,5196.01725,4371.9385,2566.7626,1805.176,444.1221,320.413,59.5436
110000,北京市,2009,4059.70233,3410.83462,1924.27487,1486.55975,348.6041,250.92112,49.34249
110000,北京市,2008,3066.16988,2451.75667,1557.37661,894.38006,336.9903,236.36923,41.05368
110000,北京市,2007,2576.76915,2024.98169,1392.81661,632.16508,280.33454,229.55745,41.8954700000002
110000,北京市,2006,2167.92228,1765.92142,1258.87385,507.04757,219.97605,152.71546,29.30935
110000,北京市,2005,1894.0436,1559.49646,1124.24862,435.24784,182.1646,128.46016,23.9223600000001
110000,北京市,2004,1656.9591,,,,,,
110000,北京市,2003,1269.8521,1043.5684,805.7795,237.7889,135.1905,79.6961,11.3971
110000,北京市,2002,1055.0535,,694.2564,844.0259,64.2699,65.1373,
110000,北京市,2001,887.9099,,578.7428,725.1724,,49.1676,
110000,北京市,2000,727.4774,579.6962,487.0682,,101.3877,46.3935,
120000,天津市,2019,4096.49595,,1443.81066,2119.13259,333.36312,,
120000,天津市,2018,3791.10225,,1243.27724,2074.2017,305.75009,,
120000,天津市,2017,4262.34745,,1412.26448,2237.84731,352.60381,,
120000,天津市,2016,4891.8102,,2003.04608,2219.09319,372.85355,,
120000,天津市,2015,4488.9,,1756.10684,2100.09945,366.77209,,
120000,天津市,2014,4123.48624,,1604.70718,1966.87271,326.80951,,
120000,天津市,2013,3694.43619,,1490.69599,1675.37585,303.01624,,
120000,天津市,2012,3258.57014,2791.07537,1250.97175,1540.10362,283.88828,97.32697,86.27952
120000,天津市,2011,2986.45451,2501.35146,1029.39046,1471.961,304.26579,65.66591,115.17135
120000,天津市,2010,2424.49331,1986.5735,796.3054,1190.2681,258.2528,50.6916,128.9754
120000,天津市,2009,1911.47526,1495.6454,625.63038,870.01502,223.38346,107.92927,84.51713
120000,天津市,2008,1453.78544,1222.42291,430.25122,792.17169,147.66198,35.69958,48.00097
120000,天津市,2007,1221.94188,1019.41463,371.82259,647.59204,144.23942,30.14282,28.14501
120000,天津市,2006,983.93195,811.40633,296.42166,514.98467,121.74821,24.47913,26.29828
120000,天津市,2005,754.3702,610.05857,261.47807,348.5805,104.61998,22.97016,16.72147
120000,天津市,2004,653.70678,,,,,,
120000,天津市,2003,520.8402,426.7202,181.4471,245.2731,71.6208,16.2491,6.2501
120000,天津市,2002,406.1628,,151.1753,326.2022,56.4141,13.0059,
120000,天津市,2001,288.6808,,113.5147,232.5511,,5.4162,
120000,天津市,2000,238.0991,193.8002,105.3112,,39.446,4.853,
130000,河北省,2019,5847.96509,,3502.89807,1709.88516,494.37578,,
130000,河北省,2018,5740.24931,,3572.86264,1604.36386,425.0319,,
130000,河北省,2017,5655.96067,,3578.46166,1557.66864,399.10139,,
130000,河北省,2016,5517.69202,,3771.16495,1299.43339,312.12939,,
130000,河北省,2015,5252.57,,3542.02044,1292.81204,287.11305,,
130000,河北省,2014,5625.74597,,3828.53757,1373.63498,293.05887,,
130000,河北省,2013,5244.90104,,3571.73777,1231.16601,274.19564,,
130000,河北省,2012,4865.09069,4487.35991,3356.22628,1131.13363,269.08938,73.02141,35.61999
130000,河北省,2011,3972.66201,3611.60045,2690.15536,921.44509,275.19234,54.03459,31.83463
130000,河北省,2010,3231.46321,2946.2836,1901.8263,1044.4572,217.7188,43.572,23.8889
130000,河北省,2009,2525.0461,2312.71008,1415.67768,897.0324,158.11219,35.1192,19.10463
130000,河北省,2008,2044.81271,1827.39963,1122.45631,704.94332,168.80619,31.23066,17.37623
130000,河北省,2007,1614.69089,1454.36592,1004.8048,449.56112,124.52854,26.20019,9.59624000000012
130000,河北省,2006,1448.7321,1279.31164,892.01437,387.29727,137.45871,22.39886,9.56289
130000,河北省,2005,1285.2931,1135.18692,813.80713,321.37979,122.19162,16.48714,11.4274000000002
130000,河北省,2004,1004.03925,,,,,,
130000,河北省,2003,779.9313,699.1708,545.8254,153.3454,57.7155,13.4241,9.6209
130000,河北省,2002,711.1712,,487.8347,627.6106,19.0767,19.1989,
130000,河北省,2001,614.501,,429.925,548.8936,,14.6019,
130000,河北省,2000,492.1005,440.0043,333.9067,,41.1266,10.9696,
140000,山西省,2019,4653.27909,,2176.93958,2108.09341,229.4274,,
140000,山西省,2018,4071.46388,,1877.56558,1878.08623,189.49564,,
140000,山西省,2017,3566.57318,,1561.40864,1731.42564,165.80299,,
140000,山西省,2016,3318.47393,,1415.58539,1643.65029,155.24758,,
140000,山西省,2015,2931.26,,1239.77359,1457.20166,139.82056,,
140000,山西省,2014,3103.49182,,1309.38714,1532.13925,152.31583,,
140000,山西省,2013,3034.36562,,1242.85035,1498.14187,136.4439,,
140000,山西省,2012,2668.1679,2453.81873,1014.10658,1439.71215,111.48755,35.3856,67.47602
140000,山西省,2011,2324.91083,2142.04505,800.07776,1341.96729,95.89855,27.99264,58.97459
140000,山西省,2010,2143.45913,1997.365,666.2664,1331.0986,77.9793,24.116,43.9988
140000,山西省,2009,1826.10399,1693.81536,503.96642,1189.84894,69.82193,23.17834,39.28836
140000,山西省,2008,1355.44147,1240.44709,423.77052,816.67657,66.36472,18.38783,30.24183
140000,山西省,2007,1060.70409,963.84104,313.81575,650.02529,66.54102,13.28775,17.03428
140000,山西省,2006,939.67372,841.25984,287.70391,553.55593,56.02681,29.91396,12.47311
140000,山西省,2005,849.2165,787.45449,230.2616,557.19289,39.95279,11.09398,10.71528
140000,山西省,2004,712.57499,,,,,,
140000,山西省,2003,540.1279,501.0169,152.3715,348.6454,22.5892,8.7715,7.7503
140000,山西省,2002,446.9457,,159.7231,413.3842,9.9478,6.7863,
140000,山西省,2001,311.439,,116.6847,292.5918,,1.5274,
140000,山西省,2000,239.3974,226.8422,90.0712,,11.7556,0.7996,
150000,内蒙古自治区,2019,1086.0592,,601.79301,404.4298,37.26963,,
150000,内蒙古自治区,2018,1040.12328,,603.02101,375.60945,39.00636,,
150000,内蒙古自治区,2017,1122.19319,,679.41757,390.84501,36.13245,,
150000,内蒙古自治区,2016,1220.80893,750.8481,751.09849,413.38278,41.71436,41.7144,14.6133
150000,内蒙古自治区,2015,1123.47,,692.8655,369.0759,43.05718,,
150000,内蒙古自治区,2014,1402.93435,,877.59716,464.14397,40.07031,,
150000,内蒙古自治区,2013,1571.16187,,925.09845,541.27545,50.68983,,
150000,内蒙古自治区,2012,1440.99693,1372.88052,879.27177,493.60875,46.16112,4.42691,17.52838
150000,内蒙古自治区,2011,1394.67797,1321.43052,909.99096,411.43956,47.59901,7.72365,17.92479
150000,内蒙古自治区,2010,1125.57715,1064.8044,741.9471,322.8573,38.8524,9.9335,11.9869
150000,内蒙古自治区,2009,964.72545,913.55181,599.16845,314.38336,37.6597,3.96593,9.54801
150000,内蒙古自治区,2008,780.04951,741.65906,489.55365,252.10541,29.76378,2.76147,5.8652
150000,内蒙古自治区,2007,681.10383,650.99368,438.6957,212.29798,21.96316,2.31328,5.83371
150000,内蒙古自治区,2006,467.00498,442.4499,295.75212,146.69778,20.26547,1.7162,2.57341
150000,内蒙古自治区,2005,381.3045,361.22807,220.35215,140.87592,16.56434,1.35723,2.15480999999998
