省份编码,省份,年份,勘察设计单位营业收入(万元),勘察设计单位工程勘察收入(万元),勘察设计单位工程设计收入(万元),勘察设计单位工程承包收入(万元),勘察设计单位其他收入(万元)
110000,北京市,2019,100107889.704,,,,
110000,北京市,2018,79775261.0,,,,
110000,北京市,2017,64522947.0,,,,
110000,北京市,2016,57039209.0,,,,
110000,北京市,2015,58113763.0,,,,
110000,北京市,2014,59933861.0,,,,
110000,北京市,2013,56945604.0,,,,
110000,北京市,2012,44205050.67,,,,
110000,北京市,2011,31468463.66,1002552.52,4739907.13,20032769.99,5693234.02
110000,北京市,2010,24745089.0,533962.0,3900849.0,16366909.0,3943369.0
110000,北京市,2009,12662622.74,274871.27,2662153.47,8019570.94,1706027.06
110000,北京市,2008,11280729.54,232490.35,2410736.54,6391473.97,2246028.68
110000,北京市,2007,9070028.36,190393.75,1967287.51,4730180.97,2182166.13
110000,北京市,2006,7127603.93,217553.55,1502830.82,3334569.42,2072650.14
110000,北京市,2005,5386296.26,151385.06,1268501.3,2505038.22,1461371.68
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,23787114.796,,,,
120000,天津市,2018,20364747.0,,,,
120000,天津市,2017,19330942.0,,,,
120000,天津市,2016,11383449.0,,,,
120000,天津市,2015,10349606.0,,,,
120000,天津市,2014,7763182.0,,,,
120000,天津市,2013,7128999.0,,,,
120000,天津市,2012,3927314.58,,,,
120000,天津市,2011,3883320.78,346504.65,1098198.58,2031194.32,407423.23
120000,天津市,2010,3153826.0,367960.0,831427.0,1620113.0,334325.0
120000,天津市,2009,2703083.72,266276.49,649117.44,1466515.03,321174.76
120000,天津市,2008,2248080.04,249737.18,519312.76,972947.63,506082.47
120000,天津市,2007,2202835.14,158916.52,452281.61,1239413.98,352223.03
120000,天津市,2006,1750852.1,140439.42,338219.3,863295.07,408898.31
120000,天津市,2005,1421053.79,103780.01,283258.79,723461.49,310553.5
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,8883493.304,,,,
