省份编码,省份,年份,建筑业企业总收入(亿元),内资建筑业企业总收入(亿元),国有建筑业企业总收入(亿元),集体建筑业企业总收入(亿元),港澳台商投资建筑业企业总收入(亿元),港澳台商独资建筑业企业总收入(亿元),外商投资建筑业企业总收入(亿元),外商独资建筑业企业总收入(亿元)
110000,北京市,2019,15234.03698,15064.65267,3365.57194,125.02725,81.07005,37.44413,88.31426,25.34791
110000,北京市,2018,13455.09774,13281.4082,2664.14286,126.98593,82.75111,39.06064,90.93843,27.46711
110000,北京市,2017,12186.08471,12030.1288,2196.91936,163.89648,78.19198,30.05461,77.76393,30.81961
110000,北京市,2016,11673.25202,11483.65671,2023.68764,185.78487,89.45845,31.57966,100.13686,44.36737
110000,北京市,2015,10956.91896,10782.11129,2198.72972,174.82916,85.39808,29.97383,89.40959,41.77026
110000,北京市,2014,10453.15401,10246.18767,2086.91886,188.43024,95.98715,41.01973,110.97919,53.75427
110000,北京市,2013,,,,,,,,
110000,北京市,2012,8119.5031,7908.02746,1320.11195,170.46019,114.91837,43.49312,96.55727,34.02349
110000,北京市,2011,7587.75889,7389.00162,1227.197,180.80019,120.2995,38.59044,78.45777,22.72529
110000,北京市,2010,6611.5222,6428.3856,1157.3077,167.9874,99.0654,31.3585,84.0712,19.9632
110000,北京市,2009,5132.41057,4981.41538,1113.68888,143.5436,73.16693,25.03819,77.82826,11.80673
110000,北京市,2008,3851.58851,3702.25184,804.13535,125.87499,66.02676,26.53561,83.30991,14.32469
110000,北京市,2007,3292.95748,3164.89955,1000.81102,123.30043,51.51393,17.47907,76.544,13.03938
110000,北京市,2006,2608.50292,2509.39235,865.9715,115.82746,39.09754,12.24242,60.01303,8.25654
110000,北京市,2005,2205.50625,2132.9679,827.08593,129.32132,28.02032,8.15619,44.51803,3.88143
110000,北京市,2004,,,,,,,,
110000,北京市,2003,1334.4478,1295.5312,527.5113,135.104,12.519,0.0643,26.3976,0.0
110000,北京市,2002,1121.0188,1090.8809,478.1047,134.7377,12.4182,0.0864,17.7197,
110000,北京市,2001,961.7551,930.2001,441.6443,103.3102,15.9545,,15.6005,
110000,北京市,2000,763.948,733.8888,413.6346,126.202,14.1213,,15.9379,
120000,天津市,2019,4956.10237,4945.11683,896.84929,47.93326,4.06562,1.29235,6.91992,
120000,天津市,2018,4080.09442,4074.09561,793.32395,41.6249,3.2825,0.43712,2.71631,
120000,天津市,2017,3790.34291,3777.71264,727.94105,56.67314,5.30179,0.38045,7.32848,2.41533
120000,天津市,2016,4146.22593,4133.91635,577.95517,160.20517,4.91255,0.34125,7.39703,2.17676
120000,天津市,2015,4322.21917,4312.2457,567.99362,170.40006,3.44604,0.15185,6.52743,1.54455
120000,天津市,2014,4233.70944,4221.45128,497.7108,193.11192,5.30718,0.26762,6.95098,0.84384
120000,天津市,2013,,,,,,,,
120000,天津市,2012,3431.22698,3419.71353,907.68905,239.14967,5.44685,0.25046,6.0666,
120000,天津市,2011,3214.88605,3199.06163,815.7072,173.06925,5.68164,0.31813,10.14278,0.33377
120000,天津市,2010,2699.0111,2673.1465,802.9845,118.9767,15.6393,6.2519,10.2253,0.1334
120000,天津市,2009,2155.41437,2132.27205,657.74555,81.76289,10.81763,3.40097,12.32469,0.20721
120000,天津市,2008,1624.44475,1606.05262,515.73421,52.7248,7.67274,2.55781,10.71939,0.06138
120000,天津市,2007,1378.60975,1360.73976,413.85881,36.16079,7.96821,3.4461,9.90178,0.03909
120000,天津市,2006,1046.57659,1030.09748,312.1491,38.00211,6.41522,2.98238,10.06389,0.27947
120000,天津市,2005,807.79529,791.50312,291.06884,41.53634,10.82975,2.92314,5.46242,0.27099
120000,天津市,2004,,,,,,,,
120000,天津市,2003,532.523,523.6067,203.6911,55.2143,6.8521,0.0,2.0642,0.0
120000,天津市,2002,409.0684,401.5886,155.646,52.3151,5.2481,,2.2317,
120000,天津市,2001,288.0697,285.9169,166.4167,32.8419,1.7804,,0.3724,
120000,天津市,2000,239.8738,238.2047,172.4557,30.4934,1.3117,,0.3574,
130000,河北省,2019,5387.76247,5381.93865,833.92761,68.15391,5.75505,,0.06877,
130000,河北省,2018,5156.81902,5152.52616,746.80448,83.08453,4.16439,,0.12847,
130000,河北省,2017,5177.99672,5173.24661,623.68801,87.78726,3.96426,,0.78585,
130000,河北省,2016,5068.64619,5064.71357,658.33235,88.34157,3.58811,,0.34451,
130000,河北省,2015,4882.43736,4879.0254,608.3934,81.06169,3.10771,,0.30425,
130000,河北省,2014,5104.34651,5100.62766,658.84069,78.72957,3.15174,,0.56711,
130000,河北省,2013,,,,,,,,
130000,河北省,2012,4376.12807,4369.80465,798.87277,99.07802,3.6784,,2.64502,
130000,河北省,2011,3665.14253,3661.30795,765.26871,77.0603,3.62079,,0.21379,
130000,河北省,2010,3063.4886,3058.8233,604.0504,70.6148,2.864,,1.8013,
130000,河北省,2009,2397.84233,2393.74725,533.10208,53.95033,2.59629,,1.49879,
130000,河北省,2008,1979.31384,1975.18627,422.96736,46.32324,2.90158,,1.22599,
130000,河北省,2007,1491.71337,1489.877,505.12449,56.03467,1.82137,,0.015,
130000,河北省,2006,1222.68976,1220.33412,395.03697,57.26727,2.26738,,0.08826,
130000,河北省,2005,1079.65041,1079.04231,352.85981,60.28778,0.42531,,0.18279,
130000,河北省,2004,,,,,,,,
130000,河北省,2003,793.3457,792.7816,245.4471,117.8696,0.0671,0.0204,0.497,0.0
130000,河北省,2002,682.228,681.5675,250.2769,99.6053,0.049,0.0006,0.6115,
130000,河北省,2001,588.0998,587.111,242.0997,125.555,0.7019,0.011,0.2868,
130000,河北省,2000,466.0847,465.0865,258.3453,129.4309,0.6025,0.1265,0.3958,
140000,山西省,2019,4688.01751,4687.4208,607.79286,34.73758,0.45257,,0.14414,
140000,山西省,2018,4134.76762,4130.39693,534.08407,37.62122,0.45341,,3.91728,
140000,山西省,2017,3662.30616,3658.11678,529.63552,39.1402,0.65175,,3.53763,0.09817
140000,山西省,2016,3334.00634,3328.52418,495.1696,41.20803,1.04326,,4.4389,
140000,山西省,2015,2946.44033,2941.46662,431.6583,46.99353,1.5811,,3.39261,
140000,山西省,2014,3173.55694,3167.33131,563.98487,55.05635,2.02922,,4.19641,
140000,山西省,2013,,,,,,,,
140000,山西省,2012,2595.32301,2586.07655,682.24953,45.11245,3.68336,,5.5631,1.25536
140000,山西省,2011,2309.96014,2302.38001,663.78713,50.22485,1.67713,,5.903,2.78413
140000,山西省,2010,2157.2283,2147.7366,539.4858,42.6844,6.5327,,2.959,
140000,山西省,2009,1889.82949,1882.09107,426.47745,40.00173,4.50115,,3.23727,
140000,山西省,2008,1431.94809,1425.72662,397.31679,32.32921,2.73449,,3.48698,
