省份编码,省份,年份,建筑业企业资产(亿元),内资建筑业企业资产(亿元),国有建筑业企业资产(亿元),集体建筑业企业资产(亿元),港澳台商投资建筑业企业资产(亿元),港澳台商独资建筑业企业资产(亿元),外商投资建筑业企业资产(亿元),外商独资建筑业企业资产(亿元)
110000,北京市,2019,29132.86858,28942.77103,5707.73892,141.32815,91.87254,33.12323,98.22501,27.87047
110000,北京市,2018,27220.64423,27011.17831,4722.89911,162.16139,102.30403,42.9789,107.16189,28.14294
110000,北京市,2017,23158.96127,22962.36957,4483.07859,209.71556,101.15799,43.23072,95.43371,31.79992
110000,北京市,2016,20263.67257,20062.39022,4044.72553,250.02661,95.51464,41.04778,105.76771,39.15516
110000,北京市,2015,18365.97208,18173.68148,3854.87102,243.7484,99.27251,36.84448,93.01809,40.92501
110000,北京市,2014,16281.24648,16107.70774,3608.2621,225.30419,74.26451,38.0177,99.27423,43.64864
110000,北京市,2013,,,,,,,,
110000,北京市,2012,11760.03522,11577.84479,1806.32561,215.76316,101.45404,42.0407,80.73639,24.29562
110000,北京市,2011,10809.28795,10655.37033,1640.34421,227.36296,94.16721,37.76715,59.75041,17.96351
110000,北京市,2010,8897.9807,8740.2962,1493.2842,216.6288,98.6158,28.7775,59.0687,11.9919
110000,北京市,2009,6996.53667,6866.3206,1490.22171,205.0717,73.90265,25.32282,56.31342,8.67395
110000,北京市,2008,5590.86514,5469.12459,1354.64354,177.60474,64.31505,20.92008,57.4255,9.43572
110000,北京市,2007,4662.02327,4558.67673,2308.51341,156.3482,54.7936,20.86464,48.55294,7.46937
110000,北京市,2006,3573.68775,3496.46839,1686.04021,144.83637,40.37665,10.24671,36.84271,4.91802
110000,北京市,2005,3271.49564,3215.97297,1718.88329,154.86589,26.28251,3.78927,29.24016,2.12831
110000,北京市,2004,,,,,,,,
110000,北京市,2003,1753.7485,1712.9632,733.5698,182.3558,15.4321,0.2814,25.3532,0.0
110000,北京市,2002,1475.7066,1442.3267,662.1395,173.088,17.2231,0.1571,16.1568,
110000,北京市,2001,1306.94392,1272.526,709.1007,124.3615,16.2646,,18.1534,
110000,北京市,2000,1086.45803,1056.2641,655.06,155.0169,17.0126,,13.1814,
120000,天津市,2019,7746.62916,7730.39817,1437.10826,107.17576,8.26444,1.744,7.96655,
120000,天津市,2018,7124.6456,7113.32602,1224.49691,100.73589,6.27725,1.23143,5.04233,
120000,天津市,2017,6230.53247,6215.35519,1103.74522,122.12173,6.17517,0.97473,9.00211,1.59115
120000,天津市,2016,6016.72128,6002.73024,742.42328,202.8208,5.28868,1.01796,8.70236,1.33038
120000,天津市,2015,5721.91,5708.07885,720.98574,168.6079,5.55766,0.97547,8.27349,1.09409
120000,天津市,2014,5272.01981,5252.47296,593.4373,187.40889,10.06261,0.99151,9.48424,0.60217
120000,天津市,2013,,,,,,,,
120000,天津市,2012,3924.8602,3905.15576,1007.46491,194.89837,11.85672,0.8834,7.84772,
120000,天津市,2011,3079.17421,3054.66598,721.1125,153.13802,12.35041,0.8996,12.15782,0.72528
120000,天津市,2010,2397.4077,2372.1031,594.0229,109.7994,16.5181,4.7063,8.7866,0.5844
120000,天津市,2009,1988.68248,1964.52227,553.18229,94.71146,14.83189,4.35809,9.32832,0.28468
120000,天津市,2008,1601.12012,1580.32346,514.33405,68.92794,8.95954,3.38128,11.83712,0.0797
120000,天津市,2007,1199.79536,1182.76443,348.71004,34.04727,7.56897,3.08741,9.46196,0.08381
120000,天津市,2006,917.68346,898.12065,245.16289,38.20551,7.84996,3.42329,11.71285,3.51363
120000,天津市,2005,738.47604,719.94839,285.56372,42.51137,9.20342,3.4244,9.32423,3.41764
120000,天津市,2004,,,,,,,,
120000,天津市,2003,573.2065,564.9221,249.9247,59.9374,6.6719,0.0,1.6125,0.0
120000,天津市,2002,488.0187,480.681,220.3278,51.9745,5.586,,1.7517,
120000,天津市,2001,348.6048,344.4456,207.3878,36.7652,3.2916,,0.8675,
120000,天津市,2000,309.72176,306.2436,216.9014,36.7139,2.546,,0.9322,
130000,河北省,2019,6813.4547,6809.9485,874.27306,38.73956,2.73584,,0.77036,
130000,河北省,2018,6540.29017,6536.97328,832.93156,38.37609,2.5718,,0.74509,
130000,河北省,2017,6094.91173,6092.25832,690.3,56.85677,2.10586,,0.54755,
130000,河北省,2016,4972.68387,4969.61895,663.52098,54.54075,2.67626,,0.38866,
130000,河北省,2015,4482.38842,4479.78249,594.78919,47.63692,2.17483,,0.4311,
130000,河北省,2014,4156.10721,4153.23765,608.55868,58.72383,2.24456,,0.625,
130000,河北省,2013,,,,,,,,
130000,河北省,2012,3243.60056,3239.12218,656.21785,51.01321,2.05941,,2.41897,
130000,河北省,2011,2619.64401,2617.51884,578.591,48.15035,1.94956,,0.17561,
130000,河北省,2010,2200.1384,2197.0799,479.4437,43.2749,1.6311,,1.4273,
130000,河北省,2009,1884.92753,1882.61308,422.92977,45.37011,1.33057,,0.98388,
130000,河北省,2008,1601.47223,1599.31375,353.38674,40.81747,1.28737,,0.87111,
130000,河北省,2007,1250.05421,1248.69346,426.01024,56.65039,1.14797,,0.21278,
130000,河北省,2006,1057.47147,1056.22173,324.8197,49.78396,1.05661,0.0,0.19313,0.0
130000,河北省,2005,976.47362,975.7496,328.29517,54.70101,0.3264,,0.39762,
130000,河北省,2004,,,,,,,,
130000,河北省,2003,762.988,761.8045,285.57,70.9045,0.2106,0.0533,0.9729,0.0
130000,河北省,2002,713.127,712.2443,291.1142,83.2351,0.2669,0.0544,0.6158,
130000,河北省,2001,607.19047,605.7463,298.8614,97.0678,0.565,0.0695,0.8791,
130000,河北省,2000,515.38085,514.0368,315.011,119.2732,0.6385,0.0952,0.7056,
140000,山西省,2019,6877.34741,6876.58581,1679.53085,51.60698,0.52648,,0.23512,
140000,山西省,2018,5947.34767,5943.0862,1266.91098,49.76909,0.70811,,3.55336,
140000,山西省,2017,5455.90332,5451.37484,1260.61608,65.06777,1.36838,,3.1601,0.15643
140000,山西省,2016,4845.38972,4840.12588,1020.16504,58.51133,1.61204,,3.6518,
140000,山西省,2015,4033.79223,4028.84438,809.32013,56.24936,2.53693,,2.41092,
140000,山西省,2014,3793.99349,3788.52035,820.46679,55.37847,3.24321,,2.22993,
140000,山西省,2013,,,,,,,,
140000,山西省,2012,2976.16373,2966.56007,756.24002,46.48939,5.83995,,3.76371,1.51558
140000,山西省,2011,2503.47855,2497.6878,609.59056,45.77627,2.01162,,3.77913,1.81873
140000,山西省,2010,2026.8277,2020.8674,441.3282,40.0252,4.7161,,1.2442,
140000,山西省,2009,1635.87515,1629.70364,373.60329,38.26689,5.1307,,1.04081,
140000,山西省,2008,1354.91619,1348.44906,375.33036,36.60633,5.41969,,1.04744,
140000,山西省,2007,1085.97898,1081.96763,374.44728,35.43036,3.45329,,0.55806,
140000,山西省,2006,949.78717,946.45617,409.04356,36.03601,2.81183,0.0,0.51917,0.0
140000,山西省,2005,850.4544,846.91058,435.71411,32.32039,2.87467,,0.66915,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,631.0377,627.2737,288.2267,36.3912,3.0735,0.0,0.6905,0.0
140000,山西省,2002,554.8743,552.0037,328.3171,36.2588,1.7528,0.4383,1.1178,
140000,山西省,2001,381.90891,380.2028,247.4095,28.9488,1.697,0.573,0.0091,
140000,山西省,2000,322.12916,320.1578,260.5706,35.1245,1.9503,0.8114,0.0211,
150000,内蒙古自治区,2019,2168.9185,2168.9185,316.38315,3.78485,,,,
150000,内蒙古自治区,2018,2219.17903,2219.17903,288.96999,2.20658,,,,
150000,内蒙古自治区,2017,2106.60229,2106.60229,277.59079,2.21878,,,,
150000,内蒙古自治区,2016,1975.86258,1975.86258,296.4442,3.42494,,,,
150000,内蒙古自治区,2015,1872.53756,1872.53756,250.73901,3.47976,,,,
150000,内蒙古自治区,2014,1796.30824,1796.30824,165.41357,3.23199,,,,
150000,内蒙古自治区,2013,,,,,,,,
