省份编码,省份,年份,建筑业企业从业人员(万人),内资建筑业企业从业人员(万人),国有建筑业企业从业人员(万人),集体建筑业企业从业人员(万人),港澳台商投资建筑业企业从业人员(万人),港澳台商独资建筑业企业从业人员(万人),外商投资建筑业企业从业人员(万人),外商独资建筑业企业从业人员(万人)
110000,北京市,2019,54.8488,53.9652,8.9125,0.8917,0.5313,0.1414,0.3523,0.1121
110000,北京市,2018,52.9112,51.7574,6.8604,0.9785,0.7702,0.1951,0.3836,0.1206
110000,北京市,2017,60.2039,59.0331,7.53,1.9013,0.7208,0.2182,0.45,0.1327
110000,北京市,2016,58.1441,56.8932,7.0113,2.2524,0.7839,0.1566,0.467,0.1505
110000,北京市,2015,58.5691,57.3241,8.2129,2.0385,0.6254,0.1836,0.6196,0.2111
110000,北京市,2014,50.0771,48.9085,5.9952,2.4114,0.5904,0.1692,0.5782,0.2333
110000,北京市,2013,49.0456,47.6319,5.7434,2.4238,0.804,0.2522,0.6097,0.2146
110000,北京市,2012,48.4741,46.6633,5.5681,2.3244,1.1861,0.2149,0.6247,0.2147
110000,北京市,2011,49.0122,47.3401,5.1175,2.3491,1.128,0.1617,0.5441,0.1779
110000,北京市,2010,59.3816,56.9401,8.1875,2.6738,1.8948,0.1499,0.5467,0.0909
110000,北京市,2009,55.7781,53.9064,10.5853,3.1293,1.2693,0.144,0.6024,0.0916
110000,北京市,2008,46.3921,44.6749,7.5386,3.0915,1.1151,0.1328,0.6021,0.0919
110000,北京市,2007,53.2582,50.9942,13.261,3.7695,1.2362,0.1313,1.0278,0.0785
110000,北京市,2006,66.3803,63.9398,18.0396,5.1007,1.4028,0.357,1.0377,0.0496
110000,北京市,2005,66.8011,64.459,18.273,6.1049,1.2323,0.3051,1.1098,0.0947
110000,北京市,2004,53.5892,52.3482,14.7965,8.1249,,,,
110000,北京市,2003,56.98,56.0816,16.7641,11.3587,0.3607,0.0023,0.5344,
110000,北京市,2002,56.8,55.91,21.41,12.44,0.59,0.01,0.3,
110000,北京市,2001,57.79,56.99,22.57,12.01,0.4493,,0.3479,
110000,北京市,2000,56.6,55.72,27.32,18.03,0.5322,,0.35,
120000,天津市,2019,80.8747,80.7692,6.8519,0.7477,0.0481,0.0222,0.0574,
120000,天津市,2018,64.1059,64.0326,8.9669,0.8078,0.0422,0.0184,0.0311,
