省份编码,省份,年份,建筑业企业总收入(亿元),建筑业企业主营业务收入(亿元),建筑业企业主营业务成本(亿元),建筑业企业主营业务利润(亿元),建筑业企业其他业务收入(亿元),建筑业企业其他业务利润(亿元)
110000,北京市,2019,15234.03698,15115.28761,14040.81566,764.50381,118.74937,29.23757
110000,北京市,2018,13455.09774,13334.63945,12391.51205,471.93658,120.45829,17.288
110000,北京市,2017,12186.08471,12119.65183,11270.94503,713.24782,66.43288,15.72686
110000,北京市,2016,11673.25202,11615.89385,10769.539,653.43507,57.3581700000003,14.8088
110000,北京市,2015,10956.91896,10894.96879,9921.5939,439.08714,61.9501699999988,23.41342
110000,北京市,2014,10453.15401,10387.94446,9507.08393,408.01591,65.20955,18.44075
110000,北京市,2013,,,,,,
110000,北京市,2012,8119.5031,8051.44448,7355.97447,216.51561,68.05862,19.47876
110000,北京市,2011,7587.75889,7501.09418,6868.47209,190.19737,86.6647100000009,16.87137
110000,北京市,2010,6611.5222,6483.3464,5956.3489,338.3416,128.1758,20.5763
110000,北京市,2009,5132.41057,5044.9141,4636.32905,257.52641,87.49647,23.80679
110000,北京市,2008,3851.58851,3770.39868,3426.18746,218.45216,81.18983,20.2883
110000,北京市,2007,3292.95748,3206.94998,2909.16546,192.01012,86.0075,18.51479
110000,北京市,2006,2608.50292,2563.0014,2295.44728,180.58842,45.50152,10.23713
110000,北京市,2005,2205.50625,2162.10252,1939.66143,148.22377,43.40373,8.34504
110000,北京市,2004,,,,,,
110000,北京市,2003,1334.4478,1283.9608,1137.1088,108.2198,50.487,9.3272
110000,北京市,2002,1121.0188,1083.5344,955.8151,95.7349,37.4844,7.7606
110000,北京市,2001,961.7551,906.8854,796.9647,83.1078,54.8697,7.69811
110000,北京市,2000,763.948,706.8086,611.9426,73.5915,57.1394,9.10083
120000,天津市,2019,4956.10237,4508.76657,4166.89388,93.84387,447.3358,4.97403
120000,天津市,2018,4080.09442,4020.16775,3713.5154,80.80361,59.92667,5.8092
120000,天津市,2017,3790.34291,3738.95313,3421.24777,64.2197,51.38978,3.78875
120000,天津市,2016,4146.22593,4084.63377,3690.01081,88.01035,61.5921599999994,4.3892
120000,天津市,2015,4322.21917,4283.93804,3807.29566,146.34997,38.2811300000004,3.86431
120000,天津市,2014,4233.70944,4206.74621,3674.34266,150.59653,26.9632299999997,3.35871
120000,天津市,2013,,,,,,
120000,天津市,2012,3431.22698,3405.52248,3058.16397,87.16518,25.7045,5.78156
120000,天津市,2011,3214.88605,3177.25019,2874.52708,69.38557,37.6358600000002,6.31364
120000,天津市,2010,2699.0111,2646.9034,2407.8409,154.8181,52.1077,8.2726
120000,天津市,2009,2155.41437,2105.49609,1919.36752,121.75052,49.91828,7.17133
120000,天津市,2008,1624.44475,1582.13368,1422.14198,111.77006,42.31107,3.93111
120000,天津市,2007,1378.60975,1339.47069,1209.13595,89.89776,39.13906,4.20896
120000,天津市,2006,1046.57659,1020.37484,918.46494,69.42157,26.20175,2.41202
120000,天津市,2005,807.79529,788.77925,708.79969,56.0008,19.01604,1.0764
120000,天津市,2004,,,,,,
120000,天津市,2003,532.523,515.9802,461.7473,40.046,16.5428,1.0201
120000,天津市,2002,409.0684,394.8297,349.6498,34.0588,14.2387,1.3944
120000,天津市,2001,288.0697,278.4914,248.9803,21.5016,9.5783,0.83948
120000,天津市,2000,239.8738,229.9769,203.1691,20.451,9.897,1.20939
130000,河北省,2019,5387.76247,4987.15808,4608.67543,135.47298,400.60439,4.77068
130000,河北省,2018,5156.81902,5089.60924,4699.39775,133.94955,67.20978,6.43769
130000,河北省,2017,5177.99672,5118.16563,4676.66687,157.39303,59.83109,5.5558
130000,河北省,2016,5068.64619,5016.38245,4532.32753,151.32455,52.2637399999998,4.44504
130000,河北省,2015,4882.43736,4778.81204,4227.87022,152.67642,103.62532,5.44478
130000,河北省,2014,5104.34651,5063.67353,4485.58971,157.62719,40.6729800000005,4.74278
130000,河北省,2013,,,,,,
130000,河北省,2012,4376.12807,4307.75135,3826.73592,141.72922,68.37672,4.83526
130000,河北省,2011,3665.14253,3617.83799,3239.47102,115.56498,47.3045399999999,8.83088
130000,河北省,2010,3063.4886,2972.8308,2659.2672,192.6386,90.6578,18.7325
130000,河北省,2009,2397.84233,2355.95601,2101.64405,164.38268,41.88632,6.46064
130000,河北省,2008,1979.31384,1947.33656,1726.11304,145.01667,31.97728,5.35789
130000,河北省,2007,1491.71337,1457.1865,1302.38853,98.42486,34.52687,6.25575
130000,河北省,2006,1222.68976,1199.38227,1055.08358,88.92218,23.30749,4.06281
130000,河北省,2005,1079.65041,1056.52324,929.06096,85.02777,23.12717,2.57389
130000,河北省,2004,,,,,,
130000,河北省,2003,793.3457,778.0884,680.9625,71.3835,15.2573,2.1072
130000,河北省,2002,682.228,672.6704,593.8211,56.7922,9.5576,1.6251
130000,河北省,2001,588.0998,575.5635,505.1322,42.7987,12.5363,2.51158
130000,河北省,2000,466.0847,454.103,401.5944,37.8117,11.9817,1.6616
140000,山西省,2019,4688.01751,4629.27093,4222.83237,87.70858,58.74658,8.27101
140000,山西省,2018,4134.76762,4066.04531,3746.27386,92.70041,68.72231,4.94639
140000,山西省,2017,3662.30616,3627.76897,3303.07464,95.59587,34.53719,4.53905
140000,山西省,2016,3334.00634,3302.9335,2937.93253,91.73675,31.0728399999999,3.35561
140000,山西省,2015,2946.44033,2893.9431,2552.39462,86.93145,52.4972300000001,5.10434
140000,山西省,2014,3173.55694,3110.39878,2753.6183,87.24431,63.1581599999998,4.99993
140000,山西省,2013,,,,,,
140000,山西省,2012,2595.32301,2542.4826,2265.0904,63.17197,52.84041,4.90067
140000,山西省,2011,2309.96014,2285.54106,2045.17434,41.92945,24.4190799999997,6.61389
140000,山西省,2010,2157.2283,2123.853,1913.2709,134.2815,33.3753,3.9158
140000,山西省,2009,1889.82949,1873.50506,1707.62558,105.91626,16.32443,3.36032
140000,山西省,2008,1431.94809,1416.97547,1281.88322,86.88925,14.97262,3.24845
140000,山西省,2007,1083.7405,1072.68172,967.85468,66.07247,11.05878,2.52776
140000,山西省,2006,965.73669,953.13413,862.28506,57.45638,12.60256,2.59882
140000,山西省,2005,888.73934,873.56259,784.99541,56.82861,15.17675,3.02067
140000,山西省,2004,,,,,,
140000,山西省,2003,523.5875,504.2419,448.3424,38.7771,19.3456,2.7621
140000,山西省,2002,462.5469,445.4155,396.578,35.3818,17.1314,2.3229
140000,山西省,2001,323.1033,308.7971,271.1871,27.8756,14.3062,1.04732
140000,山西省,2000,247.103,233.0894,203.2379,22.4092,14.0136,1.18137
150000,内蒙古自治区,2019,1328.77055,1309.44114,1196.7689,30.90847,19.32941,2.16795
150000,内蒙古自治区,2018,1241.46666,1220.28786,1086.42309,45.68096,21.1788,1.141
150000,内蒙古自治区,2017,1205.02962,1185.43726,1016.77261,49.78736,19.59236,0.77613
150000,内蒙古自治区,2016,1215.87072,1193.19825,1037.50696,57.5156,22.6724699999999,1.10633
150000,内蒙古自治区,2015,1133.69568,1110.79789,945.30685,44.3829,22.89779,1.01656
150000,内蒙古自治区,2014,1398.84437,1369.6082,1160.90975,69.89302,29.2361699999999,3.75457
150000,内蒙古自治区,2013,,,,,,
150000,内蒙古自治区,2012,1430.84616,1422.48259,1141.0576,84.24034,8.36357,1.79203
150000,内蒙古自治区,2011,1366.26898,1360.24569,1147.05451,101.87335,6.02329000000004,3.00905
150000,内蒙古自治区,2010,1135.1264,1112.5391,923.3601,133.1073,22.5873,3.3422
150000,内蒙古自治区,2009,956.63378,946.61875,800.24656,110.59978,10.01503,2.5734
150000,内蒙古自治区,2008,768.77117,756.15056,633.5528,86.63079,12.62061,3.37865
