省份编码,省份,年份,建筑业企业所有者权益(亿元),内资建筑业企业所有者权益(亿元),国有建筑业企业所有者权益(亿元),集体建筑业企业所有者权益(亿元),港澳台商投资建筑业企业所有者权益(亿元),港澳台商独资建筑业企业所有者权益(亿元),外商投资建筑业企业所有者权益(亿元),外商独资建筑业企业所有者权益(亿元)
110000,北京市,2019,9587.82915,9545.32837,1273.33434,41.97704,17.86182,3.1904,24.63896,9.67496
110000,北京市,2018,8426.19657,8378.55781,1034.17482,41.17467,17.99326,2.36746,29.6455,9.57505
110000,北京市,2017,7116.41839,7074.02431,1000.06376,46.84641,17.25702,3.06416,25.13706,10.12964
110000,北京市,2016,6122.26466,6074.4266,837.96931,53.56632,18.24109,5.24582,29.59697,11.10246
110000,北京市,2015,5418.90581,5374.71975,785.19471,54.01776,16.01437,7.20178,28.17169,11.44654
110000,北京市,2014,4402.70607,4361.52127,703.89001,50.58053,12.80818,5.50692,28.37662,9.42315
110000,北京市,2013,,,,,,,,
110000,北京市,2012,3337.58135,3294.39734,323.43031,44.054,22.72527,16.55238,20.45874,6.10315
110000,北京市,2011,3297.15744,3262.99227,270.97647,51.675,16.90804,12.76732,17.25713,4.51264
110000,北京市,2010,2878.4241,2831.183,248.0278,52.7532,31.6021,11.2199,15.6391,2.8503
110000,北京市,2009,2660.84649,2626.55969,353.06821,53.91878,18.50972,7.14732,15.77708,2.08296
110000,北京市,2008,1996.21556,1964.41163,375.60548,46.71481,13.78353,4.88146,18.0204,2.46907
110000,北京市,2007,1741.69018,1715.9022,1132.11208,37.06693,12.3705,3.71932,13.41748,2.15685
110000,北京市,2006,1135.37311,1114.81452,619.48832,37.12634,10.15011,1.08935,10.40848,1.67691
110000,北京市,2005,1171.05713,1149.4361,734.46176,40.45737,11.66083,2.71446,9.9602,1.58198
110000,北京市,2004,,,,,,,,
110000,北京市,2003,455.8848,440.213,175.5139,55.5433,8.0692,0.064,7.6026,
110000,北京市,2002,401.7664,387.2747,169.7845,54.4588,8.6654,0.0358,5.8263,
110000,北京市,2001,333.78745,320.5197,159.0585,39.6352,8.1349,,5.1328,
110000,北京市,2000,258.89465,246.5075,131.1196,52.4292,6.7588,,5.6283,
120000,天津市,2019,1832.45164,1825.37682,319.60012,19.27844,3.29207,0.59917,3.78275,
120000,天津市,2018,1729.98895,1723.94023,252.37543,20.83917,3.21778,0.58157,2.83094,
120000,天津市,2017,1471.83344,1464.06562,242.41708,29.12598,3.18319,0.61361,4.58463,0.71237
120000,天津市,2016,1409.79878,1403.93444,141.52062,37.92609,1.56765,0.50483,4.29669,0.45423
