省份编码,省份,年份,资产合计(亿元),流动资产(亿元),固定资产(亿元),无形及递延资产(亿元)
110000,北京市,2019,29132.86858,18096.07196,910.18827,
110000,北京市,2018,27220.64423,17484.93906,905.49887,
110000,北京市,2017,23158.96127,15774.15072,431.25677,
110000,北京市,2016,20263.67257,14279.74438,456.22799,
110000,北京市,2015,18365.97208,13020.54515,505.72791,
110000,北京市,2014,16281.24648,11651.84872,491.78429,
110000,北京市,2013,,,,
110000,北京市,2012,11760.03522,8508.67352,416.65589,
110000,北京市,2011,10809.28795,7322.07582,358.17832,
110000,北京市,2010,8897.9807,6274.5762,376.1617,91.282
110000,北京市,2009,6996.53667,5018.16026,356.21811,73.18626
110000,北京市,2008,5590.86514,3846.66282,317.13311,64.55509
110000,北京市,2007,4662.02327,3234.05172,290.39083,62.08402
110000,北京市,2006,3573.68775,2535.76558,275.9669,32.32273
110000,北京市,2005,3271.49564,2210.12928,252.66732,25.44388
110000,北京市,2004,,,,
110000,北京市,2003,1753.7485,1381.9104,212.5103,20.3607
110000,北京市,2002,1475.7066,1160.2037,147.4285,18.0984
110000,北京市,2001,1306.94392,1036.56248,135.059,11.55262
110000,北京市,2000,1086.45803,858.84925,124.47201,8.69652
120000,天津市,2019,7746.62916,6036.96143,695.44674,
120000,天津市,2018,7124.6456,5450.41988,682.2866,
120000,天津市,2017,6230.53247,4946.26227,366.41039,
120000,天津市,2016,6016.72128,4835.06705,447.29275,
120000,天津市,2015,5721.91,4521.33761,551.69774,
120000,天津市,2014,5272.01981,4131.9354,465.03469,
120000,天津市,2013,,,,
120000,天津市,2012,3924.8602,2956.42925,432.86357,
120000,天津市,2011,3079.17421,2360.24077,399.8922,
120000,天津市,2010,2397.4077,1826.5884,352.0679,30.8736
120000,天津市,2009,1988.68248,1498.55024,306.20918,29.79295
120000,天津市,2008,1601.12012,1213.09569,234.28305,28.38024
120000,天津市,2007,1199.79536,887.47115,213.86533,26.93677
120000,天津市,2006,917.68346,659.64019,183.16044,14.47713
120000,天津市,2005,738.47604,542.31502,142.58965,9.09988
120000,天津市,2004,,,,
120000,天津市,2003,573.2065,411.1629,120.2545,7.2733
120000,天津市,2002,488.0187,339.2418,106.4258,7.6444
120000,天津市,2001,348.6048,246.08027,72.36799,9.00211
120000,天津市,2000,309.72176,229.50837,61.43988,4.00893
130000,河北省,2019,6813.4547,5702.94124,780.39228,
130000,河北省,2018,6540.29017,5450.95089,796.18792,
130000,河北省,2017,6094.91173,5051.27256,519.82982,
130000,河北省,2016,4972.68387,4050.41325,499.49629,
130000,河北省,2015,4482.38842,3623.34129,504.2276,
130000,河北省,2014,4156.10721,3302.45245,509.90035,
130000,河北省,2013,,,,
130000,河北省,2012,3243.60056,2538.00096,465.58374,
130000,河北省,2011,2619.64401,2030.22811,381.7935,
130000,河北省,2010,2200.1384,1726.9611,342.1089,51.0973
130000,河北省,2009,1884.92753,1457.88184,312.34762,46.22139
130000,河北省,2008,1601.47223,1173.08428,320.42805,43.36709
130000,河北省,2007,1250.05421,905.65648,258.08256,36.32865
130000,河北省,2006,1057.47147,734.4694,252.39333,30.67511
130000,河北省,2005,976.47362,675.96592,228.28997,30.14695
130000,河北省,2004,,,,
130000,河北省,2003,762.988,487.7814,213.0612,33.9619
130000,河北省,2002,713.127,463.3498,202.3605,24.8134
130000,河北省,2001,607.19047,414.10907,159.66129,16.22516
130000,河北省,2000,515.38085,352.62594,132.56021,10.81414
140000,山西省,2019,6877.34741,5299.11588,537.68296,
140000,山西省,2018,5947.34767,4738.44505,671.10337,
140000,山西省,2017,5455.90332,4533.44489,290.55095,
