省份编码,省份,年份,建筑业企业单位数(个),内资建筑业企业单位数(个),国有建筑业企业单位数(个),集体建筑业企业单位数(个),港澳台商投资建筑业企业单位数(个),港澳台商独资建筑业企业单位数(个),外商投资建筑业企业单位数(个),外商独资建筑业企业单位数(个)
110000,北京市,2019,2694,2639,96,74,32,7,23,5
110000,北京市,2018,2621,2562,89,84,32,7,27,6
110000,北京市,2017,2683,2614,108,97,38,9,31,10
110000,北京市,2016,2858,2785,115,126,37,8,36,12
110000,北京市,2015,2909,2833,119,136,37,8,39,13
110000,北京市,2014,3043,2969,124,153,38,9,36,11
110000,北京市,2013,3114,3035,133,169,42,11,37,10
110000,北京市,2012,3178,3099,137,175,41,11,38,11
110000,北京市,2011,3269,3188,147,194,44,9,37,10
110000,北京市,2010,3262,3170,155,209,48,9,44,9
110000,北京市,2009,3226,3122,175,217,53,8,51,10
110000,北京市,2008,3209,3098,173,233,55,9,56,10
110000,北京市,2007,2689,2574,180,223,59,8,56,11
110000,北京市,2006,2687,2537,219,243,49,4,48,7
110000,北京市,2005,2613,2507,234,292,59,3,47,4
110000,北京市,2004,2418,2304,303,357,,,,
110000,北京市,2003,2081,1988,260,366,55,1,38,
110000,北京市,2002,2058,1953,331,536,74,2,31,
110000,北京市,2001,1811,1683,371,489,83,,45,
110000,北京市,2000,1697,1566,353,634,78,,53,
120000,天津市,2019,1799,1790,60,25,5,3,4,
120000,天津市,2018,1798,1790,55,21,5,3,3,
120000,天津市,2017,1563,1553,66,38,4,2,6,1
120000,天津市,2016,1500,1488,74,46,6,2,6,1
120000,天津市,2015,1551,1532,74,55,11,2,8,1
120000,天津市,2014,1629,1611,83,61,9,2,9,1
120000,天津市,2013,1600,1578,118,70,13,1,9,
120000,天津市,2012,1535,1511,120,75,14,1,10,
120000,天津市,2011,1441,1410,117,82,17,2,14,1
120000,天津市,2010,1438,1405,122,79,18,3,15,1
120000,天津市,2009,1365,1334,126,82,17,3,14,1
120000,天津市,2008,1329,1296,146,95,21,3,12,1
120000,天津市,2007,1094,1062,124,81,19,2,13,1
120000,天津市,2006,1061,1054,127,101,16,2,18,4
120000,天津市,2005,1077,1040,139,133,19,2,18,3
120000,天津市,2004,1155,1119,146,133,,,,
120000,天津市,2003,884,861,151,192,15,,8,
120000,天津市,2002,898,874,158,215,15,,9,
120000,天津市,2001,407,387,131,187,14,,6,
120000,天津市,2000,446,423,135,221,14,,9,
130000,河北省,2019,2502,2497,105,60,3,,2,
130000,河北省,2018,2523,2520,114,67,3,,,
130000,河北省,2017,2522,2518,108,72,3,,1,
130000,河北省,2016,2467,2462,115,76,4,,1,
130000,河北省,2015,2375,2371,121,74,3,,1,
130000,河北省,2014,2395,2391,124,78,3,,1,
130000,河北省,2013,2395,2388,146,100,5,,2,
130000,河北省,2012,2347,2340,155,102,5,,2,
130000,河北省,2011,2157,2151,153,96,5,,1,
130000,河北省,2010,2132,2126,160,98,4,,2,
130000,河北省,2009,2139,2131,172,111,6,,2,
130000,河北省,2008,2230,2222,184,119,6,,2,
130000,河北省,2007,1916,1910,174,144,5,,1,
130000,河北省,2006,1876,1945,177,158,6,,1,
130000,河北省,2005,2007,2000,199,211,4,,3,
130000,河北省,2004,2163,2151,216,196,,,,
130000,河北省,2003,1584,1577,242,295,4,1,3,
130000,河北省,2002,1606,1599,287,393,4,1,3,
130000,河北省,2001,1681,1670,391,638,8,1,3,
130000,河北省,2000,1730,1719,435,859,7,1,4,
140000,山西省,2019,2999,2996,121,57,2,,1,
140000,山西省,2018,2666,2662,112,62,2,,2,
140000,山西省,2017,2538,2531,142,72,4,,3,1
140000,山西省,2016,2532,2526,143,82,3,,3,
140000,山西省,2015,2285,2277,139,88,4,,4,
140000,山西省,2014,2357,2347,148,94,6,,4,
140000,山西省,2013,2189,2177,166,107,7,,5,1
140000,山西省,2012,2016,2004,163,105,7,,5,1
140000,山西省,2011,1920,1911,173,110,5,,4,1
140000,山西省,2010,1727,1717,162,113,8,,2,
140000,山西省,2009,1696,1684,178,120,9,,3,
140000,山西省,2008,1774,1761,196,131,9,,4,
140000,山西省,2007,1360,1348,180,145,8,,4,
140000,山西省,2006,1278,1342,188,149,8,,3,
140000,山西省,2005,1403,1393,196,170,7,,3,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,1127,1114,211,194,11,,2,
140000,山西省,2002,1101,1039,224,217,9,2,2,
140000,山西省,2001,761,751,193,335,9,3,1,
140000,山西省,2000,792,783,205,426,8,2,1,
150000,内蒙古自治区,2019,1026,1026,24,5,,,,
150000,内蒙古自治区,2018,1006,1006,16,6,,,,
150000,内蒙古自治区,2017,886,886,23,6,,,,
150000,内蒙古自治区,2016,870,870,18,7,,,,
150000,内蒙古自治区,2015,841,841,16,7,,,,
150000,内蒙古自治区,2014,863,863,15,7,,,,
150000,内蒙古自治区,2013,866,866,18,12,,,,
150000,内蒙古自治区,2012,828,828,17,12,,,,
150000,内蒙古自治区,2011,829,828,19,13,,,1,
150000,内蒙古自治区,2010,787,787,19,13,,,,
150000,内蒙古自治区,2009,782,781,17,14,,,1,
150000,内蒙古自治区,2008,753,752,17,14,,,1,
150000,内蒙古自治区,2007,716,715,17,11,,,1,
150000,内蒙古自治区,2006,705,676,19,13,,,1,
150000,内蒙古自治区,2005,658,657,20,14,,,1,
150000,内蒙古自治区,2004,674,,18,9,,,,
150000,内蒙古自治区,2003,654,650,37,30,2,1,2,
150000,内蒙古自治区,2002,694,691,55,64,2,1,1,
