省份编码,省份,年份,建筑业企业负债(亿元),内资建筑业企业负债(亿元),国有建筑业企业负债(亿元),集体建筑业企业负债(亿元),港澳台商投资建筑业企业负债(亿元),港澳台商独资建筑业企业负债(亿元),外商投资建筑业企业负债(亿元),外商独资建筑业企业负债(亿元)
110000,北京市,2019,19545.03943,19397.44266,4434.40458,99.35111,74.01072,29.93283,73.58605,18.19551
110000,北京市,2018,18794.44766,18632.6205,3688.72429,120.98672,84.31077,40.61144,77.51639,18.56789
110000,北京市,2017,16042.54288,15888.34526,3483.01483,162.86915,83.90097,40.16656,70.29665,21.67028
110000,北京市,2016,14141.40791,13987.96362,3206.75622,196.46029,77.27355,35.80196,76.17074,28.0527
110000,北京市,2015,12946.19264,12798.0881,3069.67631,189.73064,83.25814,29.6427,64.8464,29.47847
110000,北京市,2014,11878.54041,11746.18647,2904.37209,174.72366,61.45633,32.51078,70.89761,34.22549
110000,北京市,2013,,,,,,,,
110000,北京市,2012,8422.27723,8283.27081,1482.8953,171.70916,78.72877,25.48832,60.27765,0.41669
110000,北京市,2011,7512.13051,7392.37806,1369.36774,175.68796,77.25917,24.99983,42.49328,0.23532
110000,北京市,2010,6019.5566,5909.1132,1245.2564,163.8757,67.0138,17.5576,43.4297,0.2543
110000,北京市,2009,4335.69018,4239.76091,1137.1535,151.15292,55.39293,18.1755,40.53634,0.24119
110000,北京市,2008,3594.64958,3504.71296,979.03806,130.88993,50.53152,16.03862,39.4051,0.39548
110000,北京市,2007,2920.33309,2842.77453,1176.40133,119.28127,42.4231,17.14532,35.13546,5.31252
110000,北京市,2006,2438.31464,2381.65387,1066.55189,107.71003,30.22654,9.15736,26.43423,3.24111
110000,北京市,2005,2100.43851,2066.53687,984.42153,114.40852,14.62168,1.07481,19.27996,0.54633
110000,北京市,2004,,,,,,,,
110000,北京市,2003,1297.8637,1272.7502,558.0559,126.8125,7.3629,0.2174,17.7506,0.0
110000,北京市,2002,1073.9402,1055.052,492.355,118.6292,8.5577,0.1213,10.3305,
110000,北京市,2001,973.15647,952.0063,550.0422,84.7263,8.1296,,13.0205,
110000,北京市,2000,827.56338,809.7565,523.9404,102.5876,10.2538,,7.5531,
120000,天津市,2019,5914.17752,5905.02135,1117.50814,87.89732,4.97237,1.14483,4.1838,
120000,天津市,2018,5394.65718,5389.38632,972.12148,79.89672,3.05947,0.64986,2.21139,
120000,天津市,2017,4758.65237,4751.24291,861.32814,92.99575,2.99198,0.36112,4.41748,0.87878
120000,天津市,2016,4606.91146,4598.78476,600.90266,164.89471,3.72103,0.51313,4.40567,0.87615
120000,天津市,2015,4380.04834,4371.96204,591.87355,136.26386,3.8353,0.44384,4.251,0.76867
120000,天津市,2014,4027.73325,4014.91349,485.13678,156.35789,7.31963,0.37388,5.50013,0.31911
120000,天津市,2013,,,,,,,,
120000,天津市,2012,2920.2753,2904.70366,847.00749,167.48485,9.29629,0.40148,6.27535,
120000,天津市,2011,2374.55358,2357.6156,600.80628,117.96212,9.49659,0.32486,7.44139,
120000,天津市,2010,1828.8838,1809.212,498.8366,86.5712,13.9251,5.51,5.7467,
120000,天津市,2009,1486.10167,1464.86255,457.09975,76.66078,13.83633,6.36187,7.40279,
120000,天津市,2008,1210.18188,1190.50203,417.89702,54.28183,9.24038,5.34338,10.43947,
120000,天津市,2007,911.62128,896.17379,261.96024,23.49277,7.43431,4.49932,8.01318,0.06721
120000,天津市,2006,662.51499,645.79201,178.30226,28.45384,6.80957,3.68962,9.91341,2.96834
