省份编码,省份,年份,建筑业企业利税总额合计(亿元),建筑业企业利润总额(亿元),建筑业企业主营业务税金及附加(亿元),建筑业企业管理费用中的税金(亿元),建筑业企业产值利税率(%),建筑业企业资产利税率(%)
110000,北京市,2019,1047.52438,804.36954,,,8.7,3.5956788021868
110000,北京市,2018,687.17044,488.76841,,,6.28140324833451,2.52
110000,北京市,2017,943.22551,741.35738,,,9.68730875509442,4.07283167411247
110000,北京市,2016,891.71015,675.31687,,,10.0858606545617,4.40053572184225
110000,北京市,2015,734.95995,479.37647,249.75601,5.82747,8.71143183559793,4.0017481612114
110000,北京市,2014,687.57324,435.96405,246.23876,5.37043,8.37503474675393,4.22309950804209
110000,北京市,2013,,,,,,
110000,北京市,2012,451.96734,243.40126,204.01308,4.553,6.86,3.84
110000,北京市,2011,421.35393,216.77704,199.39625,5.18064,6.96888392002351,3.89807295308476
110000,北京市,2010,373.26027,198.61834,169.4686,5.1734,7.2,4.2
110000,北京市,2009,314.19716,175.14122,135.07861,3.97733,7.73941374169667,4.49075270836821
110000,北京市,2008,170.80152,56.38999,111.53009,2.88144,5.57051718217257,3.05501055244556
110000,北京市,2007,189.45349,96.02564,91.0167,2.41115,7.35236565526252,4.06376114034283
110000,北京市,2006,172.6304,96.5927,73.93,2.1046,7.96294228776504,4.83059551019811
110000,北京市,2005,126.6684,61.2127,63.55,1.90405,6.68772151483442,3.87187922402366
110000,北京市,2004,93.13621,37.95776,,,,
110000,北京市,2003,69.946,29.9739,38.63,1.3399,5.51,4.0
110000,北京市,2002,58.4471,25.1894,31.98,1.2733,5.5,4.0
110000,北京市,2001,46.5129,18.7424,26.81,0.9576,5.24,3.559
110000,北京市,2000,38.5714,16.3561,21.27,0.9408,5.3,3.6
120000,天津市,2019,166.20495,98.74151,,,4.1,2.14551318473079
120000,天津市,2018,150.16016,86.12687,,,3.96085990873361,2.11
120000,天津市,2017,142.53994,71.60173,,,3.34416519704418,2.28776498134517
120000,天津市,2016,189.37743,97.58337,,,3.87131598032974,3.1475187429656
120000,天津市,2015,279.96891,159.40819,116.51292,4.0478,6.23691139050468,4.89292753643451
120000,天津市,2014,277.73985,158.55849,116.08075,3.10061,6.73555903511394,5.26818676730276
120000,天津市,2013,,,,,,
120000,天津市,2012,194.68896,95.93638,95.83822,2.91436,5.97,4.96
120000,天津市,2011,173.25104,79.5439,90.83766,2.86948,5.80122815934002,5.62654231895505
120000,天津市,2010,144.12008,66.05411,75.5794,2.4865,5.9,6.0
120000,天津市,2009,114.42915,54.1986,57.84746,2.38309,5.98643112963963,5.75401810750603
120000,天津市,2008,94.04389,47.54037,44.7951,1.70842,6.46889750113332,5.87363114267779
120000,天津市,2007,77.3199,37.92116,38.17315,1.22559,6.32762500946444,6.44442398910428
120000,天津市,2006,56.69347,25.79338,29.66,1.23613,5.76192997899906,6.17788948707869
120000,天津市,2005,39.812,17.0137,21.98,0.81611,5.2775084508245,5.39109569485829
120000,天津市,2004,32.34744,12.59425,,,,
120000,天津市,2003,24.9833,9.7029,14.19,1.0935,4.8,4.4
120000,天津市,2002,19.1909,7.3614,11.12,0.7084,4.7,3.9
120000,天津市,2001,12.1086,3.7517,8.01,0.3475,4.19,3.473
120000,天津市,2000,9.6435,2.7993,6.36,0.4875,4.1,3.1
130000,河北省,2019,286.52637,143.92821,,,4.9,4.20530234096955
130000,河北省,2018,296.49099,139.34144,,,5.16512329602369,4.53
130000,河北省,2017,311.70083,162.53678,,,5.51101480696824,5.11411557391004
130000,河北省,2016,315.45391,154.65085,,,5.71713515101193,6.34373546050495
130000,河北省,2015,316.88408,155.67475,155.63107,5.57826,6.03293565018382,7.06953637900037
130000,河北省,2014,335.00198,163.13028,166.06351,5.80819,5.95480104836657,8.06047493659337
130000,河北省,2013,,,,,,
130000,河北省,2012,292.42279,147.17451,140.16804,5.08024,6.01,9.02
130000,河北省,2011,254.34204,126.99762,122.33549,5.00893,6.40230755497873,9.70903065565767
130000,河北省,2010,211.87896,104.93069,101.8577,5.0905,6.6,9.6
