省份编码,省份,年份,建筑业房屋施工面积(万平方米),建筑业房屋竣工面积(万平方米),国有建筑业房屋施工面积(万平方米),国有建筑业房屋竣工面积(万平方米),集体建筑业房屋施工面积(万平方米),集体建筑业房屋竣工面积(万平方米)
110000,北京市,2019,80556.8009,10932.0871,22785.7997,2742.506,653.6705,84.9906
110000,北京市,2018,71969.3,9771.3,13909.8,2078.1,756.5,276.3
110000,北京市,2017,65290.1204,9844.433,12161.5996,1906.0212,911.611,160.6874
110000,北京市,2016,61097.5284,10703.4558,12550.7054,1923.0299,998.0816,166.1061
110000,北京市,2015,59776.7291,9886.2714,11251.8266,2111.6495,1029.0481,180.039
110000,北京市,2014,56477.1222,9274.9913,7992.6803,1858.6833,1151.5563,408.155
110000,北京市,2013,49259.056,8949.9374,8240.4839,1580.4508,1033.5977,238.5263
110000,北京市,2012,41660.3388,8406.2494,7509.3818,1524.2892,1114.8175,314.4596
110000,北京市,2011,36506.9071,6455.516,6742.1362,1264.8498,1281.8809,328.4157
110000,北京市,2010,29440.4,5933.2,7005.7,1253.0,1040.8,334.3
110000,北京市,2009,22720.6395,5225.4826,7099.1876,1553.5169,860.4087,307.786
110000,北京市,2008,19537.0946,4802.9297,5091.9485,1147.6506,814.6993,216.5079
110000,北京市,2007,18224.6,4945.89,6423.48,1654.18,748.04,244.25
110000,北京市,2006,16202.02,4785.79,5740.38,1347.41,878.65,417.47
110000,北京市,2005,15417.6,4862.38,5420.57,1485.83,1067.26,428.39
110000,北京市,2004,13019.5941,4496.595,6908.0361,,,
110000,北京市,2003,11971.77,4254.83,3908.19,1312.86,1596.03,703.13
110000,北京市,2002,10240.9,3827.0,3523.5,1175.7,1574.5,739.1
110000,北京市,2001,8919.3,3197.7,3338.8,1089.7,1270.6,572.0
110000,北京市,2000,7246.8,2808.7,3287.5,1278.7,1875.5,840.1
120000,天津市,2019,15616.8872,2371.6766,1948.6206,194.6206,328.8442,32.7668
120000,天津市,2018,13379.9,2119.6,1682.4,110.6,294.0,23.9
120000,天津市,2017,15081.1621,3218.4203,1685.3029,342.4803,43.6354,29.9524
120000,天津市,2016,17036.1591,3428.7264,1471.2424,189.2627,587.4824,222.1289
120000,天津市,2015,15644.6193,3547.2429,929.5342,153.4443,646.4586,277.9275
120000,天津市,2014,14158.7741,3232.0188,821.5908,163.0265,658.73,217.098
120000,天津市,2013,13000.8336,3635.4655,4747.8023,562.4448,1135.3455,495.8689
120000,天津市,2012,12484.9139,2876.703,5502.6872,314.82,905.8916,415.5483
120000,天津市,2011,10058.7846,2637.6499,3268.6831,469.0963,733.4179,283.4687
120000,天津市,2010,7564.3,2419.2,2168.3,410.9,502.4,201.4
120000,天津市,2009,6572.6925,2240.0981,1752.1314,441.0869,441.7677,225.0573
120000,天津市,2008,5947.5626,1643.6578,1932.0242,275.2605,282.3455,131.7558
120000,天津市,2007,5447.39,2101.38,1875.89,387.7,218.86,138.93
120000,天津市,2006,4555.08,1735.58,1204.09,288.18,256.33,173.48
120000,天津市,2005,3940.55,1484.38,1296.39,365.97,323.97,214.66
120000,天津市,2004,3436.4809,1307.5263,2373.109,,,
120000,天津市,2003,3395.94,1465.75,1252.58,503.19,497.47,292.45
120000,天津市,2002,2817.84,1332.1,1087.1,473.5,477.7,312.7
120000,天津市,2001,2140.0,924.9,1392.2,502.0,422.4,296.9
120000,天津市,2000,2254.0,1056.4,1504.7,615.9,499.6,338.7
130000,河北省,2019,34994.6771,8939.2564,4374.96,574.7916,725.2624,157.0063
130000,河北省,2018,35665.3,9054.4,3836.9,710.9,941.1,352.0
130000,河北省,2017,34565.8976,9835.9203,3457.9524,687.9783,898.0174,344.4335
130000,河北省,2016,34616.1208,11145.1387,3532.5491,661.7062,881.6093,347.8206
130000,河北省,2015,35616.4781,11612.9542,3526.6447,654.0817,846.8033,363.3258
130000,河北省,2014,37112.7343,12582.7074,3177.3356,740.1391,954.3341,442.4923
130000,河北省,2013,36460.0222,12808.1659,3900.8076,910.7963,1019.4108,452.6675
130000,河北省,2012,35270.4474,12419.8682,3550.2873,946.4048,1154.7108,530.7745
130000,河北省,2011,30832.7379,10641.8036,3070.509,876.3393,1012.8222,531.3742
130000,河北省,2010,23471.5,9100.9,2152.1,633.1,1302.0,439.4
130000,河北省,2009,17535.4763,7751.0424,1624.5723,520.7453,779.8127,484.3864
130000,河北省,2008,15909.4349,7009.8658,1782.9304,588.8387,540.59,311.7019
130000,河北省,2007,13417.16,6311.04,2248.47,649.19,742.15,424.03
130000,河北省,2006,12557.73,6024.09,1912.41,663.37,843.13,489.06
130000,河北省,2005,11261.39,5744.23,1942.98,665.81,891.55,542.46
130000,河北省,2004,9486.5556,4082.9819,2236.1176,,,
130000,河北省,2003,8914.57,4748.27,1507.33,692.56,1291.69,754.05
130000,河北省,2002,8297.9,4741.0,1529.9,772.0,1772.4,1155.3
130000,河北省,2001,7493.4,4365.8,2031.0,1074.0,2194.2,1453.3
130000,河北省,2000,6260.1,3481.4,2087.3,1097.4,2479.8,1469.7
140000,山西省,2019,16990.3178,3836.4113,2445.0133,587.8711,176.6793,82.6887
140000,山西省,2018,16651.8,3692.5,1698.1,449.7,147.3,51.7
140000,山西省,2017,15861.8366,3552.6303,3289.1769,671.3952,164.2547,46.4883
140000,山西省,2016,14620.5756,3353.2617,2983.7846,649.304,198.0304,86.1541
140000,山西省,2015,13943.412,3634.3558,3242.6931,866.0674,224.6839,82.4665
140000,山西省,2014,13928.5301,3940.0393,3267.0015,824.9612,231.6519,107.7462
140000,山西省,2013,13107.2137,3722.1212,3937.6462,1076.7099,297.7493,134.6757
140000,山西省,2012,10991.0535,3161.7202,3481.0533,869.1317,275.9437,142.1592
140000,山西省,2011,8798.3663,2537.8455,2588.3582,668.9903,291.3638,140.6897
140000,山西省,2010,7289.5,2585.4,2248.6,647.2,341.1,205.2
140000,山西省,2009,6544.1433,2285.6883,2590.5096,710.7075,356.515,175.3874
140000,山西省,2008,5716.7094,2320.7211,2361.1746,762.0105,290.3195,138.9004
140000,山西省,2007,5011.46,1833.9,2134.28,640.83,359.75,206.4
140000,山西省,2006,4647.68,1647.0,1925.86,527.58,347.63,178.2
140000,山西省,2005,4048.53,1638.54,1686.41,695.61,359.22,174.7
140000,山西省,2004,3301.3608,1103.0683,2133.9569,,,
140000,山西省,2003,3119.09,1313.26,1305.34,511.42,434.59,239.55
140000,山西省,2002,2912.0,1433.0,1348.3,569.8,416.2,278.9
140000,山西省,2001,2204.5,1064.3,1158.7,481.0,415.2,293.2
140000,山西省,2000,2008.4,946.7,1118.8,460.8,566.9,330.1
150000,内蒙古自治区,2019,5785.3736,1459.8502,1586.938,105.1292,38.2246,16.4583
150000,内蒙古自治区,2018,5369.2,1699.8,1107.6,157.6,47.2,31.2
150000,内蒙古自治区,2017,5443.8578,2031.4936,687.6162,78.0515,79.84,69.8277
150000,内蒙古自治区,2016,6296.0354,2538.6429,475.0529,41.6357,108.7658,108.5133
150000,内蒙古自治区,2015,6974.6319,3103.0858,332.5549,61.4838,90.5808,90.5808
150000,内蒙古自治区,2014,8053.4217,3648.9284,346.611,101.6912,100.0917,93.3917
150000,内蒙古自治区,2013,8839.621,3630.6292,493.8861,91.1479,141.8446,60.4189
150000,内蒙古自治区,2012,10550.69,3658.9644,291.0236,75.7829,119.8334,79.1417
150000,内蒙古自治区,2011,9323.0983,4064.7666,311.3561,68.6093,61.673,58.973
150000,内蒙古自治区,2010,7577.9,3805.2,229.4,44.0,65.1,64.8
150000,内蒙古自治区,2009,5823.3957,3140.558,152.9699,46.5911,85.3534,77.7132
150000,内蒙古自治区,2008,5277.3858,3238.708,267.4018,105.098,55.983,44.5021
150000,内蒙古自治区,2007,5197.52,3185.72,102.25,37.34,12.84,12.84
150000,内蒙古自治区,2006,3598.64,2089.22,21.87,15.01,14.85,14.78
150000,内蒙古自治区,2005,2958.88,1623.38,35.14,15.91,24.94,24.03
150000,内蒙古自治区,2004,2381.2987,1357.7512,702.7567,,,
150000,内蒙古自治区,2003,2494.79,1450.74,72.5,34.8,112.44,69.66
150000,内蒙古自治区,2002,2178.3,1497.1,183.7,102.9,203.5,157.7
150000,内蒙古自治区,2001,2092.9,1346.9,368.7,180.0,247.2,177.4
150000,内蒙古自治区,2000,1804.9,1119.5,379.8,175.2,288.6,201.6
210000,辽宁省,2019,15312.8012,4335.0448,1163.1124,290.3545,312.7482,135.5458
