年份,中国同非洲进出口总额,中国同阿尔及利亚进出口总额,中国同安哥拉进出口总额,中国同贝宁进出口总额,中国同博茨瓦那进出口总额,中国同布隆迪进出口总额,中国同喀麦隆进出口总额,中国同加那利群岛进出口总额,中国同佛得角进出口总额,中国同中非进出口总额,中国同塞卜泰(休达)进出口总额,中国同乍得进出口总额,中国同科摩罗进出口总额,中国同刚果(布)进出口总额,中国同吉布提进出口总额,中国同埃及进出口总额,中国同赤道几内亚进出口总额,中国同埃塞俄比亚进出口总额,中国同加蓬进出口总额,中国同冈比亚进出口总额,中国同加纳进出口总额,中国同几内亚进出口总额,中国同几内亚比绍进出口总额,中国同科特迪瓦共和国进出口总额,中国同肯尼亚进出口总额,中国同利比里亚进出口总额,中国同利比亚进出口总额,中国同马达加斯加进出口总额,中国同马拉维进出口总额,中国同马里进出口总额,中国同毛里塔尼亚进出口总额,中国同毛里求斯进出口总额,中国同摩洛哥进出口总额,中国同莫桑比克进出口总额,中国同纳米比亚进出口总额,中国同尼日尔进出口总额,中国同尼日利亚进出口总额,中国同留尼汪进出口总额,中国同卢旺达进出口总额,中国同圣多美和普林西比进出口总额,中国同塞内加尔进出口总额,中国同塞舌尔进出口总额,中国同塞拉利昂进出口总额,中国同索马里进出口总额,中国同南非进出口总额,中国同西撒哈拉进出口总额,中国同苏丹进出口总额,中国同坦桑尼亚进出口总额,中国同多哥进出口总额,中国同突尼斯进出口总额,中国同乌干达进出口总额,中国同布基纳法索进出口总额,中国同刚果(金)进出口总额,中国同赞比亚进出口总额,中国同津巴布韦进出口总额,中国同莱索托进出口总额,中国同梅利利亚进出口总额,中国同斯威士兰进出口总额,中国同厄立特里亚进出口总额,中国同马约特岛进出口总额,中国同南苏丹共和国进出口总额,中国同非洲其他国家(地区)进出口总额
2019,20901601.8965,808303.4094,2589312.9559,230687.5443,31859.2773,7933.4631,267985.0176,179.2907,6419.5682,6186.2165,31.0697,73185.7577,7371.6614,653731.9493,222643.0534,1320142.4578,183626.8508,266745.1794,502392.0914,58392.4399,747966.236,417351.9039,4034.1038,249724.1951,518817.3064,402610.9195,726808.9851,127690.8205,27575.7562,59540.2591,195372.7866,84527.0136,466789.1269,267093.6644,70945.5033,51120.3347,1927899.0005,17465.2994,30008.1508,893.4279,251180.7893,6571.5555,50743.5307,75007.9222,4249179.7485,7.2021,303323.4017,417114.9683,231118.8196,157330.6579,78224.1572,32147.0803,650598.0976,423489.0735,134272.9914,10330.738,215.6904,4325.0174,25460.6536,3918.1309,165544.5254,133.0975
2018,20415879.2,910415.5,2807964.7,219827.3,29583.3,4925.2,278957.0,293.0,7855.6,7318.7,75.5,28053.0,7922.4,725896.2,186398.3,1382973.2,228451.8,287617.4,336258.1,44625.3,725596.0,354111.3,3747.1,214409.5,537095.9,204375.2,620741.4,121013.3,24895.8,43401.5,189836.3,84162.0,438781.3,249531.5,82663.4,28737.0,1525787.4,16376.2,20491.7,730.4,227144.9,6135.2,43016.6,65200.4,4353587.0,4.8,254556.8,397439.5,213500.7,160967.7,75262.0,31811.4,742878.5,505234.1,133530.2,9422.8,560.2,6386.2,35370.3,3657.4,168130.1,186.5
2017,17064477.2,723307.0,2295616.2,201809.9,26624.8,5218.2,189711.4,360.9,6924.8,4107.0,30.4,39527.8,6779.6,445990.1,217542.5,1082757.7,165005.3,302213.8,273980.2,49770.5,667773.6,270671.0,3412.6,185045.5,520147.0,213252.8,239062.8,123458.0,28927.0,40512.5,164565.9,78458.4,382682.3,183546.1,56968.2,19695.5,1377721.1,15354.9,15754.8,690.3,219041.2,5029.8,58044.9,48530.3,3919736.3,178.5,281255.8,345541.3,195953.3,152615.0,81078.0,20348.5,425997.2,383222.2,131584.9,8614.8,1032.0,3856.5,21363.7,4152.2,132199.2,122.5
2016,14896189.8,797999.8,1564676.8,209488.9,27187.0,4780.1,195948.0,403.6,4878.1,4703.8,98.7,20849.5,4841.0,307368.4,214857.2,1099049.3,78014.4,363410.9,181631.9,40520.1,597668.1,177455.5,2141.4,168606.6,568513.8,164086.4,153037.5,110393.4,25440.0,46542.8,161729.8,77847.4,363263.7,178806.8,43447.1,22503.9,1062233.6,17302.3,14174.3,642.3,235608.7,5580.3,48175.1,40291.6,3508241.6,18.9,263454.8,388294.4,202463.0,143497.4,86151.8,15509.2,307754.5,267371.8,111460.2,7436.3,1051.9,4279.0,24480.9,3826.4,150602.5,4095.0
2015,17879877.6,835071.0,1971875.7,306692.2,36357.6,4290.5,261491.0,344.0,4332.3,4005.0,83.3,21424.2,4572.5,365928.0,198171.4,1287642.1,142788.6,382121.7,176560.9,38588.6,660534.9,130302.2,3529.5,169854.6,601305.9,152904.8,284356.7,103636.7,27556.7,36341.7,151944.3,85643.8,341870.5,239063.9,70154.9,31434.1,1494194.1,17205.4,16581.0,599.0,230219.2,5772.6,44138.3,32283.0,4600933.2,39.7,312289.7,465670.9,239487.9,142122.8,63898.3,16790.2,403610.5,233854.5,130472.4,9518.3,771.1,3085.6,31303.4,3815.3,248233.2,212.1
2014,22166612.7293,870985.9620999999,3708101.1865000003,375260.9858,39002.878600000004,5574.546,256645.5248,435.72079999999994,5122.6457,3648.4552000000003,49.5004,42605.1855,4069.4098,646354.3679,111386.6317,1162002.623,356970.5576,341226.2957,203832.8798,38862.0739,558716.3748999999,114280.36880000001,6710.9419,143634.7233,500766.6303,199978.2013,288398.2293,87075.44529999999,19126.0185,39271.9145,192507.6171,75938.1801,348149.6898,361856.2147,86306.64229999999,32281.9588,1804946.3935,16194.263,20687.6896,572.8190999999999,169725.2868,4577.8434,184174.7419,23595.9019,6026727.5553,31.6022,345000.456,427866.824,265835.3507,144769.8537,59813.8218,24187.5887,417374.104,378641.4219,123951.57879999999,10084.1472,903.3591,7263.9394,40982.9366,1908.8087,439532.08109999995,125.77919999999999
2013,21025408.3,818844.4,3593672.8,319848.4,34211.0,6026.9,188084.8,322.5,6198.8,5010.8,67.2,47539.3,2986.8,649148.4,101915.8,1021428.2,282743.5,218415.4,133135.0,38649.9,514935.8,99156.8,2871.8,121292.8,327026.4,250016.8,487360.7,81686.7,25221.4,42710.7,232697.3,66156.9,380307.3,165416.8,73964.1,19981.6,1358921.6,13425.9,24255.9,486.4,103712.6,3907.2,160522.6,15010.1,6521920.1,1.7,449845.5,369325.0,256116.6,143988.8,52413.8,29027.8,369440.7,377755.8,110166.5,10324.2,753.7,13983.4,18889.1,7771.6,254343.1,45.1
2012,19856124.6,772856.2,3760093.5,267520.0,30279.7,5713.8,195475.0,252.3,5749.1,6630.3,34.0,39350.7,1494.9,507740.7,90239.7,954472.9,218405.7,183884.9,104456.2,34222.6,543427.0,76484.6,2252.8,94646.3,284115.4,367515.7,876036.3,65682.5,29657.0,62192.1,192037.4,63088.4,369083.6,134266.3,68013.9,19565.5,1056994.6,13988.8,16157.2,305.1,84532.9,3343.0,75216.8,10421.1,5999428.0,28.8,373288.7,246901.9,346791.4,156889.6,53802.5,30516.2,435040.0,338917.3,101491.7,9983.1,788.0,12930.1,5479.1,2350.8,,
2011,16632289.3035,643242.476,2770633.8374,305116.068,71682.9489,5629.2046,153705.8141,237.0359,4976.3747,4240.8877,8.7486,36012.2391,819.2893,516159.08269999997,50902.932199999996,880157.8039999999,193926.4554,117745.3446,84807.4211,34518.3702,347313.3768,64573.7584,1895.0878,70273.4521,242846.61,500793.1488,278395.4446,60677.2847,15813.6633,44732.9854,189672.949,50661.3737,351934.85219999996,95749.2095,50674.7985,14427.2097,1078787.774,14320.8143,14478.182999999999,179.3809,74906.9396,3533.1296,25282.7749,9700.4776,4547021.2165,2.0894,1153614.9349,214352.2912,190797.7222,133205.3741,39965.3746,23802.7135,398720.9753,338924.1136,87436.9357,8051.9434,393.7903,3102.943,14902.6557,1120.979,132.2887,593.9495
2010,12704601.8,517731.6,2481941.1,239932.8,42286.9,3681.9,100169.7,295.2,3434.7,4802.1,18.4,80428.8,1337.1,347608.5,44475.2,695889.8,105489.8,148358.5,117557.2,20178.2,205626.2,47634.5,1329.7,65905.1,182551.1,441936.6,657692.3,50227.8,11155.3,30010.4,125709.6,40338.6,293750.1,69748.7,71103.7,27231.9,776846.6,12873.6,8866.7,206.4,54948.1,1486.7,10912.2,7392.9,2570310.1,2.7,862669.5,166016.7,139481.3,111980.0,28409.3,16905.0,298233.4,288552.4,56156.4,6389.2,375.9,3147.8,3985.4,682.4,,201.5
2009,9106580.0,512746.0,1706238.0,204648.0,22964.0,3496.0,81352.0,591.0,3541.0,2738.0,19.0,21408.0,1117.0,210286.0,29464.0,584502.0,141349.0,146720.0,87309.0,17416.0,161335.0,28753.0,2481.0,56761.0,130605.0,188551.0,517866.0,45021.0,8194.0,20454.0,109416.0,29799.0,250484.0,51657.0,54357.0,28396.0,637133.0,8401.0,8374.0,220.0,44131.0,1527.0,6520.0,6787.0,1607750.3142000001,7.0,638829.0,111018.0,116611.0,81866.0,25128.0,15886.0,147485.0,143761.0,29713.0,5208.0,215.0,3316.0,3992.0,518.0,,153.0
2008,10720686.1265,460112.9167,2532499.3585,242427.651,35306.5136,1780.3433,85847.4141,1971.0787,1495.3954,3273.3651,62.6304,12153.4066,2544.4111,434598.2371,25405.9146,630319.9379,254526.2786,131237.5488,193221.5028,17888.8985,184128.6522,35975.8616,738.956,60208.1164,128405.5346,114298.9111,422944.0485,66776.4795,8916.1777,23068.4064,123323.16170000001,32579.3183,280998.485,42187.732299999996,52534.3561,16688.086600000002,727543.3419,11561.6671,8895.3394,190.4857,40652.1049,1781.394,8408.7261,4052.7221,1785259.4579,6.1115,820022.3103,108202.7378,124913.6171,78716.9149,24716.0745,10867.707,181844.0908,78684.5701,28131.3843,8133.6999,281.855,3188.3637,3145.2207,583.2976,,457.8454
2007,7365692.5001,386641.3763,1411841.2891000002,208368.8439,14518.5041,1370.7979,45659.4827,5394.2214,1468.8496,1547.7302,64.575,14975.2369,764.9453,326971.0943,16570.3766,467252.9596,178996.5415,86161.5367,119828.1491,19387.119,127489.1341,35620.9055,744.7642,45321.0701,95902.0571,80592.48199999999,241007.33810000002,35813.6338,4282.9203,16116.5449,70661.8084,28942.0658,258611.0414,28449.7708,40319.4452,3078.0563,433291.9408,8734.4725,5842.9027,177.9845,35544.8875,1188.0681,6417.9665,2833.4814,1404633.0346,2.4264,570802.9342,79718.4388,139891.1715,51222.5353,22209.2751,19873.0697,55323.1307,59266.7405,34438.2967,5780.7807,413.1068,3254.4287,2916.6852,526.0924,,651.7846
2006,5545961.9311,209063.6096,1182748.074,154147.9239,6994.7765,1192.516,39080.9393,5260.247,1009.409,1030.1568,20.6038,27445.5819,619.528,303311.5192,15533.3991,319227.013,257869.96519999998,56259.3634,88063.8242,16288.3994,88276.9815,18777.2325,567.7056,35296.6559,64545.5799,53177.1824,239805.0972,24637.2914,3172.7402,18922.7507,51125.6257,20508.0233,192893.2714,20771.2591,25501.5117,7268.8648,312989.9218,4276.2330999999995,3429.363,121.7928,19662.7338,590.0604,3995.7589,3064.2635,985306.7159,5.2549,335381.0458,53545.1188,72561.3376,40807.8201,15558.6777,21265.9345,43731.5461,37288.169,27538.5941,6570.248299999999,376.5399,3204.4776,3865.4195,153.7379,,256.4344
