年份,中国同北美洲进出口总额,中国同加拿大进出口总额,中国同美国进出口总额,中国同格陵兰进出口总额,中国同百慕大群岛进出口总额,中国同北美洲其他国家(地区)进出口总额
2019,60695831.5535,6508404.8685,54156027.5764,27472.2745,3690.4787,236.3554
2018,69743750.4,6351264.4,63351899.9,23588.6,16938.2,59.3
2017,63574273.9,5179846.2,58367590.0,13587.3,13203.5,47.1
2016,56572422.2,4567568.2,51971614.7,10177.0,23032.3,29.9
2015,61311473.5,5563639.1,55702296.9,8997.9,36482.9,56.8
2014,61056432.3891,5518568.9077,55512354.892400004,6529.9827,18873.803,104.8033
2013,57546658.4,5445365.9,52074869.9,7229.8,19003.5,189.3
2012,53627576.2,5133528.0,48467425.0,5789.5,20775.7,
2011,49442200.252,4743604.9865,44658226.5387,4859.9821,35501.901,6.8437
2010,42291973.4,3713988.0,38538528.5,5506.4,33936.8,13.6
2009,32811172.0,2972784.4759,29826259.544800002,4460.0,7643.0,25.0
2008,36834225.6485,3446922.7464,33374348.0538,3786.5869,9154.3892,13.8722
2007,33252284.3889,3033481.9053,30206716.2019,3855.3975,8200.9936,29.8906
2006,28603615.3534,2317883.2971,26265946.209,3053.4254,14781.7445,1950.6774
2005,23083066.0,1916483.0,21151252.0,3101.0,12223.0,8.0
2004,18526062.5,1551416.9,16959857.5,2103.0,12669.8,15.2
2003,13639397.0,1000667.0,12633286.0,2274.0,3163.4,5.4
2002,10514619.0,793034.0,9718343.0,1253.0,1959.0,29.0
2001,8788218.0,737456.0,8048492.0,1089.0,1109.0,72.0
2000,8139310.0,690892.0,7446237.0,,,
