年份,中国同亚洲进出口总额,中国同阿富汗进出口总额,中国同巴林进出口总额,中国同孟加拉国进出口总额,中国同不丹进出口总额,中国同文莱进出口总额,中国同缅甸进出口总额,中国同柬埔寨进出口总额,中国同塞浦路斯进出口总额,中国同朝鲜进出口总额,中国同中国香港进出口总额,中国同印度进出口总额,中国同印度尼西亚进出口总额,中国同伊朗进出口总额,中国同伊拉克进出口总额,中国同以色列进出口总额,中国同日本进出口总额,中国同约旦进出口总额,中国同科威特进出口总额,中国同老挝进出口总额,中国同黎巴嫩进出口总额,中国同中国澳门进出口总额,中国同马来西亚进出口总额,中国同马尔代夫进出口总额,中国同蒙古进出口总额,中国同尼泊尔进出口总额,中国同阿曼进出口总额,中国同巴基斯坦进出口总额,中国同巴勒斯坦进出口总额,中国同菲律宾进出口总额,中国同卡塔尔进出口总额,中国同沙特阿拉伯进出口总额,中国同新加坡进出口总额,中国同韩国进出口总额,中国同斯里兰卡进出口总额,中国同叙利亚进出口总额,中国同泰国进出口总额,中国同土耳其进出口总额,中国同阿联酋进出口总额,中国同也门共和国进出口总额,中国同越南进出口总额,中国同中华人民共和国进出口总额,中国同中国台湾进出口总额,中国同东帝汶进出口总额,中国同哈萨克斯坦进出口总额,中国同吉尔吉斯斯坦进出口总额,中国同塔吉克斯坦进出口总额,中国同土库曼斯坦进出口总额,中国同乌兹别克斯坦进出口总额,中国同亚洲其他国家(地区)进出口总额
2019,236725767.1558,62907.8749,167947.6785,1835982.0239,1095.7382,110274.217,1869905.1603,942585.4108,63609.0923,278903.0183,28821964.9922,9281117.8235,7976261.1421,2303561.5572,3338865.9117,1476914.9108,31501321.3066,411197.605,1728379.4524,391945.4211,170560.6647,311194.9727,12405175.7013,38170.4619,816094.7282,151601.5715,2267109.9352,1797304.7075,8228.4282,6096324.5107,1112278.5875,7807244.2204,9003630.6532,28453343.6209,448761.4714,131521.6937,9174648.8829,2082052.4618,4874963.3321,368565.4183,16198555.7012,12979219.8066,22812207.0925,16751.3087,2200277.0538,634656.1347,167468.7518,911687.6025,721286.9834,140.3597
2018,238058298.2,69166.9,128564.7,1873748.2,1284.1,183945.8,1523210.9,738417.8,79211.2,243021.4,31052396.8,9550900.3,7734118.1,3504201.3,3039859.8,1391557.3,32770921.3,318366.7,1865651.4,347214.8,201826.8,315327.2,10858103.3,39720.6,798900.1,109936.8,2176312.2,1910540.3,7380.5,5564824.2,1162880.4,6328241.6,8276439.7,31339954.5,457679.4,127364.1,8750835.4,2154545.5,4588901.5,259454.1,14783303.7,14622157.0,22624292.4,13540.4,1987813.7,561112.0,150592.6,843629.5,626919.1,10.8
2017,212652448.0,54463.4,102646.5,1604416.6,641.5,98940.3,1347481.2,579078.0,57764.9,497608.5,28652855.5,8438762.4,6333169.1,3713850.8,2214452.7,1312470.3,30305293.9,308279.4,1204772.4,302434.8,203365.1,327294.9,9613841.6,29624.7,640292.5,98480.9,1569973.1,2008400.8,6917.6,5130510.9,808260.4,5013688.1,7926892.4,28025693.1,439802.6,110414.8,8013781.0,2190493.8,4103512.3,230300.0,12199186.5,13236937.2,19993912.4,13417.0,1794313.4,542386.3,134811.2,694324.3,422087.2,150.1
2016,194691028.7,43582.7,85452.1,1517162.6,497.7,73257.2,1228639.0,476066.8,51014.4,565299.5,30395368.8,7017946.9,5354016.3,3124585.3,1821144.7,1135395.8,27508069.1,316598.6,937206.9,234670.6,211838.7,328151.3,8694141.2,32117.8,461123.8,88867.5,1418911.4,1914705.7,5961.8,4723855.7,552873.9,4228130.0,7052591.6,25270348.5,456177.3,91861.0,7572742.7,1947492.6,4006688.9,185843.5,9827573.2,12802993.1,17908842.8,16460.8,1309766.8,567669.0,175634.2,590177.4,361460.9,50.8
2015,209440910.8,37359.1,112338.9,1471155.3,846.6,150856.5,1510020.6,442998.6,63957.5,551060.2,34320860.0,7159658.0,5422815.9,3382755.4,2058385.9,1141798.0,27851901.6,371192.4,1126973.6,277309.9,230285.3,477593.8,9725771.8,17282.5,536607.8,86470.7,1716381.3,1891665.2,6968.8,4563644.5,689000.7,5163397.9,7952320.3,27579246.7,456256.1,102616.1,7545954.9,2155147.9,4853419.6,232810.6,9584876.5,14336930.9,18809668.4,10525.5,1429018.8,434069.4,184742.3,864313.0,349582.5,96.9
2014,227347807.4069,41093.1057,141574.6064,1254338.015,1122.0385,193653.1795,2496892.6358,375765.2608,110015.29080000002,638758.2399,37569851.8169,7057611.2287,6354485.2506,5184233.6121,2850508.0375,1087974.2278999998,31231185.2537,362773.5236,1343368.8941,361735.8267,263024.8084,380526.5431,10200563.049600001,10437.0539,731846.9064,233064.6693,2586123.6524,1599835.1819,7559.3212,4445770.9381,1059073.8926000001,6908326.790700001,7973990.807700001,29044222.4275,404107.0453,98649.87210000001,7262115.6361,2301085.3309,5479786.3778,513416.76840000006,8363641.1978,14488043.6618,19828375.1625,6044.1499,2245167.1818,529794.3797,251593.5179,1047043.99,427612.4166,24.6313
2013,222400782.9,33785.4,154411.0,1030745.3,1741.4,179358.0,1019555.6,377314.2,102453.0,655757.2,40070146.6,6540266.2,6835474.9,3942650.9,2487885.2,1082662.1,31237785.0,360443.0,1226214.7,273265.6,253641.0,355790.7,10608337.7,9783.2,595913.9,225413.7,2294145.7,1421643.6,9086.3,3804993.5,1017426.1,7219052.5,7589638.0,27423770.8,361911.3,69485.7,7124055.0,2223322.5,4623482.1,520011.8,6547819.1,15754044.1,19703895.5,4778.3,2859596.2,513769.6,195811.5,1003090.1,455144.8,13.7
2012,204510522.2,46923.6,155080.7,844983.5,1561.7,162553.7,697193.8,292343.3,123783.2,603616.3,34131099.8,6647332.8,6623407.8,3646584.2,1756759.3,991045.1,32945578.1,325574.1,1255699.3,172077.7,171226.6,298738.8,9483204.7,7667.3,660120.7,199768.4,1878701.7,1241364.7,4101.2,3637546.4,848320.2,7331421.8,6927265.0,25641529.4,316304.7,120035.9,6975086.0,1909557.4,4042029.0,555915.4,5043940.8,14294218.8,16898106.4,6316.2,2568157.1,516231.6,185669.9,1037249.9,287518.8,
2011,190312271.8779,23441.3053,120584.7878,825921.4321000001,1745.7996,131120.9552,650139.7718,249910.8061,114966.6409,564149.4139,28347550.4276,7390824.1396,6055462.0445,4510340.4747,1426828.5213,977850.3222999999,34283400.8342,276944.585,1130361.9174,130087.8257,148430.87279999998,251754.1983,9002269.6643,9725.8167,643271.2495,119509.0825,1587466.4722,1055832.7317,4885.6234,3224703.7062,589306.6006,6431724.2791,6371005.5794,24562635.1828,314161.182,244639.6462,6473384.978800001,1873733.1259,3511922.3691,423998.3376,4020784.1777,12261441.4537,16001760.6683,7217.5553,2496123.3102,497645.20029999997,206900.5208,547733.5775,216661.3655,11.3445
2010,156691106.9,17894.5,105141.5,705769.8,159.9,103193.9,444207.0,144096.9,136499.5,347181.9,23056246.9,6176120.1,4275028.4,2939107.7,986496.0,764444.1,29777958.7,205360.6,855694.9,108511.7,134672.8,226435.2,7424884.4,6352.4,400182.5,74267.3,1072372.3,866861.9,2637.1,2776223.0,331127.9,4319548.9,5707598.1,20711511.5,209712.4,248326.0,5293701.9,1511058.2,2568688.8,400294.0,3008608.3,10687905.5,14541314.3,4308.2,2044851.7,419963.5,143256.3,156963.6,248326.8,37.6
