年份,住户部门实物交易资金运用_净出口,住户部门实物交易资金运用_增加值,住户部门实物交易资金运用_劳动者报酬,住户部门实物交易资金运用_工资及工资性收入,住户部门实物交易资金运用_单位社会保险付款,住户部门实物交易资金运用_生产税净额,住户部门实物交易资金运用_生产税,住户部门实物交易资金运用_生产补贴,住户部门实物交易资金运用_财产收入,住户部门实物交易资金运用_利息,住户部门实物交易资金运用_红利,住户部门实物交易资金运用_地租,住户部门实物交易资金运用_其他财产收入,住户部门实物交易资金运用_初次分配总收入,住户部门实物交易资金运用_经常转移,住户部门实物交易资金运用_收入税,住户部门实物交易资金运用_社会保险缴款,住户部门实物交易资金运用_社会保险福利,住户部门实物交易资金运用_社会补助,住户部门实物交易资金运用_其他经常转移,住户部门实物交易资金运用_可支配总收入,住户部门实物交易资金运用_最终消费,住户部门实物交易资金运用_居民消费,住户部门实物交易资金运用_政府消费,住户部门实物交易资金运用_总储蓄,住户部门实物交易资金运用_资本转移,住户部门实物交易资金运用_投资性补助,住户部门实物交易资金运用_其他资本转移,住户部门实物交易资金运用_资本形成总额,住户部门实物交易资金运用_固定资本形成总额,住户部门实物交易资金运用_存货增加,住户部门实物交易资金运用_其他非金融资产获得减处置,住户部门实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,124589.155947145,,,1285.11420032182,,,10782.1033800446,10759.4432800446,,22.6601,,,86755.5659143754,13904.13647,61347.75,,,11503.6794443754,,,,,,,,,102879.561509187,101880.735421707,998.826087480078,-33731.3068595765,120028.310863916
2017,,,118993.443120321,,,4998.51944353875,,,11121.95483673,11091.96173673,,29.9931,,,65615.8612868478,12011.3748,46085.81,,,7518.67648684781,,317964.0,317964.0,,,,,,51028.8902571136,49787.3253742966,1241.56488281706,-26755.3250177096,156290.517617431
2016,,,126551.733486287,,,4390.34455534953,,,9959.70843946745,9927.93007957354,,31.7783598939032,,,55633.9638600595,10153.1819,39023.8677,,,6456.91426005953,,293443.1,293443.1,,,,,,52671.4130108163,51730.4969870988,940.916023717431,-19087.9583019541,132508.188778819
2015,,,117323.054892,,,4188.00162442042,,,10216.195029801,10170.858029801,,45.337,,,51142.4892403266,8891.44682100144,36109.9159350195,,,6141.12648430569,,265980.1,265980.1,,,95.6014,,95.6014,73716.899434162,70935.2645,2781.63493416201,-15596.0636277438,98432.6721206428
2014,,,109675.08439062,,,3148.2693502774,,,9360.07687701936,9301.48937701936,,58.5875,,,45534.7539747398,7720.6436,31992.088135,,,5822.02223973978,,242540.0,242540.0,,,98.685,,98.685,76607.9414863891,73499.438,3108.50348638906,-17480.1518512296,89343.4766281607
2013,,,101415.272817583,,,2950.5608506155,,,7656.33494909914,7598.53544909914,,57.7995,,,40826.7969831069,6603.1764,28567.8234,,,5655.79718310687,,219762.5,219762.5,,,384.6139,,384.6139,72634.3920942622,69897.8958,2736.49629426221,-23371.6418938872,87703.4947278702
2012,,,93667.8195741854,,,1992.02133467035,,,11253.3691756485,11202.2844756485,,51.0847,,,36022.9014651629,6163.63191200473,25061.6039,,,4797.66565315812,,190584.6,190584.6,,,57.2925,,57.2925,62772.0025371511,60068.0041,2703.99843715111,-14451.8286261369,82437.0886353621
2011,,,80385.4693127611,,,1220.45354221756,,,8329.57219134176,8287.25429134176,,42.3179,,,31817.8974143785,6054.11,21801.2045,,,3962.58291437853,,168956.6,168956.6,,,57.2925,,57.2925,56995.3204369938,53887.3324,3107.98803699379,-14592.9993738028,74356.3689781304
2010,,,68530.9711391067,,,1015.2185466164,,,4685.79161495106,4659.19311495106,,26.5985,,,25786.7662151769,4837.27,17339.6011,,,3609.89511517689,,140758.6,140758.6,,,,,,40613.2138587076,38161.369,2451.84485870755,-9889.50151663675,71639.4280479549
2009,,,60186.5788584932,,,602.722580233401,,,3495.0667336687,3468.4682336687,,26.5985,,,21456.14185697,3949.344512,14420.9,,,3085.89734497003,,123584.6,123584.6,,,,,,33950.3749237673,32039.8471,1910.52782376729,-6570.48347713665,56337.8794127962
2008,,,54722.5112743967,,,2066.59331512777,,,3661.95770639995,3637.51780639995,,24.4399,,,18370.0017278894,3722.31,12135.27,,,2512.42172788941,,111670.4,111670.4,,,,,,27432.03843,24918.393,2513.64543,-4336.30407463475,51160.1743361085
2007,,,46608.6069939085,,,2773.36464163105,,,2690.61016582747,2666.17026582747,,24.4399,,,14901.1358248695,3185.58,9593.43,,,2122.12582486947,,96332.5,96332.5,,,,,,23004.8420586471,22280.11,724.732058647088,-3021.89269557244,42243.1840035948
2006,,,39153.5860756088,,,1420.5222756318,,,2014.76873104232,1925.69813104232,,19.3706,69.7,,11598.9172783406,2453.7087,7682.8,,,1462.40857834056,,82575.5,82575.5,,,,,,20635.4428162405,20117.3783,518.064516240523,-1998.06294319435,30213.5370647289
2005,,,34220.0491077147,,,1290.1053196487,,,1214.32038873824,1154.29768873824,,13.7227,46.3,,9568.83887774985,2094.9104,6307.1,,,1166.82847774986,,72958.7,72958.7,,,,,,21880.1170502527,21504.6253908483,375.491659404494,-1455.40406111172,19526.7435993639
2004,,,29647.2641466147,,,1202.08541023812,,,1057.19860976331,1010.02620976331,,10.4124,36.76,,7652.70371636766,1737.06,5167.68,,,747.963716367655,,65218.48,65218.48,,,,,,17441.071634774,17021.3685263994,419.703108374664,-1586.09838849509,17435.4621749279
2003,,,25725.8098602902,,,1548.91501813479,,,966.996293695826,928.223893695826,,10.4124,28.36,,6313.98167881405,1418.0331,4324.9,,,571.04857881405,,57649.8,57649.8,,,,,,13264.2387253504,13189.3205435322,74.9181818181818,-1586.10333563752,17940.5142469795
