年份,住户部门实物交易资金来源_净出口,住户部门实物交易资金来源_增加值,住户部门实物交易资金来源_劳动者报酬,住户部门实物交易资金来源_工资及工资性收入,住户部门实物交易资金来源_单位社会保险付款,住户部门实物交易资金来源_生产税净额,住户部门实物交易资金来源_生产税,住户部门实物交易资金来源_生产补贴,住户部门实物交易资金来源_财产收入,住户部门实物交易资金来源_利息,住户部门实物交易资金来源_红利,住户部门实物交易资金来源_地租,住户部门实物交易资金来源_其他财产收入,住户部门实物交易资金来源_初次分配总收入,住户部门实物交易资金来源_经常转移,住户部门实物交易资金来源_收入税,住户部门实物交易资金来源_社会保险缴款,住户部门实物交易资金来源_社会保险福利,住户部门实物交易资金来源_社会补助,住户部门实物交易资金来源_其他经常转移,住户部门实物交易资金来源_可支配总收入,住户部门实物交易资金来源_最终消费,住户部门实物交易资金来源_居民消费,住户部门实物交易资金来源_政府消费,住户部门实物交易资金来源_总储蓄,住户部门实物交易资金来源_资本转移,住户部门实物交易资金来源_投资性补助,住户部门实物交易资金来源_其他资本转移,住户部门实物交易资金来源_资本形成总额,住户部门实物交易资金来源_固定资本形成总额,住户部门实物交易资金来源_存货增加,住户部门实物交易资金来源_其他非金融资产获得减处置,住户部门实物交易资金来源_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,180639.912889805,475562.812842451,,,,,,39900.1206616555,31552.8476230025,3072.36238,,5274.91065865302,559446.4728664,70610.036729022,,,49586.7,15311.2321298458,5712.10459917619,543300.943681046,,,,189176.565513526,,,,,,,,
2017,,176879.156223795,424279.362420531,,,,,,30627.8222324933,22713.8431157119,2610.581785,,5303.39733178138,496672.42347623,67471.5206674527,,,48652.99,13490.5172820562,5328.01338539646,498528.082856835,,,,180564.082856835,,,,,,,,
2016,,180928.642559673,386563.584624267,,,,,,27251.5351386275,19739.6231492547,2525.71428,,4986.19770937279,453841.975841463,61326.7315062772,,,43604.8474,12564.6913470223,5157.19275925491,459534.743487681,,,,166091.643487681,,,,,,,,
2015,,167734.573662428,357075.812697445,,,,,,24908.8144690083,19534.1106071072,2314.61936,,3060.08450190109,417991.949282659,55779.7492847287,,,39117.6609268015,11687.5693385345,4974.51901939264,422629.209327061,,,,156649.109327061,,,,,,,,
2014,,156800.413512807,328347.367692841,,,,,,24508.7559103301,20255.443281768,1980.92004,,2272.39258856216,387473.106498061,49171.5987399987,,,33680.572168,10672.2051321483,4818.82143985035,391109.95126332,,,,148569.95126332,,,,,,,,
2013,,144991.5156452,298966.094365619,,,,,,21824.4396208101,18429.3309291631,1719.393246,,1675.71544564695,353759.881014332,44180.2747970205,,,28743.9264,10090.9631662903,5345.38523073015,357113.358828245,,,,137350.858828245,,,,,,,,
2012,,145475.085248021,256563.937218192,,,,,,24336.5622138925,20474.7789441806,1710.9253565,,2150.85791321185,319462.374595601,37959.6819159383,,,23930.6977,8708.27953300119,5320.70468293713,321399.155046376,,,,130814.555046376,,,,,,,,
2011,,132941.362329685,222423.840815893,,,,,,18853.2274246104,15913.5608307713,1110.75864676836,,1828.9079470707,284282.935523869,33307.5444318313,,,20363.89,7588.84553154888,5354.80890028237,285772.582541321,,,,116815.982541321,,,,,,,,
2010,,112270.343962277,190869.465529643,,,,,,12956.6801728583,10245.9899988827,1065.32122290804,,1645.36895106754,241864.508364105,27043.9982410978,,,16207.243134,6137.51478653894,4699.24032055884,243121.740390026,,,,102363.140390026,,,,,,,,
2009,,92511.4020438836,166957.943999446,,,,,,11359.0563699443,9067.75352745578,792.668843721727,,1498.63399876678,206544.034240879,22214.4784755181,,,12302.6,6246.031731,3665.84674451808,207302.370859427,,,,83717.7708594269,,,,,,,,
2008,,83542.8866201873,150511.686239537,,,,,,11791.9283094798,9798.44351899989,731.539963730864,,1261.94482674905,185395.438873279,18900.8715460838,,,9925.1,5156.87594,3818.89560608382,185926.308691474,,,,74255.9086914738,,,,,,,,
2007,,73130.0681683628,127918.919044464,,,,,,9828.87535277855,7256.82581009957,812.396536557077,,1759.6530061219,158805.280764238,14654.4884273006,,,7887.9,3364.59583,3401.99259730056,158558.633366669,,,,62226.1333666694,,,,,,,,
2006,,60088.4347329239,106368.998961,,,,,,7246.36935468518,6082.62704007611,474.172789194947,,689.569525414123,131114.925966326,11910.4082497894,,,6477.4,2807.754,2625.25424978941,131426.416937775,,,,48850.916937775,,,,,,,,
2005,,51612.1076423184,93147.994923299,,,,,,4481.42908477516,3733.40884449352,440.72,,307.300240281632,112517.056834291,9961.9386319639,,,5400.8,2241.91,2319.2286319639,112910.156588505,,,,39951.4565885049,,,,,,,3699.849262,
2004,,44677.094944478,80950.745184688,,,,,,3768.38168023549,3230.90634103508,402.61,,134.865339200412,97489.6736427853,8671.94549478922,,,4627.4,2020.72,2023.82549478922,98508.9154212069,,,,33290.4354212069,,,,,,,,
2003,,39806.4930125779,71735.73861997,,,,,,3211.95370175815,2882.75370175815,249.3,,79.9,86512.4641621852,7069.96715332125,,,4016.4,1519.85034782609,1533.71680549516,87268.4496366924,,,,29618.6496366924,,,,,,,,
2002,,34364.0,64501.50788725,,,,,,2983.00125181632,2584.88125181632,340.58,,57.54,76801.5651277018,5783.82769004414,,,3471.5,1164.77421550095,1147.5534745432,77423.3194864397,,,,24366.7194864397,,,,,,,,
