年份,批发和零售业法人企业单位数,批发和零售业年末从业人数,批发和零售业商品购进额,批发和零售业进口额,批发和零售业商品销售额,批发和零售业出口额,批发和零售业期末商品库存额
2019,242544,1213.9,709505.3,51415.4,782518.3,27436.1,46410
2018,211515,1184.5,616551.4,45121.4,691162.1,26238.6,42117.2
2017,200170,1183.8,572287.8,43743.8,630181.3,23617.1,43397
2016,193371,1193.6,506309.4,35355.7,558877.6,21924.7,38388.6
2015,183077,1173.6,468071.7,33943.6,515567.5,22719.5,36591.7
2014,181612,1182.0,493664.0,38571.4,541319.8,23013.9,38123.8
2013,171973,1139.6,451265.1,37358.7,496603.8,22452.6,32422
2012,138865,985.6,378314.8,31524.7,410532.7,20004.8,29000.6
2011,125223,901.1,328160.3,27230.6,360525.9,17795.0,24979.3
2010,111770,852.2,248040.9,19604.7,276635.7,14424.8,19816.8
2009,95468,749.0,179202.9,13308.0,201166.2,11174.1,16024
2008,100935,737.4,184039.3,14473.1,208229.8,13837.5,15368.1
2007,55737,604.9,128912.5,8871.7,132740.8,11154.4,9193.2
2006,51788,544.3149,103139.0,,110054.8,,7629.6
2005,47698,519.4658,87530.9,,93151.3,,7061
2004,52448,507.675,,,86928.6,,
2003,27340,406.7764,45383.9,,48613.2041,,3898.2
2002,26605,419.1096,36885.94,,40090.3,,3577.9
2001,25543,404.5955,32489.0472,,35153.3,,3618.03
2000,25567,448.5335,29784.06,,32265.47,,3569.92
