年份,国外部门金融交易资金运用_净金融投资,国外部门金融交易资金运用_资金运用,国外部门金融交易资金运用_资金来源,国外部门金融交易资金运用_通货,国外部门金融交易资金运用_存款,国外部门金融交易资金运用_贷款,国外部门金融交易资金运用_证券,国外部门金融交易资金运用_证券投资基金份额,国外部门金融交易资金运用_证券公司客户保证金,国外部门金融交易资金运用_保险准备金,国外部门金融交易资金运用_未贴现的银行承兑汇票,国外部门金融交易资金运用_金融机构往来,国外部门金融交易资金运用_准备金,国外部门金融交易资金运用_库存现金,国外部门金融交易资金运用_中央银行贷款,国外部门金融交易资金运用_其他(净),国外部门金融交易资金运用_直接投资,国外部门金融交易资金运用_其他对外债权债务,国外部门金融交易资金运用_国际储备资产,国外部门金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,-3210.97130662113,21412.868134808,,312.3,642.534409654565,1913.11083206168,,794.538853546863,-51.97960822818,,,1360.44336703919,359.857803918981,,,,13465.9291064814,4087.42650209512,,-10601.2964909353
2017,-11127.0,14412.0,,-2.0,5226.0,394.0,,548.0,-116.0,,,4127.0,62.0,,,,11358.0,2145.0,,-14982.0
2016,-13021.2089655121,1421.06087290907,,11.2,-936.163080791045,-2955.49966499831,2630.38183546203,153.9774,-81.5699183968,,,3132.78411602304,-205.859433655774,,,,11328.8078809074,3135.85435684739,,-14792.8527594584
2015,-20640.6952625328,-17996.0745770306,,177.42535362,-7055.6023055969,-896.918347918537,1062.61969778273,219.759,104.1647698956,,,-10460.8371756604,-42.149491,,,,15168.8111778907,-4531.84417504317,,-11741.5030810006
2014,-15624.0,15592.0,,101.0,2220.0,2777.0,3316.0,262.0,140.0,,,-4688.0,-279.0,,,37.0,17626.0,2623.0,,-8544.0
2013,-11463.137629862,28411.0362351538,,234.92385300603,1154.16402269662,259.040430029371,2057.71311115195,22.851335,-5.2459173897,,,8603.31837775077,,,,60.3431570173824,15925.842781894,4886.08736843956,,-4788.00228444219
2012,-12408.0,12539.0,,235.0,519.0,-310.0,1979.0,165.0,-22.0,,,-4025.0,,,,39.0,15932.0,3040.0,,-5014.0
2011,-13234.0,25258.0,,370.0,2219.0,1245.0,343.0,24.0,-45.0,,,6172.0,,,,,14224.0,2965.0,,-2259.0
2010,-25773.118257736,14202.7457423015,,390.44621802,637.425911,,344.793770125224,-19.1069493050695,-18.5927895525583,,,998.135762778388,,,,0.26,12529.0409945977,3382.6188999328,,-4040.016075295
2009,-20911.0,6300.0,,243.0,383.0,256.0,193.0,,,,,617.0,,,,,5341.0,2241.0,,-2975.0
2008,-31296.0,10456.0,,247.0,163.0,2016.0,522.0,16.0,,,,276.0,,,,,10271.0,-1242.0,,-1814.0
2007,-25575.0,17848.0,,198.0,2375.0,1222.0,886.0,,,,,,,,,,9778.0,2230.0,,1159.0
2006,-20300.0,12068.0,,182.0,839.0,880.0,3417.0,,,,,,,,,,6226.0,1551.0,,-1027.0
2005,-13503.8951737877,10509.546064318,,153.80216039499,982.576966679,239.528093178,1666.683282,,,,,,,,,,6481.824423327,2358.570155898,,-1373.439017159
2004,-5682.14959158176,10846.8650016982,,98.996464347658,128.169062112,1138.299033984,904.0914176,,,,,,,,,,4546.982824944,1895.197495744,,2135.12870296658
2003,-3725.62527891,7184.22394326,,148.077863099364,61.45184157,547.46602485,639.72933,,,,,,,,,,3896.54003163,514.21905402,,1376.73979809064
2002,-2928.43885326,4785.4534956,,95.35381567272,23.73992586,-342.63667848,186.14973,,,,,,,,,,4081.22125629,191.84877558,,549.77667067728
2001,-1435.66,3038.13,,48.3,41.23,-123.33,70.27,,,,,,,,,,3661.76,-209.94,,-450.16
2000,,,,,,,,,,,,,,,,,,,,
