年份,金融机构部门金融交易资金运用_净金融投资,金融机构部门金融交易资金运用_资金运用,金融机构部门金融交易资金运用_资金来源,金融机构部门金融交易资金运用_通货,金融机构部门金融交易资金运用_存款,金融机构部门金融交易资金运用_贷款,金融机构部门金融交易资金运用_证券,金融机构部门金融交易资金运用_证券投资基金份额,金融机构部门金融交易资金运用_证券公司客户保证金,金融机构部门金融交易资金运用_保险准备金,金融机构部门金融交易资金运用_未贴现的银行承兑汇票,金融机构部门金融交易资金运用_金融机构往来,金融机构部门金融交易资金运用_准备金,金融机构部门金融交易资金运用_库存现金,金融机构部门金融交易资金运用_中央银行贷款,金融机构部门金融交易资金运用_其他(净),金融机构部门金融交易资金运用_直接投资,金融机构部门金融交易资金运用_其他对外债权债务,金融机构部门金融交易资金运用_国际储备资产,金融机构部门金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,74253.4065104586,185603.592572969,,,-11.5922579300932,125268.380579419,,2771.49633767439,-181.314347555256,,-6342.8544505233,8282.97952113632,-9969.58228315424,-515.748386691314,9591.9023460204,-52397.9271200754,,-422.762056606214,1249.84015281377,
2017,24744.0,381405.0,,,3976.0,178203.0,,5120.0,-1082.0,,5381.0,24886.0,10466.0,-148.0,24731.0,31765.0,,-1539.0,6179.0,
2016,-10758.6547208048,450762.388687244,,,1728.46544164489,158128.622846436,160984.167045355,2606.032233,-1380.55218873186,,-19531.0557049216,12245.1993495883,26777.9538172442,-74.2145374050744,38685.8086690056,95429.6084415338,,4631.70922956594,-29469.3559550718,
2015,-61245.3419563057,290968.118940313,,353.04918,30346.4464229394,144189.666808391,110432.184667862,2769.55415,1312.75611350686,,-10568.5299693679,-8167.04550782342,-17470.7340743248,-208.1919543362,-1037.708779,62433.28562318,,-2026.12181927504,-21390.4919214396,
2014,8918.0,316636.0,,269.0,13828.0,139435.0,53772.0,2093.0,1115.0,,-1198.0,38876.0,21112.0,742.0,15665.0,23395.0,,350.0,7181.0,
2013,-15838.2304538767,250781.831363615,,31.0696807240073,3931.59060222124,148048.534539444,27700.8483523684,324.98249175,-74.605326332985,,7755.65541204741,5763.45842417451,14302.3222683364,441.636629972239,412.7375579815,12881.593357655,,2656.05140142137,26605.9559718521,
2012,-18554.0,227219.0,,31.0,5290.0,122250.0,38012.0,1764.0,-232.0,,10499.0,9329.0,23150.0,971.0,476.0,9208.0,,403.0,6069.0,
2011,-1318.0,194721.0,,153.0,5396.0,95764.0,18758.0,376.0,-571.0,,10271.0,2308.0,36154.0,1072.0,-727.0,4139.0,,-3428.0,25057.0,
2010,-2438.54678655409,225547.17754014,,-40.2724522825,3461.698956,97226.5845625244,32340.4923080969,-256.448148685132,-207.416283451081,,23346.0,2323.54249251305,33260.799686,713.992937,469.058602,2771.0,,-1796.2285666282,31934.3734470527,
2009,2066.0,170913.0,,,3713.0,107619.0,25301.0,-166.0,1370.0,,,1165.0,11507.0,416.0,-1589.0,,,-5640.0,27216.0,
2008,8490.0,131280.0,,,3936.0,52096.0,27641.0,332.0,,,,-4197.0,21100.0,50.0,-485.0,,,1688.0,29119.0,
2007,20450.0,127793.0,,,117.0,39756.0,36367.0,1591.0,,,,-2183.0,20713.0,384.0,-8714.0,,,7143.0,32618.0,
2006,-2454.0,91050.0,,,790.0,32572.0,21825.0,-195.0,,,,-2300.0,11214.0,113.0,-1629.0,,,8968.0,19692.0,
2005,-1462.51751272333,70448.1549681958,,,845.165704614,23966.4442381217,21060.2341169134,,,,,3379.96289262466,2483.6065423085,376.8070546346,-1582.885026106,,,2499.336246781,16958.129672,
2004,1742.22410483896,57162.1198758373,,-0.963672304,-1572.1319190085,24103.2195648637,13586.0546092056,,,,,568.994336541,4353.8839661521,76.0694171943,-1171.2799824229,,,137.938003616,17080.335552,
2003,2672.01409666741,55668.2883336767,,1.0,501.9060113348,27958.5223698417,8257.0001096805,,,,,1748.4150529822,3896.822555227,329.7187912972,1019.9771659108,,,2271.73811415,9686.001987,
2002,483.7,36121.2,,0.212147,192.5179042776,20259.2319154568,5747.3726915811,,,,,1185.944277,1800.7833357439,141.6311700703,-635.5498209901,,,1179.3491727,6249.7193562,
2001,-2381.87,21559.05,,0.01,215.17,11772.07,2796.22,,,,,-1312.67,2082.65,-52.13,288.24,,,1852.48,3917.01,
2000,,,,,,,,,,,,,,,,,,,,
