年份,工业企业固定资产合计,轻工业企业固定资产合计,重工业企业固定资产合计,大型工业企业固定资产合计,中型工业企业固定资产合计,小型工业企业固定资产合计,内资工业企业固定资产合计,国有工业企业固定资产合计,集体工业企业固定资产合计,股份合作工业企业固定资产合计,联营工业企业固定资产合计,国有联营工业企业固定资产合计,集体联营工业企业固定资产合计,国有与集体联营工业企业固定资产合计,其他联营工业企业固定资产合计,有限责任公司工业企业固定资产合计,国有独资公司工业企业固定资产合计,其他有限责任公司工业企业固定资产合计,股份有限公司工业企业固定资产合计,私营工业企业固定资产合计,私营独资工业企业固定资产合计,私营合伙工业企业固定资产合计,私营有限责任公司工业企业固定资产合计,私营股份有限公司工业企业固定资产合计,其他工业企业固定资产合计,港、澳、台商投资工业企业固定资产合计,合资经营(港或澳、台资)工业企业固定资产合计,合作经营(港或澳、台资)工业企业固定资产合计,港澳台商独资经营工业企业固定资产合计,港澳台商投资股份有限公司工业企业固定资产合计,其他港澳台商投资工业企业固定资产合计,外商投资工业企业固定资产合计,中外合资经营工业企业固定资产合计,中外合作经营工业企业固定资产合计,外资工业企业固定资产合计,外商投资股份有限公司工业企业固定资产合计,其他外商投资工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,367405.3,72713.2,294692.1,169039.37,89539.39,108826.53,309566.93,26795.04,820.65,167.91,35.97,7.32,8.97,4.98,14.69,156843.38,40794.19,116049.19,47979.66,76299.55,2500.08,478.74,67563.63,5757.1,624.78,23997.08,10085.31,655.46,11750.42,1052.41,453.48,33841.29,16554.68,549.66,14952.72,1462.41,321.82
2016,390279.36,78756.19,311523.17,176090.89,96200.02,117988.45,327537.79,29692.89,1091.93,211.14,41.83,6.89,14.36,4.9,15.67,162427.43,39185.52,123241.91,49815.44,84008.55,3235.19,577.54,73224.75,6971.08,248.57,24919.16,10077.05,698.8,12549.37,1108.08,485.86,37822.41,19034.09,586.7,16336.84,1620.93,243.84
2015,377568.47,75208.07,302360.41,171743.14,90770.92,115054.41,316191.58,31772.08,1252.05,249.37,48.84,12.34,12.85,6.07,17.57,151934.24,37182.93,114751.3,48513.35,81327.57,3738.12,664.5,70486.35,6438.6,1094.08,24176.62,9876.45,656.35,12501.39,1005.05,137.38,37200.28,18105.28,733.24,16489.1,1693.89,178.77
2014,355788.06,70026.96,285761.1,165891.73,85867.29,104029.04,295122.64,32307.53,1283.34,270.86,158.68,119.47,12.52,5.59,21.11,138540.32,33143.85,105396.47,44733.78,76750.9,3736.6,694.15,65367.89,6952.27,1077.23,23225.26,9780.25,635.57,11841.11,919.53,48.81,37440.16,17910.98,799.6,16775.17,1794.82,159.59
2013,316231.1,62616.55,253614.55,153704.59,75862.22,86664.28,257473.32,31361.28,1124.85,284.54,202.79,154.26,19.11,7.08,22.34,118446.73,28835.76,89610.97,39081.88,65738.61,3642.44,708.24,55885.46,5502.47,1232.64,22281.06,9025.38,541.4,11553.81,1133.09,27.38,36476.71,16927.3,858.69,16366.15,2217.84,106.73
2012,283950.90571,54914.75573,229036.14998,140354.30113,68836.48338,74760.1212,229626.99238,50290.59138,1949.3535,1212.78964,502.06184,359.94411,32.64856,52.67213,56.79704,85068.3634,18405.75193,66662.61147,33776.51542,53232.3568,7794.2295,1156.64883,40389.31209,3892.16638,3594.9604,20262.78916,8510.82789,551.48739,10147.2835,1002.01188,51.1785,34061.12417,15674.95932,1026.26128,15297.58605,1984.59927,77.71825
2011,253198.19279,49104.50843,204093.68436,127776.7791,61325.83535,64095.57834,201963.96408,43703.79506,1835.49779,1042.19803,747.85442,561.47103,36.17882,89.59776,60.60681,75961.76642,19186.9191,56774.84732,31187.17952,44644.16725,6930.51957,1063.12086,33552.94074,3097.58608,2841.50559,18825.04513,7810.51684,533.59974,9603.14743,848.79851,28.98261,32409.18358,14856.02223,870.41707,14666.82474,1983.72483,32.19471
2010,238097.80189,46274.32716,191823.47473,99212.72474,74399.66281,64485.41434,186539.14261,41508.2816,1902.20972,959.92371,630.38591,513.58458,39.88413,43.28175,33.63545,70987.99135,18080.19394,52907.79741,27535.33746,42278.52342,6744.67732,1078.12357,31583.10594,2872.61659,736.48944,18007.41783,7524.15963,593.002,8944.70534,945.55086,,33551.24145,14383.02748,761.51407,16361.84835,2044.85155,
2009,207355.57459,40366.30632,166989.26827,86083.44173,64292.06003,56980.07283,162842.44444,36024.564,1809.94513,889.42284,800.43136,694.08389,41.12007,35.14576,30.08164,61996.97274,17098.49142,44898.48132,27109.99628,33638.3719,5325.64733,851.07682,25145.17683,2316.47092,572.74019,15702.71931,6600.74208,597.51637,7658.81099,845.64987,,28810.41084,13501.95156,776.24869,12900.05669,1632.1539,
