年份,工业企业个人资本金,轻工业企业个人资本金,重工业企业个人资本金,大型工业企业个人资本金,中型工业企业个人资本金,小型工业企业个人资本金,内资工业企业个人资本金,国有工业企业个人资本金,集体工业企业个人资本金,股份合作工业企业个人资本金,联营工业企业个人资本金,国有联营工业企业个人资本金,集体联营工业企业个人资本金,国有与集体联营工业企业个人资本金,其他联营工业企业个人资本金,有限责任公司工业企业个人资本金,国有独资公司工业企业个人资本金,其他有限责任公司工业企业个人资本金,股份有限公司工业企业个人资本金,私营工业企业个人资本金,私营独资工业企业个人资本金,私营合伙工业企业个人资本金,私营有限责任公司工业企业个人资本金,私营股份有限公司工业企业个人资本金,其他工业企业个人资本金,港、澳、台商投资工业企业个人资本金,合资经营(港或澳、台资)工业企业个人资本金,合作经营(港或澳、台资)工业企业个人资本金,港澳台商独资经营工业企业个人资本金,港澳台商投资股份有限公司工业企业个人资本金,其他港澳台商投资工业企业个人资本金,外商投资工业企业个人资本金,中外合资经营工业企业个人资本金,中外合作经营工业企业个人资本金,外资工业企业个人资本金,外商投资股份有限公司工业企业个人资本金,其他外商投资工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,49482.81,15361.98,34120.83,8584.05,11595.55,29303.21,47506.43,32.24,100.98,70.27,6.27,0.02,0.87,0.01,5.37,12774.85,114.91,12659.94,6938.27,27536.03,758.88,151.88,24090.96,2534.32,47.51,1066.11,637.36,21.46,203.32,184.37,19.6,910.27,561.61,13.06,232.83,84.53,18.24
2016,57920.8,22359.01,35561.79,8003.96,11860.96,38055.88,55743.09,32.09,120.47,80.72,12.98,,6.69,0.06,6.23,21465.53,125.07,21340.46,6542.1,27432.99,906.68,168.21,24092.31,2265.79,56.21,991.09,500.92,21.46,285.35,174.17,9.19,1186.62,709.72,14.67,319.11,134.1,9.02
2015,47459.19,15410.84,32048.35,7245.71,11755.4,28458.08,45404.44,73.09,129.84,96.45,10.32,1.29,3.36,0.09,5.58,13516.9,160.45,13356.45,5954.8,25495.59,1048.73,247.0,22110.89,2088.97,127.44,957.48,504.54,11.27,306.65,128.08,6.95,1097.27,646.44,23.2,305.98,113.54,8.12
2014,42257.57,14593.32,27664.26,6706.73,10136.56,25414.28,40157.36,148.96,149.22,102.39,9.01,0.59,2.44,0.1,5.88,11263.42,157.62,11105.8,4470.36,23891.55,1069.89,354.85,20578.88,1887.93,122.43,889.34,478.4,25.71,250.99,131.41,2.84,1210.87,815.57,16.4,253.58,118.81,6.52
2013,38806.07,14115.06,24691.01,6039.76,9030.7,23735.61,35706.03,98.06,147.47,100.84,15.03,0.78,2.88,2.05,9.32,9745.97,109.58,9636.4,4094.73,21366.54,1172.56,258.66,18264.01,1671.31,137.37,2242.31,439.51,22.11,1645.15,132.74,2.81,857.73,554.34,19.17,169.26,110.01,4.94
2012,30627.46149,9853.96229,20773.4992,5030.91547,7669.51032,17927.0357,29145.90782,235.9533,182.08932,215.69432,22.38578,4.73931,3.96638,1.24048,12.43961,6744.25376,23.19523,6721.05853,3488.2444,17560.00471,2489.67452,427.86691,13514.98512,1127.47816,697.28223,662.76574,376.30625,28.00136,166.44291,90.74421,1.27101,818.78793,540.34847,24.09531,149.56831,100.12271,4.65313
2011,36429.17782,8639.81585,27789.36197,4564.04576,6616.36442,25248.76764,34774.16833,171.67603,166.55908,245.99429,22.15513,0.98802,3.42682,1.44781,16.29248,15405.70344,59.58554,15346.1179,2924.74435,15413.56968,2309.26067,412.56792,11646.17923,1045.56186,423.76633,601.44714,358.23103,26.49718,150.37044,65.74969,0.5988,1053.56235,800.93825,20.09559,134.52931,96.33339,1.66581
2010,23389.5592,7854.80281,15534.75639,2381.37227,6116.9677,14891.21923,22135.65576,119.02466,148.20039,186.62282,12.62143,1.70193,2.60353,1.48971,6.82626,4636.14472,56.09987,4580.04485,2364.32279,14548.943,2171.62047,428.3799,11057.26562,891.67701,119.77595,547.73809,360.40847,18.91086,120.84885,47.56991,,706.16535,485.30399,22.13712,111.55085,87.17339,
2009,20503.81585,6955.27912,13548.53673,2068.20515,5289.43727,13146.17343,19465.47896,129.48858,173.61763,193.86223,16.30643,5.92299,2.17062,1.07342,7.1394,4070.1911,68.40915,4001.78195,2144.17752,12643.19385,1989.39848,362.58803,9528.57278,762.63456,94.64162,450.76686,301.10375,14.88025,82.11161,52.67125,,587.57003,409.87311,14.86434,92.2431,70.58948,
2008,18574.11779,6561.8887,12012.22909,1974.83524,4826.40599,11772.87656,17424.36108,118.48167,90.65563,201.98632,15.28295,1.04399,4.77815,1.13287,8.32794,3556.74487,23.55635,3533.18852,2045.13487,11306.53513,1915.83566,348.84701,8355.0382,686.81426,89.53964,469.94173,331.40299,16.37408,66.00514,56.15952,,679.81498,486.42977,24.19286,107.82791,61.36444,
