年份,工业亏损企业单位数,轻工业亏损企业单位数,重工业亏损企业单位数,大型工业亏损企业单位数,中型工业亏损企业单位数,小型工业亏损企业单位数,内资工业亏损企业单位数,国有工业亏损企业单位数,集体工业亏损企业单位数,股份合作工业亏损企业单位数,联营工业亏损企业单位数,国有联营工业亏损企业单位数,集体联营工业亏损企业单位数,国有与集体联营工业亏损企业单位数,其他联营工业亏损企业单位数,有限责任公司工业亏损企业单位数,国有独资公司工业亏损企业单位数,其他有限责任公司工业亏损企业单位数,股份有限公司工业亏损企业单位数,私营工业亏损企业单位数,私营独资工业亏损企业单位数,私营合伙工业亏损企业单位数,私营有限责任公司工业亏损企业单位数,私营股份有限公司工业亏损企业单位数,其他工业亏损企业单位数,港、澳、台商投资工业亏损企业单位数,合资经营(港或澳、台资)工业亏损企业单位数,合作经营(港或澳、台资)工业亏损企业单位数,港澳台商独资经营工业亏损企业单位数,港澳台商投资股份有限公司工业亏损企业单位数,其他港澳台商投资工业亏损企业单位数,外商投资工业亏损企业单位数,中外合资经营工业亏损企业单位数,中外合作经营工业亏损企业单位数,外资工业亏损企业单位数,外商投资股份有限公司工业亏损企业单位数,其他外商投资工业亏损企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,42494.0,15435.0,27059.0,902.0,5995.0,35597.0,34082.0,565.0,216.0,74.0,7.0,1.0,1.0,3.0,2.0,12500.0,884.0,11616.0,1675.0,19000.0,486.0,110.0,17573.0,831.0,45.0,3852.0,1119.0,71.0,2534.0,81.0,47.0,4560.0,1380.0,78.0,2961.0,61.0,80.0
2016,40720.0,13741.0,26979.0,963.0,5914.0,33843.0,31959.0,645.0,260.0,84.0,12.0,1.0,1.0,6.0,4.0,12611.0,930.0,11681.0,1557.0,16742.0,490.0,105.0,15397.0,750.0,48.0,3940.0,1172.0,84.0,2592.0,67.0,25.0,4821.0,1436.0,79.0,3172.0,78.0,56.0
2015,48248.0,15598.0,32650.0,1309.0,7279.0,39660.0,37273.0,919.0,344.0,115.0,28.0,5.0,4.0,11.0,8.0,14350.0,962.0,13388.0,1662.0,19759.0,751.0,176.0,17973.0,859.0,96.0,4808.0,1379.0,99.0,3231.0,84.0,15.0,6167.0,1875.0,104.0,4053.0,92.0,43.0
2014,43452.0,14823.0,28629.0,1250.0,7175.0,35027.0,32866.0,1018.0,373.0,104.0,20.0,5.0,4.0,6.0,5.0,12396.0,878.0,11518.0,1431.0,17416.0,763.0,178.0,15734.0,741.0,108.0,4598.0,1388.0,99.0,3020.0,83.0,8.0,5988.0,1858.0,122.0,3900.0,79.0,29.0
2013,41711.0,14491.0,27220.0,1123.0,7080.0,33508.0,30238.0,1045.0,416.0,128.0,34.0,8.0,5.0,10.0,11.0,10897.0,734.0,10163.0,1339.0,16251.0,760.0,198.0,14600.0,693.0,128.0,5011.0,1454.0,134.0,3328.0,86.0,9.0,6462.0,1948.0,143.0,4262.0,98.0,11.0
2012,39664.0,13684.0,25980.0,1134.0,7193.0,31337.0,28143.0,1729.0,509.0,244.0,71.0,29.0,13.0,14.0,15.0,9061.0,349.0,8712.0,1118.0,14798.0,1316.0,304.0,12610.0,568.0,613.0,4997.0,1516.0,132.0,3252.0,82.0,15.0,6524.0,1951.0,145.0,4304.0,100.0,24.0
2011,30456.0,11493.0,18963.0,869.0,6133.0,23454.0,20712.0,1488.0,478.0,199.0,60.0,17.0,14.0,11.0,18.0,6529.0,275.0,6254.0,884.0,10645.0,1046.0,251.0,8862.0,486.0,429.0,4126.0,1211.0,109.0,2732.0,68.0,6.0,5618.0,1613.0,145.0,3751.0,93.0,16.0
2010,45379.0,18486.0,26893.0,316.0,4396.0,40667.0,32167.0,2131.0,987.0,444.0,97.0,29.0,18.0,29.0,21.0,8469.0,309.0,8160.0,1073.0,18772.0,2253.0,526.0,15162.0,831.0,194.0,5882.0,1646.0,206.0,3930.0,100.0,,7330.0,2199.0,213.0,4801.0,117.0,
2009,59868.0,23964.0,35904.0,396.0,5481.0,53991.0,42003.0,2655.0,1481.0,592.0,144.0,31.0,31.0,49.0,33.0,10540.0,384.0,10156.0,1317.0,25006.0,3142.0,761.0,20054.0,1049.0,268.0,8149.0,2189.0,284.0,5560.0,116.0,,9716.0,2908.0,273.0,6402.0,133.0,
2008,65393.0,28032.0,37361.0,512.0,6618.0,58263.0,44640.0,2871.0,1717.0,770.0,155.0,31.0,50.0,39.0,35.0,11005.0,389.0,10616.0,1532.0,26332.0,3285.0,798.0,21244.0,1005.0,258.0,9469.0,2467.0,332.0,6529.0,141.0,,11284.0,3484.0,357.0,7290.0,153.0,
