年份,工业企业流动负债合计,轻工业企业流动负债合计,重工业企业流动负债合计,大型工业企业流动负债合计,中型工业企业流动负债合计,小型工业企业流动负债合计,内资工业企业流动负债合计,国有工业企业流动负债合计,集体工业企业流动负债合计,股份合作工业企业流动负债合计,联营工业企业流动负债合计,国有联营工业企业流动负债合计,集体联营工业企业流动负债合计,国有与集体联营工业企业流动负债合计,其他联营工业企业流动负债合计,有限责任公司工业企业流动负债合计,国有独资公司工业企业流动负债合计,其他有限责任公司工业企业流动负债合计,股份有限公司工业企业流动负债合计,私营工业企业流动负债合计,私营独资工业企业流动负债合计,私营合伙工业企业流动负债合计,私营有限责任公司工业企业流动负债合计,私营股份有限公司工业企业流动负债合计,其他工业企业流动负债合计,港、澳、台商投资工业企业流动负债合计,合资经营(港或澳、台资)工业企业流动负债合计,合作经营(港或澳、台资)工业企业流动负债合计,港澳台商独资经营工业企业流动负债合计,港澳台商投资股份有限公司工业企业流动负债合计,其他港澳台商投资工业企业流动负债合计,外商投资工业企业流动负债合计,中外合资经营工业企业流动负债合计,中外合作经营工业企业流动负债合计,外资工业企业流动负债合计,外商投资股份有限公司工业企业流动负债合计,其他外商投资工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,479115.25,104873.57,374241.67,233520.34,113440.82,132154.08,378834.14,23208.14,2501.45,268.7,54.15,32.1,6.99,10.57,4.48,185083.86,41933.04,143150.82,62502.17,104920.51,1735.93,373.44,94174.28,8636.86,295.17,43688.07,16234.73,591.08,24443.9,1741.85,676.52,56593.03,28169.6,747.5,24373.85,2742.82,559.26
2016,456468.84,101647.92,354820.91,221921.73,109348.01,125199.11,359758.11,23670.24,2440.97,305.23,51.74,27.13,7.49,10.1,7.02,176649.81,37179.56,139470.25,57932.18,98507.8,2031.67,384.24,87714.95,8376.94,200.14,40991.27,15077.38,609.61,23008.46,1658.9,636.92,55719.46,27939.23,765.91,24397.94,2285.41,330.97
2015,431884.87,97394.22,334490.65,207775.02,104357.48,119752.38,339853.88,25270.5,2455.29,387.61,92.9,39.05,7.92,33.37,12.56,161961.67,34093.22,127868.45,53487.17,95559.52,2451.5,450.45,84856.61,7800.96,639.2,39350.68,14961.2,693.03,22088.33,1481.49,126.63,52680.31,26381.93,881.5,22967.11,2198.42,251.36
2014,411634.66,92753.36,318881.3,198937.86,100311.09,112385.71,318555.79,24451.53,2516.94,566.35,147.83,105.63,9.65,14.23,18.32,150670.89,30790.74,119880.15,48412.02,91066.68,2616.67,484.6,80837.29,7128.12,723.54,37709.5,14481.14,785.72,20913.75,1487.18,41.7,55369.37,26890.25,1023.4,25139.6,2117.75,198.36
2013,380845.89,86465.86,294380.03,184720.94,93531.43,102593.51,291205.42,24831.2,1954.6,598.76,197.47,143.53,17.61,16.38,19.95,133373.05,28444.93,104928.12,44906.53,84505.99,2533.42,555.92,74924.84,6491.82,837.81,35592.46,13857.32,728.34,19205.43,1770.14,31.22,54048.01,26095.65,1068.08,24690.73,2073.04,120.52
2012,337526.51193,76323.9617,261202.55023,167167.30415,83317.74662,87041.46116,254755.04668,39453.75185,2412.08379,1227.09455,439.51456,271.02155,44.60484,63.795,60.09317,100873.29668,18657.60397,82215.69271,37516.33956,69251.50888,5373.4353,911.77804,57863.99263,5102.30291,3581.45681,32716.99425,12868.65957,674.5099,17469.06315,1627.23841,77.52322,50054.471,23146.3735,1220.75154,23416.95506,2158.46634,111.92456
2011,298911.19741,67844.74276,231066.45465,151588.05264,73453.55247,73869.5923,220570.57239,35276.44922,2388.14922,1001.74591,616.59786,397.40072,45.99834,99.53567,73.66313,86727.29293,17453.01871,69274.27422,32756.73815,58996.7189,4890.94908,792.8198,49139.96018,4172.98984,2806.8802,29670.25124,12087.43887,613.54905,15623.76333,1288.26709,57.2329,48670.37378,22784.93818,977.35399,22960.63494,1905.88396,41.56271
2010,257995.57108,61506.55667,196489.01441,102435.07484,83128.64496,72431.85128,188052.87144,29624.27002,2520.71816,1118.06037,556.29299,394.02328,47.96992,62.96879,51.331,72540.04518,15853.84049,56686.20469,26264.52122,54642.10152,5475.60949,913.2964,44593.23789,3659.95774,786.86198,25025.76806,9887.02615,696.68412,13074.40114,1367.65665,,44916.93158,21486.9443,880.95849,20510.8078,2038.22099,
2009,214406.08643,51777.34859,162628.73784,82340.56997,68915.13968,63150.37678,155490.00942,24896.40974,2245.06587,1062.37359,681.07204,541.70856,41.07908,51.71615,46.56825,60677.8017,14611.70984,46066.09186,22289.55558,42938.08216,4381.46164,721.70262,35166.56073,2668.35717,699.64874,21295.30651,8818.21474,592.54723,10767.15919,1117.38535,,37620.7705,17959.92632,775.10701,17352.15099,1533.58618,
