年份,工业企业负债合计,轻工业企业负债合计,重工业企业负债合计,大型工业企业负债合计,中型工业企业负债合计,小型工业企业负债合计,内资工业企业负债合计,国有工业企业负债合计,集体工业企业负债合计,股份合作工业企业负债合计,联营工业企业负债合计,国有联营工业企业负债合计,集体联营工业企业负债合计,国有与集体联营工业企业负债合计,其他联营工业企业负债合计,有限责任公司工业企业负债合计,国有独资公司工业企业负债合计,其他有限责任公司工业企业负债合计,股份有限公司工业企业负债合计,私营工业企业负债合计,私营独资工业企业负债合计,私营合伙工业企业负债合计,私营有限责任公司工业企业负债合计,私营股份有限公司工业企业负债合计,其他工业企业负债合计,港、澳、台商投资工业企业负债合计,合资经营(港或澳、台资)工业企业负债合计,合作经营(港或澳、台资)工业企业负债合计,港澳台商独资经营工业企业负债合计,港澳台商投资股份有限公司工业企业负债合计,其他港澳台商投资工业企业负债合计,外商投资工业企业负债合计,中外合资经营工业企业负债合计,中外合作经营工业企业负债合计,外资工业企业负债合计,外商投资股份有限公司工业企业负债合计,其他外商投资工业企业负债合计
2019,681085.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,653871.34,,,,,,,,,,,,,,,,,,,134884.7,,,,,,,,,,,,,,,,,
2017,628016.3,127286.55,500729.75,306029.79,145554.74,176431.77,511338.17,34222.24,3069.32,313.05,63.73,34.54,9.86,11.7,7.63,262108.47,63848.18,198260.29,83399.6,127610.46,2260.2,493.51,114222.59,10634.15,551.3,50996.21,19577.78,703.51,27684.52,2252.37,778.04,65681.91,32947.31,1000.14,27721.43,3368.22,644.82
2016,606641.53,124327.65,482313.87,295918.12,142524.09,168199.31,491730.2,36399.19,3062.19,376.8,63.16,30.26,10.7,11.98,10.21,251482.79,57845.6,193637.19,78668.51,121386.12,2666.08,554.98,107489.61,10675.44,291.45,48263.82,18518.8,762.32,26213.66,2064.22,704.82,66647.51,34370.52,1017.8,27823.59,3039.95,395.65
2015,579310.47,118859.95,460450.52,281147.08,135561.25,162602.13,469630.65,40429.35,3008.36,468.1,109.08,42.85,13.49,35.24,17.5,233367.37,54558.62,178808.75,72606.73,118651.48,3238.16,641.61,105087.74,9683.97,990.18,46666.6,18303.18,851.64,25575.51,1786.69,149.58,63013.21,31862.05,1163.49,26746.01,2934.02,307.65
2014,547031.43,112649.05,434382.37,267845.66,129958.66,149227.11,437107.07,38682.47,3168.05,703.33,179.53,126.0,15.05,15.66,22.83,215718.41,48545.46,167172.95,66440.25,111130.1,3421.44,644.92,98208.09,8855.65,1084.93,44557.89,17589.48,947.81,24212.6,1765.83,42.17,65366.46,32332.75,1371.28,28606.08,2820.51,235.85
2013,505694.32,103935.08,401759.24,250741.21,119968.06,134985.05,399496.99,41658.23,2381.62,719.23,234.95,166.56,23.2,19.47,25.72,190618.2,44637.86,145980.34,61295.25,101333.98,3361.97,738.47,89056.01,8177.53,1255.52,41957.58,16741.6,878.16,22176.39,2118.16,43.27,64239.76,31233.06,1417.99,28582.0,2871.93,134.78
2012,445371.75,91410.56381,353961.18132,226231.29858,107549.01162,111591.43493,347957.65302,63754.7156,2941.83328,1745.24051,654.94661,428.51449,50.71445,101.74244,73.97523,140522.99667,29522.86325,111000.13342,50855.79511,82699.27933,7043.77562,1174.08019,68173.48331,6307.94021,4782.84591,38403.89715,15506.68805,813.62501,19971.14875,2011.30616,101.12918,59010.19496,27933.69678,1613.99562,26579.94844,2753.66095,128.89317
2011,392644.64,80667.82102,311976.823,203921.3175,95167.94585,93555.38067,300513.82233,55618.35871,2870.5338,1523.90012,922.32267,618.07731,56.43341,166.99915,80.8128,121969.29411,27569.46657,94399.82754,44012.66156,69744.77414,6328.32368,1013.29759,57257.31313,5145.83974,3851.97722,34722.68337,14355.51208,738.97183,17896.10087,1656.18802,75.91057,57408.13832,27342.68125,1339.25663,26109.07798,2569.16939,47.95307
2010,340396.39,72513.78408,267882.60493,138521.92303,111326.23656,90548.22942,258357.63287,48809.87777,2998.62623,1467.97098,878.50359,669.25797,56.958,86.61703,65.67059,103274.07225,25502.53475,77771.5375,35800.23833,64068.4068,6894.65598,1162.24418,51596.60405,4414.90259,1059.93692,29589.86835,12168.9392,836.78638,14876.49426,1707.64851,,52448.88779,25173.13619,1173.89331,23399.43713,2702.42116,
