年份,工业企业法人资本金,轻工业企业法人资本金,重工业企业法人资本金,大型工业企业法人资本金,中型工业企业法人资本金,小型工业企业法人资本金,内资工业企业法人资本金,国有工业企业法人资本金,集体工业企业法人资本金,股份合作工业企业法人资本金,联营工业企业法人资本金,国有联营工业企业法人资本金,集体联营工业企业法人资本金,国有与集体联营工业企业法人资本金,其他联营工业企业法人资本金,有限责任公司工业企业法人资本金,国有独资公司工业企业法人资本金,其他有限责任公司工业企业法人资本金,股份有限公司工业企业法人资本金,私营工业企业法人资本金,私营独资工业企业法人资本金,私营合伙工业企业法人资本金,私营有限责任公司工业企业法人资本金,私营股份有限公司工业企业法人资本金,其他工业企业法人资本金,港、澳、台商投资工业企业法人资本金,合资经营(港或澳、台资)工业企业法人资本金,合作经营(港或澳、台资)工业企业法人资本金,港澳台商独资经营工业企业法人资本金,港澳台商投资股份有限公司工业企业法人资本金,其他港澳台商投资工业企业法人资本金,外商投资工业企业法人资本金,中外合资经营工业企业法人资本金,中外合作经营工业企业法人资本金,外资工业企业法人资本金,外商投资股份有限公司工业企业法人资本金,其他外商投资工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,82115.33,19525.98,62589.36,30549.99,21175.13,30390.21,70531.86,1616.31,46.19,23.13,4.14,0.74,1.32,0.54,1.54,36409.24,3874.75,32534.5,11722.61,20648.74,488.32,103.31,18279.4,1777.71,61.49,5080.21,3115.02,105.14,1362.27,457.46,40.33,6503.27,4415.27,128.19,1540.81,349.7,69.3
2016,81531.3,19828.5,61702.79,29645.47,19996.42,31889.4,70508.27,1607.78,96.89,36.09,5.47,0.74,1.68,0.82,2.23,38123.04,3855.28,34267.77,11197.8,19387.18,602.96,125.55,16898.58,1760.09,54.03,4335.59,2651.73,121.0,1138.53,398.29,26.04,6687.43,4769.34,127.91,1395.75,326.81,67.63
2015,73321.76,19131.93,54189.84,25525.94,18503.74,29292.09,61647.05,1654.05,112.79,47.48,5.91,0.29,1.75,1.19,2.68,33113.87,3244.97,29868.9,8983.39,17586.54,719.33,110.62,15281.5,1475.08,143.03,5091.0,3638.45,111.12,977.02,339.24,25.18,6583.71,4710.97,132.44,1310.82,390.17,39.32
2014,67101.55,15871.54,51230.01,23422.27,17756.91,25922.36,57197.85,1732.24,127.66,48.92,28.3,22.4,2.44,1.1,2.37,29588.59,4053.79,25534.8,8217.42,17359.45,744.44,112.53,14814.74,1687.73,95.28,3644.79,2355.31,91.14,887.58,303.0,7.76,6258.9,4696.61,150.06,1164.44,228.83,18.96
2013,61044.7,13892.94,47151.77,22950.05,16397.25,21697.4,51880.11,2296.76,137.13,64.47,41.66,33.09,3.67,1.04,3.86,27048.55,3554.05,23494.5,7920.41,14208.0,787.21,135.41,12065.14,1220.25,163.12,3465.79,2225.55,90.63,792.74,354.83,2.04,5698.8,4162.23,158.7,1073.61,289.4,14.86
2012,58093.86932,12528.4162,45565.45312,23588.20886,15660.88114,18844.77932,49064.73709,6232.75548,194.94159,268.00032,100.50139,76.11735,6.72942,8.23767,9.41695,22546.37752,3439.82949,19106.54803,7132.39128,11964.57811,1754.98093,248.78273,9089.82562,870.98883,625.1914,3326.88545,2252.55404,102.33483,706.56859,261.1739,4.25409,5702.24678,4187.84466,161.34449,1065.35884,270.10676,17.59203
2011,53035.07365,10941.95744,42093.11621,24276.24157,13578.18276,15180.64932,44818.57746,6749.88509,186.95033,246.61803,152.47837,126.54923,7.57644,8.3559,9.9968,21010.82708,4311.27023,16699.55685,6554.82464,9328.49547,1436.59636,204.39883,7003.19763,684.30265,588.49845,2894.87906,1962.16659,102.45176,584.29501,245.64765,0.31805,5321.61713,3799.06631,151.25146,932.6955,431.33871,7.26515
2010,46337.12348,9623.21365,36713.90983,16758.27778,15324.5979,14254.2478,39072.39681,5877.74338,174.59229,244.21032,154.48499,126.11383,8.34017,11.80178,8.22921,18433.20341,3926.31907,14506.88434,5689.72733,8317.3829,1254.90499,219.70116,6162.03559,680.74116,181.05219,2554.49711,1762.59674,74.08555,478.6861,239.12872,,4710.22956,3504.64782,125.17029,713.80027,366.61118,
2009,39146.85282,8449.03362,30697.8192,14640.08234,12543.88262,11962.88786,32723.63222,5217.11108,149.96009,214.9742,168.72109,139.81408,7.22602,12.40055,9.28044,15189.64112,3645.2851,11544.35602,5152.36058,6485.99022,912.82618,167.88355,4890.85719,514.4233,144.87384,2247.40004,1589.88993,88.45842,379.22703,189.82466,,4175.82056,3252.72556,145.43103,587.18883,190.47514,
