年份,工业企业应交所得税,轻工业企业应交所得税,重工业企业应交所得税,大型工业企业应交所得税,中型工业企业应交所得税,小型工业企业应交所得税,内资工业企业应交所得税,国有工业企业应交所得税,集体工业企业应交所得税,股份合作工业企业应交所得税,联营工业企业应交所得税,国有联营工业企业应交所得税,集体联营工业企业应交所得税,国有与集体联营工业企业应交所得税,其他联营工业企业应交所得税,有限责任公司工业企业应交所得税,国有独资公司工业企业应交所得税,其他有限责任公司工业企业应交所得税,股份有限公司工业企业应交所得税,私营工业企业应交所得税,私营独资工业企业应交所得税,私营合伙工业企业应交所得税,私营有限责任公司工业企业应交所得税,私营股份有限公司工业企业应交所得税,其他工业企业应交所得税,港、澳、台商投资工业企业应交所得税,合资经营(港或澳、台资)工业企业应交所得税,合作经营(港或澳、台资)工业企业应交所得税,港澳台商独资经营工业企业应交所得税,港澳台商投资股份有限公司工业企业应交所得税,其他港澳台商投资工业企业应交所得税,外商投资工业企业应交所得税,中外合资经营工业企业应交所得税,中外合作经营工业企业应交所得税,外资工业企业应交所得税,外商投资股份有限公司工业企业应交所得税,其他外商投资工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9889.75,3069.7,6820.05,4333.45,2592.68,2963.62,7005.19,590.63,70.34,10.44,3.62,2.74,0.23,0.15,0.5,2637.4,414.65,2222.75,995.67,2674.9,177.96,28.15,2271.33,197.47,22.18,929.69,336.03,34.32,518.46,40.41,0.48,1954.87,1026.56,39.3,826.76,59.6,2.66
2013,9476.42,2965.72,6510.7,4123.1,2411.4,2941.92,6830.72,544.04,62.14,10.76,1.91,0.9,0.44,0.22,0.35,2575.72,387.77,2187.96,1028.93,2584.46,206.73,38.62,2150.09,189.03,22.75,822.23,293.14,32.59,460.07,36.06,0.37,1823.47,950.74,42.31,769.94,56.1,4.38
2012,8672.85175,2620.18775,6052.664,3936.24541,2093.80071,2642.80563,6465.313,724.81412,95.42596,42.7382,6.55415,2.90855,1.55115,1.36279,0.73166,2080.93527,377.26931,1703.66596,1085.12602,2317.01176,453.54522,66.51097,1636.74076,160.21481,112.70752,713.13099,255.99335,24.54752,407.48327,24.48236,0.62449,1494.40776,780.69894,43.36864,628.45355,39.64011,2.24652
2011,8448.46555,2350.16491,6098.30064,3908.69131,2124.07338,2415.70086,6131.4158,608.3935,97.89697,42.39199,10.95856,4.02657,2.10841,1.79877,3.02481,2212.25943,466.03967,1746.21976,999.05842,2058.42318,413.8719,62.9126,1429.41959,152.21909,102.03375,780.80988,265.57326,27.09796,458.73808,28.8221,0.57848,1536.23987,848.07586,35.85653,595.53281,55.4514,1.32327
2010,6992.4216,1897.11794,5095.30366,2568.54123,2285.7285,2138.15187,4990.35373,546.79764,85.74248,32.5277,11.94539,7.04672,2.28596,1.36356,1.24915,1749.70626,365.30267,1384.40359,804.92086,1733.922,389.28541,61.89737,1159.26197,123.47725,24.7914,678.10937,228.45556,23.62547,395.46192,30.56642,,1323.9585,719.09998,33.71351,512.41232,58.73269,
2009,4862.02676,1416.74322,3445.28354,1755.50836,1538.94132,1567.57708,3535.10445,401.03009,71.11789,29.08396,9.08667,4.4932,1.75114,0.55425,2.28808,1229.56126,263.94007,965.62119,572.61792,1206.91998,265.11124,41.29262,811.1227,89.39342,15.68668,440.64326,150.9941,19.52322,248.58644,21.5395,,886.27905,469.84899,21.85462,345.6116,48.96384,
2008,4629.55287,1243.96755,3385.58532,1649.74762,1518.80281,1461.00244,3573.70208,668.68202,82.0483,23.64138,15.09718,9.77934,1.84522,1.02815,2.44447,1132.21142,265.00131,867.21011,514.06797,1124.00846,258.43315,42.09134,750.23653,73.24744,13.94535,367.59701,139.9179,14.83226,221.3051,-8.45825,,688.25378,328.79468,21.17437,303.93364,34.35109,
2007,4175.1285,1101.33312,3073.79538,1806.09196,1265.16055,1103.87599,3397.00175,670.63705,97.15893,34.19935,27.72047,16.18737,2.19756,6.21892,3.11662,1248.58715,274.08659,974.50056,510.61431,795.82852,159.54416,26.77551,556.09045,53.4184,12.25597,256.688,110.19627,18.12008,112.11349,16.25816,,521.43875,256.79266,25.99924,211.0618,27.58505,
2006,3189.17,820.02,2369.15,1463.09,910.5,815.58,2600.56,523.87,91.2,27.98,17.83,10.98,2.79,1.54,2.52,960.72,355.13,605.59,422.35,551.81,111.53,20.38,382.05,37.85,4.8,181.73,81.36,13.41,80.31,6.65,,406.88,204.95,17.78,157.38,26.77,
