年份,工业企业实收资本,轻工业企业实收资本,重工业企业实收资本,大型工业企业实收资本,中型工业企业实收资本,小型工业企业实收资本,内资工业企业实收资本,国有工业企业实收资本,集体工业企业实收资本,股份合作工业企业实收资本,联营工业企业实收资本,国有联营工业企业实收资本,集体联营工业企业实收资本,国有与集体联营工业企业实收资本,其他联营工业企业实收资本,有限责任公司工业企业实收资本,国有独资公司工业企业实收资本,其他有限责任公司工业企业实收资本,股份有限公司工业企业实收资本,私营工业企业实收资本,私营独资工业企业实收资本,私营合伙工业企业实收资本,私营有限责任公司工业企业实收资本,私营股份有限公司工业企业实收资本,其他工业企业实收资本,港、澳、台商投资工业企业实收资本,合资经营(港或澳、台资)工业企业实收资本,合作经营(港或澳、台资)工业企业实收资本,港澳台商独资经营工业企业实收资本,港澳台商投资股份有限公司工业企业实收资本,其他港澳台商投资工业企业实收资本,外商投资工业企业实收资本,中外合资经营工业企业实收资本,中外合作经营工业企业实收资本,外资工业企业实收资本,外商投资股份有限公司工业企业实收资本,其他外商投资工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,251175.32,51669.58,199505.74,95028.77,72751.92,83394.64,199221.11,16225.16,272.55,100.95,19.61,2.5,5.87,4.33,6.91,102685.67,20060.31,82625.35,30423.44,49366.9,1268.47,258.68,43354.87,4484.88,126.83,21231.25,7712.84,374.89,11691.11,1220.63,231.78,30722.96,12792.78,528.62,15907.09,1194.29,300.18
2016,239844.82,58720.32,181124.5,89556.96,54538.7,95749.15,187534.26,17262.3,392.13,128.63,29.25,4.52,12.63,3.59,8.5,92304.44,16862.7,75441.75,29325.87,47970.79,1540.82,296.5,41942.17,4191.3,120.86,20144.67,6896.0,410.03,11492.49,1147.59,198.57,32165.88,13185.2,534.93,17046.27,1217.05,182.43
2015,213182.37,50579.68,162602.68,81128.91,51803.53,80249.93,162291.59,14988.91,529.69,159.38,37.68,5.9,7.48,14.56,9.74,75138.2,15126.21,60011.99,25732.23,45401.69,1807.06,364.7,39528.28,3701.65,303.81,20431.26,7922.09,418.57,11038.15,967.81,84.63,30459.52,12333.85,593.67,16109.63,1294.75,127.62
2014,188294.97,46372.7,141922.27,70445.38,47259.4,70590.2,138866.86,8935.7,692.27,165.41,69.34,35.43,8.52,5.31,20.08,62903.43,12917.72,49985.71,23167.87,42631.54,1863.83,474.9,36587.16,3705.65,301.31,18477.3,6561.98,398.98,10617.45,877.4,21.48,30950.8,12777.24,664.97,16269.37,1165.65,73.59
2013,173673.36,43839.87,129833.49,66511.33,43926.95,63235.07,125110.3,9751.1,669.5,186.06,73.73,40.83,9.53,8.24,15.14,55635.23,11267.11,44368.13,21696.07,36729.07,2040.13,410.24,31270.28,3008.42,369.53,18879.07,6103.37,383.68,11499.85,875.36,16.81,29683.99,11986.31,645.71,15648.46,1355.37,48.13
2012,161029.57007,36597.54712,124432.02295,61478.08609,40962.90878,58588.5752,116883.11544,16618.64804,846.08748,766.79098,194.44854,116.48858,18.98546,31.49788,27.47662,47116.77119,7718.65917,39398.11202,19191.58237,30515.03428,4410.65779,692.15687,23358.15462,2054.065,1633.75256,16039.90425,5566.42398,372.61808,9292.94131,770.42706,37.49382,28106.55038,11283.26983,627.39828,14809.98917,1322.79208,63.10102
2011,144684.13261,32750.84239,111933.29022,56825.88731,35248.67289,52609.57241,103715.07979,14972.18573,777.82237,560.90183,237.27093,160.52031,16.57295,30.48446,29.69321,44537.90243,7857.6817,36680.22073,16119.73548,25276.48958,3838.46318,628.19157,19033.13463,1776.7002,1232.77144,14404.76496,4917.11878,377.1331,8417.22276,678.03787,15.25245,26564.28786,10785.74193,611.32908,13971.05591,1165.19581,30.96513
2010,122494.54323,30985.34345,91509.19978,37258.20179,42101.44148,43134.89996,83051.98161,14333.84999,853.95494,527.53692,267.78078,194.80716,18.61147,30.18429,24.17786,31245.47048,7373.45408,23872.0164,12050.23633,23422.79196,3517.41919,659.09672,17625.50221,1620.77384,350.36021,13851.68259,4577.65514,450.20052,8183.80437,640.02256,,25590.87903,10153.19817,602.77851,13625.45388,1209.44847,
2009,111188.91989,28155.8637,83033.05619,34403.39803,37544.77,39240.75186,74678.8378,13161.1379,882.88742,489.74232,283.94801,218.53699,17.55164,25.65326,22.20612,27109.95127,7194.62061,19915.33066,12839.05645,19638.23404,2991.87162,540.33855,14798.8251,1307.19877,273.88039,12762.33054,4244.12366,427.38603,7482.26041,608.56044,,23747.75155,9493.99261,575.49944,12643.30267,1034.95683,
