年份,工业企业工业销售产值(现价),轻工业企业工业销售产值(现价),重工业企业工业销售产值(现价),大型工业企业工业销售产值(现价),中型工业企业工业销售产值(现价),小型工业企业工业销售产值(现价),内资工业企业工业销售产值(现价),国有工业企业工业销售产值(现价),集体工业企业工业销售产值(现价),股份合作工业企业工业销售产值(现价),联营工业企业工业销售产值(现价),国有联营工业企业工业销售产值(现价),集体联营工业企业工业销售产值(现价),国有与集体联营工业企业工业销售产值(现价),其他联营工业企业工业销售产值(现价),有限责任公司工业企业工业销售产值(现价),国有独资公司工业企业工业销售产值(现价),其他有限责任公司工业企业工业销售产值(现价),股份有限公司工业企业工业销售产值(现价),私营工业企业工业销售产值(现价),私营独资工业企业工业销售产值(现价),私营合伙工业企业工业销售产值(现价),私营有限责任公司工业企业工业销售产值(现价),私营股份有限公司工业企业工业销售产值(现价),其他工业企业工业销售产值(现价),港、澳、台商投资工业企业工业销售产值(现价),合资经营(港或澳、台资)工业企业工业销售产值(现价),合作经营(港或澳、台资)工业企业工业销售产值(现价),港澳台商独资经营工业企业工业销售产值(现价),港澳台商投资股份有限公司工业企业工业销售产值(现价),其他港澳台商投资工业企业工业销售产值(现价),外商投资工业企业工业销售产值(现价),中外合资经营工业企业工业销售产值(现价),中外合作经营工业企业工业销售产值(现价),外资工业企业工业销售产值(现价),外商投资股份有限公司工业企业工业销售产值(现价),其他外商投资工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1151950.07,363805.21,788144.86,419158.05,289440.19,443351.84,903305.29,38986.83,5845.28,1318.17,225.64,16.98,72.06,20.2,116.4,340022.81,43753.45,296269.37,101668.29,413614.49,18227.7,2896.63,361990.57,30499.6,1623.79,98236.86,33803.81,2373.13,57303.45,3936.58,819.88,150407.93,70097.65,2405.52,72431.52,4702.25,771.0
2015,1104026.7,344259.36,759767.34,405225.93,275163.79,423636.98,858603.77,43594.48,6582.79,1470.55,281.3,48.49,72.51,33.85,126.46,314906.09,43057.69,271848.4,97332.58,391618.21,21070.9,3356.73,339533.16,27657.44,2817.76,96995.39,32320.2,2295.11,58248.49,3802.72,328.87,148427.55,68619.94,2527.47,72162.45,4509.76,607.93
2014,1092197.99,325018.33,767179.66,416600.15,269375.63,406222.21,841317.25,46285.81,7432.33,1525.27,597.38,346.4,82.44,34.18,134.36,304617.96,43847.49,260770.47,102642.91,375088.65,22742.36,3625.41,322744.81,25976.08,3126.93,94370.88,32860.3,2293.15,55494.95,3604.14,118.33,156509.86,72820.4,3046.86,74838.77,5233.58,570.25
2013,1019405.3,298688.06,720717.24,399055.09,246868.94,373481.26,778132.13,50358.04,7504.11,1649.7,718.71,398.53,123.89,54.42,141.86,274279.8,42121.51,232158.28,97971.87,341836.32,23985.21,3969.27,290159.55,23722.3,3813.59,88351.2,30868.37,2204.65,51434.47,3730.5,113.22,152921.96,69953.49,3174.34,74061.35,5297.63,435.16
2012,909797.17317,261064.45771,648732.71546,367498.33908,218053.90175,324244.93234,689853.82893,72674.23457,10755.95821,4079.49709,1130.21459,489.06318,230.69214,176.37489,234.08438,214008.3695,29587.01807,184421.35143,88410.39119,285331.77055,48225.66394,7158.16466,211241.9144,18706.02755,13463.39323,80171.29634,28283.65815,1958.23147,46365.57454,3338.18931,225.64287,139772.0479,62487.47643,2916.50127,69080.81533,4910.53373,376.72114
2011,827796.99077,232197.97896,595599.01181,346308.79831,194543.61167,286944.58079,613080.12113,65802.24657,10945.07736,3923.01177,1691.74962,767.58499,238.59107,335.5429,350.03066,192184.45719,29825.10212,162359.35507,81786.85734,246609.74435,43365.27871,6761.69409,180426.55613,16056.21542,10136.97693,75516.80941,26752.11345,1968.68818,43394.51294,3284.18565,117.30919,139200.06023,63076.56569,2945.46799,68046.62576,4996.01354,135.38725
2010,684735.20263,195357.17545,489378.02718,226845.40259,199057.02338,258832.77666,498313.64094,56460.12063,10180.36311,3696.45613,1219.68523,713.23893,214.94278,151.79816,139.70536,153109.59325,26977.06235,126132.5309,62628.09283,208223.81663,37928.96338,6125.86614,150971.5277,13197.45941,2795.51313,63795.42676,22435.18886,1935.39272,36540.78511,2884.06007,,122626.13493,55575.14622,2436.79027,59824.63928,4789.55916,
2009,536134.05622,157434.14419,378699.91203,173124.62231,155069.23631,207940.1976,386596.48595,45114.45253,9356.6901,3534.27506,1274.60942,829.94401,195.12978,103.30423,146.2314,118357.32049,21769.78301,96587.53748,49070.00197,157755.78606,29208.93623,4760.88663,113720.0533,10065.9099,2133.35032,50802.18575,18162.53257,1672.26498,28822.1022,2145.286,,98735.38452,44957.25927,2045.91854,48166.05736,3566.14935,
